date,PYPL
2016-07-30,12
2016-07-31,5
2016-08-01,27
2016-08-02,35
2016-08-03,26
2016-08-04,29
2016-08-05,26
2016-08-06,16
2016-08-07,8
2016-08-08,17
2016-08-09,36
2016-08-10,23
2016-08-11,19
2016-08-12,30
2016-08-13,10
2016-08-14,5
2016-08-15,14
2016-08-16,23
2016-08-17,19
2016-08-18,23
2016-08-19,25
2016-08-20,5
2016-08-21,8
2016-08-22,16
2016-08-23,24
2016-08-24,26
2016-08-25,26
2016-08-26,25
2016-08-27,12
2016-08-28,7
2016-08-29,7
2016-08-30,24
2016-08-31,14
2016-09-01,20
2016-09-02,16
2016-09-03,3
2016-09-04,7
2016-09-05,9
2016-09-06,30
2016-09-07,29
2016-09-08,28
2016-09-09,26
2016-09-10,16
2016-09-11,13
2016-09-12,27
2016-09-13,35
2016-09-14,35
2016-09-15,39
2016-09-16,33
2016-09-17,10
2016-09-18,6
2016-09-19,19
2016-09-20,19
2016-09-21,23
2016-09-22,27
2016-09-23,33
2016-09-24,6
2016-09-25,6
2016-09-26,23
2016-09-27,22
2016-09-28,33
2016-09-29,16
2016-09-30,23
2016-10-01,5
2016-10-02,11
2016-10-03,13
2016-10-04,31
2016-10-05,32
2016-10-06,16
2016-10-07,11
2016-10-08,8
2016-10-09,6
2016-10-10,18
2016-10-11,16
2016-10-12,21
2016-10-13,11
2016-10-14,25
2016-10-15,3
2016-10-16,15
2016-10-17,26
2016-10-18,35
2016-10-19,33
2016-10-20,98
2016-10-21,100
2016-10-22,25
2016-10-23,14
2016-10-24,38
2016-10-25,44
2016-10-26,37
2016-10-27,27
2016-10-28,27
2016-10-29,6
2016-10-30,5
2016-10-31,34
2016-11-01,16
2016-11-02,34
2016-11-03,17
2016-11-04,26
2016-11-05,8
2016-11-06,9
2016-11-07,17
2016-11-08,30
2016-11-09,33
2016-11-10,34
2016-11-11,25
2016-11-12,8
2016-11-13,9
2016-11-14,13
2016-11-15,16
2016-11-16,30
2016-11-17,23
2016-11-18,20
2016-11-19,6
2016-11-20,9
2016-11-21,29
2016-11-22,14
2016-11-23,24
2016-11-24,14
2016-11-25,12
2016-11-26,12
2016-11-27,6
2016-11-28,31
2016-11-29,27
2016-11-30,18
2016-12-01,18
2016-12-02,12
2016-12-03,9
2016-12-04,12
2016-12-05,20
2016-12-06,30
2016-12-07,21
2016-12-08,18
2016-12-09,14
2016-12-10,7
2016-12-11,8
2016-12-12,13
2016-12-13,17
2016-12-14,25
2016-12-15,25
2016-12-16,20
2016-12-17,6
2016-12-18,5
2016-12-19,16
2016-12-20,16
2016-12-21,18
2016-12-22,20
2016-12-23,13
2016-12-24,0
2016-12-25,5
2016-12-26,7
2016-12-27,17
2016-12-28,14
2016-12-29,11
2016-12-30,18
2016-12-31,5
2017-01-01,3
2017-01-02,4
2017-01-03,18
2017-01-04,30
2017-01-05,23
2017-01-06,22
2017-01-07,16
2017-01-08,6
2017-01-09,15
2017-01-10,9
2017-01-11,15
2017-01-12,12
2017-01-13,21
2017-01-14,6
2017-01-15,10
2017-01-16,5
2017-01-17,23
2017-01-18,17
2017-01-19,13
2017-01-20,16
2017-01-21,6
2017-01-22,4
2017-01-23,16
2017-01-24,20
2017-01-25,28
2017-01-26,67
2017-01-27,66
2017-01-28,20
2017-01-29,9
2017-01-30,24
2017-01-31,43
2017-02-01,42
2017-02-02,23
2017-02-03,37
2017-02-04,16
2017-02-05,4
2017-02-06,27
2017-02-07,36
2017-02-08,28
2017-02-09,31
2017-02-10,34
2017-02-11,9
2017-02-12,6
2017-02-13,16
2017-02-14,16
2017-02-15,29
2017-02-16,26
2017-02-17,16
2017-02-18,4
2017-02-19,3
2017-02-20,14
2017-02-21,17
2017-02-22,20
2017-02-23,18
2017-02-24,29
2017-02-25,10
2017-02-26,12
2017-02-27,28
2017-02-28,30
2017-03-01,29
2017-03-02,28
2017-03-03,14
2017-03-04,14
2017-03-05,6
2017-03-06,23
2017-03-07,26
2017-03-08,19
2017-03-09,15
2017-03-10,19
2017-03-11,6
2017-03-12,4
2017-03-13,21
2017-03-14,20
2017-03-15,32
2017-03-16,15
2017-03-17,22
2017-03-18,10
2017-03-19,4
2017-03-20,18
2017-03-21,25
2017-03-22,18
2017-03-23,15
2017-03-24,25
2017-03-25,6
2017-03-26,4
2017-03-27,10
2017-03-28,16
2017-03-29,11
2017-03-30,15
2017-03-31,13
2017-04-01,7
2017-04-02,3
2017-04-03,19
2017-04-04,20
2017-04-05,18
2017-04-06,12
2017-04-07,15
2017-04-08,10
2017-04-09,9
2017-04-10,13
2017-04-11,19
2017-04-12,25
2017-04-13,16
2017-04-14,12
