date,PYPL
2016-09-11,12
2016-09-12,17
2016-09-13,24
2016-09-14,28
2016-09-15,29
2016-09-16,29
2016-09-17,4
2016-09-18,6
2016-09-19,17
2016-09-20,15
2016-09-21,16
2016-09-22,19
2016-09-23,22
2016-09-24,6
2016-09-25,5
2016-09-26,18
2016-09-27,22
2016-09-28,24
2016-09-29,15
2016-09-30,25
2016-10-01,4
2016-10-02,6
2016-10-03,20
2016-10-04,24
2016-10-05,13
2016-10-06,18
2016-10-07,12
2016-10-08,11
2016-10-09,8
2016-10-10,12
2016-10-11,19
2016-10-12,16
2016-10-13,14
2016-10-14,25
2016-10-15,6
2016-10-16,3
2016-10-17,20
2016-10-18,25
2016-10-19,27
2016-10-20,79
2016-10-21,100
2016-10-22,23
2016-10-23,15
2016-10-24,51
2016-10-25,41
2016-10-26,28
2016-10-27,30
2016-10-28,29
2016-10-29,7
2016-10-30,8
2016-10-31,20
2016-11-01,22
2016-11-02,30
2016-11-03,15
2016-11-04,22
2016-11-05,4
2016-11-06,9
2016-11-07,15
2016-11-08,30
2016-11-09,43
2016-11-10,38
2016-11-11,22
2016-11-12,7
2016-11-13,7
2016-11-14,21
2016-11-15,13
2016-11-16,23
2016-11-17,18
2016-11-18,26
2016-11-19,10
2016-11-20,10
2016-11-21,19
2016-11-22,15
2016-11-23,29
2016-11-24,9
2016-11-25,6
2016-11-26,8
2016-11-27,6
2016-11-28,23
2016-11-29,25
2016-11-30,17
2016-12-01,20
2016-12-02,16
2016-12-03,6
2016-12-04,11
2016-12-05,10
2016-12-06,24
2016-12-07,20
2016-12-08,13
2016-12-09,12
2016-12-10,9
2016-12-11,6
2016-12-12,20
2016-12-13,20
2016-12-14,24
2016-12-15,25
2016-12-16,19
2016-12-17,11
2016-12-18,6
2016-12-19,18
2016-12-20,16
2016-12-21,18
2016-12-22,11
2016-12-23,24
2016-12-24,7
2016-12-25,10
2016-12-26,10
2016-12-27,14
2016-12-28,18
2016-12-29,19
2016-12-30,15
2016-12-31,5
2017-01-01,3
2017-01-02,7
2017-01-03,17
2017-01-04,21
2017-01-05,25
2017-01-06,20
2017-01-07,10
2017-01-08,8
2017-01-09,19
2017-01-10,17
2017-01-11,13
2017-01-12,18
2017-01-13,23
2017-01-14,13
2017-01-15,6
2017-01-16,9
2017-01-17,19
2017-01-18,12
2017-01-19,13
2017-01-20,19
2017-01-21,11
2017-01-22,10
2017-01-23,22
2017-01-24,27
2017-01-25,34
2017-01-26,58
2017-01-27,56
2017-01-28,12
2017-01-29,13
2017-01-30,32
2017-01-31,39
2017-02-01,27
2017-02-02,24
2017-02-03,27
2017-02-04,13
2017-02-05,6
2017-02-06,31
2017-02-07,22
2017-02-08,27
2017-02-09,28
2017-02-10,18
2017-02-11,8
2017-02-12,9
2017-02-13,20
2017-02-14,23
2017-02-15,24
2017-02-16,21
2017-02-17,31
2017-02-18,7
2017-02-19,15
2017-02-20,10
2017-02-21,16
2017-02-22,28
2017-02-23,16
2017-02-24,19
2017-02-25,11
2017-02-26,10
2017-02-27,26
2017-02-28,28
2017-03-01,22
2017-03-02,26
2017-03-03,16
2017-03-04,11
2017-03-05,10
2017-03-06,22
2017-03-07,16
2017-03-08,21
2017-03-09,22
2017-03-10,16
2017-03-11,8
2017-03-12,7
2017-03-13,23
2017-03-14,17
2017-03-15,22
2017-03-16,20
2017-03-17,15
2017-03-18,13
2017-03-19,8
2017-03-20,16
2017-03-21,31
2017-03-22,24
2017-03-23,16
2017-03-24,23
2017-03-25,7
2017-03-26,5
2017-03-27,18
2017-03-28,20
2017-03-29,22
2017-03-30,15
2017-03-31,18
2017-04-01,7
