date,PYPL
2012-06-04,30
2012-06-05,0
2012-06-06,0
2012-06-07,32
2012-06-08,65
2012-06-09,0
2012-06-10,38
2012-06-11,0
2012-06-12,0
2012-06-13,0
2012-06-14,31
2012-06-15,0
2012-06-16,0
2012-06-17,0
2012-06-18,31
2012-06-19,0
2012-06-20,0
2012-06-21,31
2012-06-22,33
2012-06-23,80
2012-06-24,0
2012-06-25,61
2012-06-26,31
2012-06-27,47
2012-06-28,0
2012-06-29,0
2012-06-30,39
2012-07-01,0
2012-07-02,31
2012-07-03,0
2012-07-04,0
2012-07-05,33
2012-07-06,33
2012-07-07,0
2012-07-08,39
2012-07-09,31
2012-07-10,31
2012-07-11,31
2012-07-12,32
2012-07-13,0
2012-07-14,0
2012-07-15,78
2012-07-16,0
2012-07-17,0
2012-07-18,0
2012-07-19,0
2012-07-20,0
2012-07-21,79
2012-07-22,40
2012-07-23,63
2012-07-24,0
2012-07-25,32
2012-07-26,0
2012-07-27,34
2012-07-28,40
2012-07-29,39
2012-07-30,31
2012-07-31,0
2012-08-01,0
2012-08-02,0
2012-08-03,0
2012-08-04,39
2012-08-05,39
2012-08-06,0
2012-08-07,0
2012-08-08,32
2012-08-09,0
2012-08-10,67
2012-08-11,0
2012-08-12,39
2012-08-13,0
2012-08-14,32
2012-08-15,0
2012-08-16,0
2012-08-17,0
2012-08-18,80
2012-08-19,0
2012-08-20,33
2012-08-21,0
2012-08-22,0
2012-08-23,0
2012-08-24,0
2012-08-25,38
2012-08-26,38
2012-08-27,0
2012-08-28,61
2012-08-29,77
2012-08-30,0
2012-08-31,32
2012-09-01,0
2012-09-02,57
2012-09-03,32
2012-09-04,45
2012-09-05,31
2012-09-06,31
2012-09-07,99
2012-09-08,0
2012-09-09,74
2012-09-10,30
2012-09-11,30
2012-09-12,0
2012-09-13,0
2012-09-14,0
2012-09-15,0
2012-09-16,36
2012-09-17,30
2012-09-18,0
2012-09-19,30
2012-09-20,0
2012-09-21,32
2012-09-22,37
2012-09-23,71
2012-09-24,29
2012-09-25,0
2012-09-26,0
2012-09-27,0
2012-09-28,0
2012-09-29,0
2012-09-30,0
2012-10-01,90
2012-10-02,0
2012-10-03,30
2012-10-04,30
2012-10-05,31
2012-10-06,35
2012-10-07,35
2012-10-08,0
2012-10-09,29
2012-10-10,0
2012-10-11,0
2012-10-12,46
2012-10-13,35
2012-10-14,34
2012-10-15,0
2012-10-16,0
2012-10-17,0
2012-10-18,30
2012-10-19,0
2012-10-20,35
2012-10-21,0
2012-10-22,42
2012-10-23,0
2012-10-24,29
2012-10-25,0
2012-10-26,31
2012-10-27,35
2012-10-28,0
2012-10-29,28
2012-10-30,0
2012-10-31,0
2012-11-01,30
2012-11-02,93
2012-11-03,68
2012-11-04,0
2012-11-05,0
2012-11-06,28
2012-11-07,28
2012-11-08,28
2012-11-09,30
2012-11-10,34
2012-11-11,0
2012-11-12,28
2012-11-13,0
2012-11-14,0
2012-11-15,0
2012-11-16,30
2012-11-17,34
2012-11-18,67
2012-11-19,28
2012-11-20,28
2012-11-21,0
2012-11-22,30
2012-11-23,30
2012-11-24,0
2012-11-25,33
2012-11-26,27
2012-11-27,27
2012-11-28,28
2012-11-29,56
2012-11-30,0
2012-12-01,33
2012-12-02,33
2012-12-03,0
2012-12-04,27
2012-12-05,41
2012-12-06,0
2012-12-07,58
2012-12-08,100
2012-12-09,0
2012-12-10,55
2012-12-11,0
2012-12-12,0
2012-12-13,0
2012-12-14,43
2012-12-15,33
2012-12-16,49
2012-12-17,28
2012-12-18,57
2012-12-19,28
2012-12-20,29
2012-12-21,30
2012-12-22,0
2012-12-23,35
2012-12-24,0
2012-12-25,0
2012-12-26,32
2012-12-27,0
2012-12-28,46
2012-12-29,51
2012-12-30,0
2012-12-31,0
2013-01-01,36
2013-01-02,56
2013-01-03,0
2013-01-04,29
2013-01-05,32
2013-01-06,32
2013-01-07,41
2013-01-08,27
2013-01-09,67
2013-01-10,82
2013-01-11,28
2013-01-12,0
2013-01-13,31
2013-01-14,27
2013-01-15,65
2013-01-16,26
2013-01-17,0
2013-01-18,0
2013-01-19,31
2013-01-20,31
2013-01-21,26
2013-01-22,0
2013-01-23,0
2013-01-24,40
2013-01-25,28
2013-01-26,63
2013-01-27,0
2013-01-28,26
2013-01-29,0
2013-01-30,26
2013-01-31,40
2013-02-01,27
2013-02-02,31
2013-02-03,61
2013-02-04,26
2013-02-05,0
2013-02-06,0
2013-02-07,39
2013-02-08,0
2013-02-09,0
2013-02-10,32
2013-02-11,26
2013-02-12,81
2013-02-13,53
2013-02-14,0
2013-02-15,27
2013-02-16,0
2013-02-17,0
2013-02-18,39
2013-02-19,0
