date,PYPL
2015-04-10,1
2015-04-11,1
2015-04-12,0
2015-04-13,1
2015-04-14,1
2015-04-15,1
2015-04-16,0
2015-04-17,1
2015-04-18,1
2015-04-19,0
2015-04-20,1
2015-04-21,1
2015-04-22,1
2015-04-23,1
2015-04-24,1
2015-04-25,1
2015-04-26,0
2015-04-27,1
2015-04-28,0
2015-04-29,1
2015-04-30,1
2015-05-01,1
2015-05-02,1
2015-05-03,1
2015-05-04,1
2015-05-05,1
2015-05-06,1
2015-05-07,1
2015-05-08,1
2015-05-09,1
2015-05-10,0
2015-05-11,1
2015-05-12,1
2015-05-13,1
2015-05-14,2
2015-05-15,3
2015-05-16,1
2015-05-17,2
2015-05-18,2
2015-05-19,1
2015-05-20,1
2015-05-21,1
2015-05-22,1
2015-05-23,1
2015-05-24,0
2015-05-25,1
2015-05-26,1
2015-05-27,1
2015-05-28,1
2015-05-29,1
2015-05-30,1
2015-05-31,0
2015-06-01,0
2015-06-02,1
2015-06-03,1
2015-06-04,1
2015-06-05,1
2015-06-06,1
2015-06-07,1
2015-06-08,1
2015-06-09,1
2015-06-10,1
2015-06-11,2
2015-06-12,1
2015-06-13,1
2015-06-14,0
2015-06-15,1
2015-06-16,1
2015-06-17,1
2015-06-18,1
2015-06-19,0
2015-06-20,1
2015-06-21,1
2015-06-22,1
2015-06-23,1
2015-06-24,1
2015-06-25,1
2015-06-26,1
2015-06-27,2
2015-06-28,1
2015-06-29,1
2015-06-30,1
2015-07-01,2
2015-07-02,2
2015-07-03,1
2015-07-04,1
2015-07-05,1
2015-07-06,2
2015-07-07,2
2015-07-08,2
2015-07-09,1
2015-07-10,2
2015-07-11,1
2015-07-12,1
2015-07-13,2
2015-07-14,3
2015-07-15,5
2015-07-16,5
2015-07-17,10
2015-07-18,7
2015-07-19,5
2015-07-20,100
2015-07-21,58
2015-07-22,25
2015-07-23,23
2015-07-24,23
2015-07-25,6
2015-07-26,5
2015-07-27,14
2015-07-28,13
2015-07-29,15
2015-07-30,10
2015-07-31,10
2015-08-01,6
2015-08-02,3
2015-08-03,9
2015-08-04,13
2015-08-05,8
2015-08-06,11
2015-08-07,9
2015-08-08,3
2015-08-09,1
2015-08-10,6
2015-08-11,8
2015-08-12,7
2015-08-13,7
2015-08-14,6
2015-08-15,3
2015-08-16,2
2015-08-17,7
2015-08-18,6
2015-08-19,8
2015-08-20,6
2015-08-21,8
2015-08-22,4
2015-08-23,2
2015-08-24,11
2015-08-25,12
2015-08-26,11
2015-08-27,9
2015-08-28,6
2015-08-29,2
2015-08-30,2
2015-08-31,8
2015-09-01,9
2015-09-02,6
2015-09-03,5
2015-09-04,4
2015-09-05,3
2015-09-06,1
2015-09-07,2
2015-09-08,6
2015-09-09,7
2015-09-10,6
2015-09-11,5
2015-09-12,2
2015-09-13,3
2015-09-14,4
2015-09-15,5
2015-09-16,5
2015-09-17,4
2015-09-18,7
2015-09-19,1
2015-09-20,1
2015-09-21,5
2015-09-22,6
2015-09-23,5
2015-09-24,5
2015-09-25,4
2015-09-26,1
2015-09-27,1
2015-09-28,3
2015-09-29,5
2015-09-30,7
2015-10-01,5
2015-10-02,5
2015-10-03,2
2015-10-04,2
2015-10-05,6
2015-10-06,4
2015-10-07,3
2015-10-08,5
2015-10-09,6
2015-10-10,2
2015-10-11,1
2015-10-12,4
2015-10-13,4
2015-10-14,5
2015-10-15,5
2015-10-16,5
2015-10-17,2
2015-10-18,1
2015-10-19,6
2015-10-20,3
2015-10-21,7
2015-10-22,5
2015-10-23,6
2015-10-24,1
2015-10-25,2
2015-10-26,7
2015-10-27,6
2015-10-28,20
2015-10-29,11
2015-10-30,9
2015-10-31,1
2015-11-01,3
2015-11-02,7
2015-11-03,8
2015-11-04,9
2015-11-05,8
2015-11-06,5
2015-11-07,1
2015-11-08,3
2015-11-09,7
2015-11-10,7
2015-11-11,6
2015-11-12,7
2015-11-13,6
2015-11-14,2
2015-11-15,1
2015-11-16,6
2015-11-17,9
2015-11-18,6
2015-11-19,7
2015-11-20,5
2015-11-21,3
2015-11-22,1
2015-11-23,5
2015-11-24,5
2015-11-25,4
2015-11-26,2
2015-11-27,4
2015-11-28,1
2015-11-29,2
2015-11-30,5
2015-12-01,6
2015-12-02,5
2015-12-03,4
2015-12-04,4
2015-12-05,3
2015-12-06,1
2015-12-07,5
2015-12-08,5
2015-12-09,4
2015-12-10,2
2015-12-11,5
2015-12-12,2
2015-12-13,1
2015-12-14,5
2015-12-15,6
2015-12-16,7
2015-12-17,4
2015-12-18,4
2015-12-19,2
2015-12-20,3
2015-12-21,5
2015-12-22,5
2015-12-23,4
2015-12-24,3
2015-12-25,1
2015-12-26,1
