date,EA,isPartial
2011-09-18,45,False
2011-09-19,35,False
2011-09-20,66,False
2011-09-21,50,False
2011-09-22,46,False
2011-09-23,49,False
2011-09-24,52,False
2011-09-25,55,False
2011-09-26,50,False
2011-09-27,62,False
2011-09-28,62,False
2011-09-29,100,False
2011-09-30,78,False
2011-10-01,73,False
2011-10-02,70,False
2011-10-03,53,False
2011-10-04,49,False
2011-10-05,48,False
2011-10-06,46,False
2011-10-07,49,False
2011-10-08,55,False
2011-10-09,53,False
2011-10-10,52,False
2011-10-11,47,False
2011-10-12,45,False
2011-10-13,40,False
2011-10-14,44,False
2011-10-15,48,False
2011-10-16,45,False
2011-10-17,38,False
2011-10-18,40,False
2011-10-19,38,False
2011-10-20,42,False
2011-10-21,45,False
2011-10-22,50,False
2011-10-23,44,False
2011-10-24,44,False
2011-10-25,64,False
2011-10-26,73,False
2011-10-27,82,False
2011-10-28,70,False
2011-10-29,71,False
2011-10-30,62,False
2011-10-31,53,False
2011-11-01,53,False
2011-11-02,62,False
2011-11-03,51,False
2011-11-04,48,False
2011-11-05,48,False
2011-11-06,50,False
2011-11-07,43,False
2011-11-08,40,False
2011-11-09,36,False
2011-11-10,40,False
2011-11-11,40,False
2011-11-12,42,False
2011-11-13,42,False
2011-11-14,35,False
2011-11-15,35,False
2011-11-16,35,False
2011-11-17,37,False
2011-11-18,39,False
2011-11-19,38,False
2011-11-20,39,False
2011-11-21,34,False
2011-11-22,38,False
2011-11-23,35,False
2011-11-24,38,False
2011-11-25,46,False
2011-11-26,44,False
2011-11-27,40,False
2011-11-28,39,False
2011-11-29,39,False
2011-11-30,37,False
2011-12-01,35,False
2011-12-02,34,False
2011-12-03,41,False
2011-12-04,42,False
2011-12-05,32,False
2011-12-06,41,False
2011-12-07,37,False
2011-12-08,34,False
2011-12-09,40,False
2011-12-10,44,False
2011-12-11,46,False
2011-12-12,41,False
2011-12-13,51,False
2011-12-14,42,False
2011-12-15,39,False
2011-12-16,40,False
2011-12-17,53,False
2011-12-18,43,False
2011-12-19,42,False
2011-12-20,42,False
2011-12-21,43,False
2011-12-22,44,False
2011-12-23,43,False
2011-12-24,48,False
2011-12-25,57,False
2011-12-26,46,False
2011-12-27,44,False
2011-12-28,47,False
2011-12-29,46,False
2011-12-30,46,False
2011-12-31,43,False
2012-01-01,48,False
2012-01-02,45,False
2012-01-03,40,False
2012-01-04,43,False
2012-01-05,40,False
2012-01-06,41,False
2012-01-07,43,False
2012-01-08,43,False
2012-01-09,35,False
2012-01-10,36,False
2012-01-11,35,False
2012-01-12,38,False
2012-01-13,38,False
2012-01-14,42,False
2012-01-15,40,False
2012-01-16,38,False
2012-01-17,37,False
2012-01-18,37,False
2012-01-19,42,False
2012-01-20,42,False
2012-01-21,42,False
2012-01-22,39,False
2012-01-23,37,False
2012-01-24,34,False
2012-01-25,34,False
2012-01-26,36,False
2012-01-27,36,False
2012-01-28,39,False
2012-01-29,40,False
2012-01-30,35,False
2012-01-31,33,False
2012-02-01,35,False
2012-02-02,39,False
2012-02-03,42,False
2012-02-04,42,False
2012-02-05,40,False
2012-02-06,35,False
2012-02-07,38,False
2012-02-08,35,False
2012-02-09,35,False
2012-02-10,39,False
2012-02-11,42,False
2012-02-12,39,False
2012-02-13,33,False
2012-02-14,39,False
2012-02-15,37,False
2012-02-16,36,False
2012-02-17,37,False
2012-02-18,43,False
2012-02-19,41,False
2012-02-20,35,False
2012-02-21,35,False
2012-02-22,35,False
2012-02-23,37,False
2012-02-24,38,False
2012-02-25,45,False
2012-02-26,46,False
2012-02-27,35,False
2012-02-28,36,False
2012-02-29,38,False
2012-03-01,36,False
2012-03-02,37,False
2012-03-03,42,False
2012-03-04,39,False
2012-03-05,36,False
2012-03-06,38,False
2012-03-07,39,False
2012-03-08,38,False
2012-03-09,42,False
2012-03-10,41,False
2012-03-11,41,False
2012-03-12,35,False
2012-03-13,37,False
2012-03-14,36,False
2012-03-15,33,False
2012-03-16,37,False
2012-03-17,38,False
2012-03-18,40,False
2012-03-19,33,False
2012-03-20,35,False
2012-03-21,33,False
2012-03-22,33,False
2012-03-23,34,False
2012-03-24,37,False
2012-03-25,37,False
2012-03-26,37,False
2012-03-27,34,False
2012-03-28,35,False
2012-03-29,36,False
2012-03-30,37,False
2012-03-31,38,False
2012-04-01,38,False
2012-04-02,35,False
2012-04-03,34,False
2012-04-04,36,False
2012-04-05,40,False
2012-04-06,45,False
2012-04-07,39,False
2012-04-08,41,False
2012-04-09,38,False
2012-04-10,37,False
2012-04-11,37,False
2012-04-12,33,False
2012-04-13,35,False
2012-04-14,40,False
2012-04-15,39,False
2012-04-16,34,False
2012-04-17,33,False
2012-04-18,32,False
2012-04-19,32,False
2012-04-20,33,False
2012-04-21,36,False
2012-04-22,39,False
2012-04-23,39,False
2012-04-24,33,False
2012-04-25,34,False
2012-04-26,33,False
2012-04-27,34,False
2012-04-28,38,False
2012-04-29,37,False
2012-04-30,33,False
2012-05-01,35,False
2012-05-02,34,False
2012-05-03,34,False
2012-05-04,33,False
2012-05-05,47,False
2012-05-06,37,False
2012-05-07,33,False
2012-05-08,34,False
2012-05-09,36,False
2012-05-10,31,False
2012-05-11,29,False
2012-05-12,36,False
2012-05-13,37,False
2012-05-14,33,False
2012-05-15,32,False
2012-05-16,31,False
2012-05-17,31,False
2012-05-18,31,False
2012-05-19,33,False
2012-05-20,37,False
2012-05-21,33,False
2012-05-22,32,False
2012-05-23,30,False
2012-05-24,33,False
2012-05-25,31,False
2012-05-26,33,False
2012-05-27,38,False
2012-05-28,34,False
2012-05-29,33,False
2012-05-30,35,False
2012-05-31,32,False
2012-06-01,35,False
2012-06-02,38,False
2012-06-03,38,False
2012-06-04,52,False
