date,EA,isPartial
2017-05-29,36,False
2017-05-30,38,False
2017-05-31,36,False
2017-06-01,34,False
2017-06-02,34,False
2017-06-03,32,False
2017-06-04,35,False
2017-06-05,41,False
2017-06-06,37,False
2017-06-07,36,False
2017-06-08,35,False
2017-06-09,34,False
2017-06-10,82,False
2017-06-11,62,False
2017-06-12,50,False
2017-06-13,40,False
2017-06-14,33,False
2017-06-15,36,False
2017-06-16,36,False
2017-06-17,35,False
2017-06-18,34,False
2017-06-19,35,False
2017-06-20,35,False
2017-06-21,34,False
2017-06-22,33,False
2017-06-23,35,False
2017-06-24,35,False
2017-06-25,32,False
2017-06-26,37,False
2017-06-27,33,False
2017-06-28,34,False
2017-06-29,35,False
2017-06-30,31,False
2017-07-01,30,False
2017-07-02,31,False
2017-07-03,34,False
2017-07-04,30,False
2017-07-05,34,False
2017-07-06,30,False
2017-07-07,33,False
2017-07-08,31,False
2017-07-09,29,False
2017-07-10,35,False
2017-07-11,31,False
2017-07-12,35,False
2017-07-13,33,False
2017-07-14,31,False
2017-07-15,29,False
2017-07-16,30,False
2017-07-17,34,False
2017-07-18,31,False
2017-07-19,32,False
2017-07-20,37,False
2017-07-21,39,False
2017-07-22,30,False
2017-07-23,29,False
2017-07-24,31,False
2017-07-25,31,False
2017-07-26,32,False
2017-07-27,34,False
2017-07-28,34,False
2017-07-29,29,False
2017-07-30,32,False
2017-07-31,32,False
2017-08-01,36,False
2017-08-02,32,False
2017-08-03,36,False
2017-08-04,33,False
2017-08-05,31,False
2017-08-06,31,False
2017-08-07,32,False
2017-08-08,32,False
2017-08-09,38,False
2017-08-10,37,False
2017-08-11,36,False
2017-08-12,36,False
2017-08-13,36,False
2017-08-14,35,False
2017-08-15,37,False
2017-08-16,38,False
2017-08-17,40,False
2017-08-18,33,False
2017-08-19,35,False
2017-08-20,37,False
2017-08-21,38,False
2017-08-22,36,False
2017-08-23,40,False
2017-08-24,35,False
2017-08-25,38,False
2017-08-26,34,False
2017-08-27,36,False
2017-08-28,32,False
2017-08-29,34,False
2017-08-30,35,False
2017-08-31,33,False
2017-09-01,30,False
2017-09-02,34,False
2017-09-03,33,False
2017-09-04,32,False
2017-09-05,42,False
2017-09-06,43,False
2017-09-07,41,False
2017-09-08,41,False
2017-09-09,37,False
2017-09-10,37,False
2017-09-11,41,False
2017-09-12,38,False
2017-09-13,36,False
2017-09-14,33,False
2017-09-15,33,False
2017-09-16,36,False
2017-09-17,38,False
2017-09-18,37,False
2017-09-19,38,False
2017-09-20,70,False
2017-09-21,72,False
2017-09-22,56,False
2017-09-23,45,False
2017-09-24,44,False
2017-09-25,41,False
2017-09-26,47,False
2017-09-27,44,False
2017-09-28,44,False
2017-09-29,54,False
2017-09-30,46,False
2017-10-01,40,False
2017-10-02,41,False
2017-10-03,40,False
2017-10-04,49,False
2017-10-05,45,False
2017-10-06,42,False
2017-10-07,38,False
2017-10-08,42,False
2017-10-09,37,False
2017-10-10,37,False
2017-10-11,36,False
2017-10-12,37,False
2017-10-13,38,False
2017-10-14,35,False
2017-10-15,36,False
2017-10-16,36,False
2017-10-17,41,False
2017-10-18,43,False
2017-10-19,41,False
2017-10-20,43,False
2017-10-21,37,False
2017-10-22,37,False
2017-10-23,36,False
2017-10-24,40,False
2017-10-25,40,False
2017-10-26,38,False
2017-10-27,37,False
2017-10-28,36,False
2017-10-29,36,False
2017-10-30,36,False
2017-10-31,38,False
2017-11-01,41,False
2017-11-02,41,False
2017-11-03,41,False
2017-11-04,35,False
2017-11-05,34,False
2017-11-06,34,False
2017-11-07,36,False
2017-11-08,41,False
2017-11-09,41,False
2017-11-10,43,False
2017-11-11,39,False
2017-11-12,41,False
2017-11-13,62,False
2017-11-14,98,False
2017-11-15,89,False
2017-11-16,68,False
2017-11-17,77,False
2017-11-18,58,False
2017-11-19,48,False
2017-11-20,50,False
2017-11-21,48,False
2017-11-22,56,False
2017-11-23,46,False
2017-11-24,50,False
2017-11-25,44,False
2017-11-26,40,False
2017-11-27,44,False
2017-11-28,41,False
2017-11-29,56,False
2017-11-30,48,False
2017-12-01,42,False
2017-12-02,40,False
2017-12-03,40,False
2017-12-04,38,False
2017-12-05,40,False
2017-12-06,39,False
2017-12-07,41,False
2017-12-08,42,False
2017-12-09,37,False
2017-12-10,35,False
2017-12-11,36,False
2017-12-12,36,False
2017-12-13,38,False
2017-12-14,36,False
2017-12-15,37,False
2017-12-16,34,False
2017-12-17,35,False
2017-12-18,35,False
2017-12-19,34,False
2017-12-20,34,False
2017-12-21,35,False
2017-12-22,35,False
2017-12-23,34,False
2017-12-24,37,False
2017-12-25,44,False
2017-12-26,41,False
2017-12-27,47,False
2017-12-28,100,False
2017-12-29,43,False
2017-12-30,38,False
2017-12-31,33,False
2018-01-01,34,False
2018-01-02,39,False
2018-01-03,37,False
2018-01-04,33,False
2018-01-05,35,False
2018-01-06,37,False
2018-01-07,34,False
2018-01-08,38,False
2018-01-09,33,False
2018-01-10,40,False
2018-01-11,40,False
2018-01-12,32,False
2018-01-13,34,False
2018-01-14,34,False
2018-01-15,38,False
2018-01-16,34,False
2018-01-17,35,False
2018-01-18,39,False
2018-01-19,36,False
2018-01-20,33,False
2018-01-21,32,False
2018-01-22,31,False
2018-01-23,33,False
2018-01-24,33,False
2018-01-25,35,False
2018-01-26,44,False
2018-01-27,39,False
2018-01-28,37,False
2018-01-29,43,False
2018-01-30,40,False
2018-01-31,40,False
2018-02-01,42,False
2018-02-02,43,False
2018-02-03,33,False
2018-02-04,34,False
2018-02-05,33,False
2018-02-06,30,False
2018-02-07,33,False
2018-02-08,36,False
2018-02-09,33,False
2018-02-10,32,False
2018-02-11,30,False
2018-02-12,30,False
2018-02-13,29,False
