date,date,value
2016-08-21,2016-08-21,44.0
2016-08-22,2016-08-22,71.0
2016-08-23,2016-08-23,79.0
2016-08-24,2016-08-24,73.0
2016-08-25,2016-08-25,72.0
2016-08-26,2016-08-26,57.0
2016-08-27,2016-08-27,49.0
2016-08-28,2016-08-28,47.0
2016-08-29,2016-08-29,76.0
2016-08-30,2016-08-30,77.0
2016-08-31,2016-08-31,69.0
2016-09-01,2016-09-01,65.0
2016-09-02,2016-09-02,71.0
2016-09-03,2016-09-03,42.0
2016-09-04,2016-09-04,50.0
2016-09-05,2016-09-05,65.0
2016-09-06,2016-09-06,55.0
2016-09-07,2016-09-07,77.0
2016-09-08,2016-09-08,74.0
2016-09-09,2016-09-09,62.0
2016-09-10,2016-09-10,50.0
2016-09-11,2016-09-11,51.0
2016-09-12,2016-09-12,69.0
2016-09-13,2016-09-13,58.0
2016-09-14,2016-09-14,74.0
2016-09-15,2016-09-15,67.0
2016-09-16,2016-09-16,60.0
2016-09-17,2016-09-17,45.0
2016-09-18,2016-09-18,43.0
2016-09-19,2016-09-19,69.0
2016-09-20,2016-09-20,77.0
2016-09-21,2016-09-21,74.0
2016-09-22,2016-09-22,79.0
2016-09-23,2016-09-23,67.0
2016-09-24,2016-09-24,52.0
2016-09-25,2016-09-25,42.0
2016-09-26,2016-09-26,80.0
2016-09-27,2016-09-27,73.0
2016-09-28,2016-09-28,79.0
2016-09-29,2016-09-29,100.0
2016-09-30,2016-09-30,69.0
2016-10-01,2016-10-01,43.0
2016-10-02,2016-10-02,41.0
2016-10-03,2016-10-03,69.0
2016-10-04,2016-10-04,67.0
2016-10-05,2016-10-05,85.0
2016-10-06,2016-10-06,57.0
2016-10-07,2016-10-07,65.0
2016-10-08,2016-10-08,58.0
2016-10-09,2016-10-09,57.0
2016-10-10,2016-10-10,74.0
2016-10-11,2016-10-11,62.0
2016-10-12,2016-10-12,71.0
2016-10-13,2016-10-13,77.0
2016-10-14,2016-10-14,58.0
2016-10-15,2016-10-15,45.0
2016-10-16,2016-10-16,55.0
2016-10-17,2016-10-17,60.0
2016-10-18,2016-10-18,61.0
2016-10-19,2016-10-19,66.0
2016-10-20,2016-10-20,56.0
2016-10-21,2016-10-21,63.0
2016-10-22,2016-10-22,43.0
2016-10-23,2016-10-23,48.0
2016-10-24,2016-10-24,66.0
2016-10-25,2016-10-25,72.0
2016-10-26,2016-10-26,73.0
2016-10-27,2016-10-27,61.0
2016-10-28,2016-10-28,63.0
2016-10-29,2016-10-29,49.0
2016-10-30,2016-10-30,39.0
2016-10-31,2016-10-31,60.0
2016-11-01,2016-11-01,68.0
2016-11-02,2016-11-02,78.0
2016-11-03,2016-11-03,68.0
2016-11-04,2016-11-04,57.0
2016-11-05,2016-11-05,48.0
2016-11-06,2016-11-06,52.0
2016-11-07,2016-11-07,75.0
2016-11-08,2016-11-08,74.0
2016-11-09,2016-11-09,95.0
2016-11-10,2016-11-10,95.0
2016-11-11,2016-11-11,60.0
2016-11-12,2016-11-12,52.0
2016-11-13,2016-11-13,43.0
2016-11-14,2016-11-14,78.0
2016-11-15,2016-11-15,73.0
2016-11-16,2016-11-16,68.0
2016-11-17,2016-11-17,58.0
2016-11-18,2016-11-18,58.0
2016-11-19,2016-11-19,56.0
2016-11-20,2016-11-20,49.0
2016-11-21,2016-11-21,83.0
2016-11-22,2016-11-22,68.0
2016-11-23,2016-11-23,66.0
2016-11-24,2016-11-24,53.0
2016-11-25,2016-11-25,55.0
2016-11-26,2016-11-26,40.0
2016-11-27,2016-11-27,39.0
2016-11-28,2016-11-28,72.0
2016-11-29,2016-11-29,73.0
2016-11-30,2016-11-30,81.0
2016-12-01,2016-12-01,60.0
2016-12-02,2016-12-02,54.0
2016-12-03,2016-12-03,61.0
2016-12-04,2016-12-04,63.0
2016-12-05,2016-12-05,79.0
2016-12-06,2016-12-06,79.0
2016-12-07,2016-12-07,62.0
2016-12-08,2016-12-08,67.0
