date,ACN
2016-08-08,77
2016-08-09,68
2016-08-10,74
2016-08-11,72
2016-08-12,61
2016-08-13,46
2016-08-14,45
2016-08-15,66
2016-08-16,79
2016-08-17,73
2016-08-18,75
2016-08-19,69
2016-08-20,50
2016-08-21,42
2016-08-22,78
2016-08-23,76
2016-08-24,74
2016-08-25,75
2016-08-26,67
2016-08-27,47
2016-08-28,49
2016-08-29,73
2016-08-30,81
2016-08-31,75
2016-09-01,71
2016-09-02,66
2016-09-03,44
2016-09-04,48
2016-09-05,60
2016-09-06,72
2016-09-07,79
2016-09-08,68
2016-09-09,73
2016-09-10,54
2016-09-11,59
2016-09-12,73
2016-09-13,72
2016-09-14,80
2016-09-15,75
2016-09-16,69
2016-09-17,44
2016-09-18,48
2016-09-19,78
2016-09-20,72
2016-09-21,71
2016-09-22,82
2016-09-23,67
2016-09-24,53
2016-09-25,45
2016-09-26,71
2016-09-27,76
2016-09-28,78
2016-09-29,99
2016-09-30,75
2016-10-01,51
2016-10-02,44
2016-10-03,69
2016-10-04,72
2016-10-05,72
2016-10-06,72
2016-10-07,67
2016-10-08,55
2016-10-09,52
2016-10-10,79
2016-10-11,71
2016-10-12,71
2016-10-13,73
2016-10-14,65
2016-10-15,41
2016-10-16,48
2016-10-17,72
2016-10-18,76
2016-10-19,81
2016-10-20,74
2016-10-21,57
2016-10-22,41
2016-10-23,53
2016-10-24,80
2016-10-25,75
2016-10-26,69
2016-10-27,71
2016-10-28,56
2016-10-29,50
2016-10-30,47
2016-10-31,63
2016-11-01,64
2016-11-02,79
2016-11-03,69
2016-11-04,62
2016-11-05,50
2016-11-06,49
2016-11-07,84
2016-11-08,78
2016-11-09,100
2016-11-10,95
2016-11-11,69
2016-11-12,57
2016-11-13,50
2016-11-14,82
2016-11-15,74
2016-11-16,69
2016-11-17,76
2016-11-18,64
2016-11-19,47
2016-11-20,48
2016-11-21,76
2016-11-22,67
2016-11-23,70
2016-11-24,71
2016-11-25,57
2016-11-26,43
2016-11-27,45
2016-11-28,65
2016-11-29,69
2016-11-30,70
2016-12-01,64
2016-12-02,74
2016-12-03,63
2016-12-04,58
2016-12-05,78
2016-12-06,74
2016-12-07,68
2016-12-08,69
2016-12-09,58
2016-12-10,43
2016-12-11,48
2016-12-12,71
2016-12-13,71
2016-12-14,71
2016-12-15,64
2016-12-16,63
2016-12-17,44
2016-12-18,47
2016-12-19,64
2016-12-20,72
2016-12-21,76
2016-12-22,68
2016-12-23,46
2016-12-24,33
2016-12-25,24
2016-12-26,31
2016-12-27,53
2016-12-28,63
2016-12-29,61
2016-12-30,50
2016-12-31,34
2017-01-01,33
2017-01-02,47
2017-01-03,66
2017-01-04,64
2017-01-05,63
2017-01-06,59
2017-01-07,47
2017-01-08,43
2017-01-09,72
2017-01-10,79
2017-01-11,71
2017-01-12,71
2017-01-13,67
2017-01-14,56
2017-01-15,52
2017-01-16,78
2017-01-17,72
2017-01-18,81
2017-01-19,71
2017-01-20,71
2017-01-21,52
2017-01-22,50
2017-01-23,72
2017-01-24,74
2017-01-25,72
2017-01-26,60
2017-01-27,64
2017-01-28,57
2017-01-29,55
2017-01-30,71
2017-01-31,85
2017-02-01,70
2017-02-02,76
2017-02-03,68
2017-02-04,54
2017-02-05,53
2017-02-06,78
2017-02-07,69
2017-02-08,76
2017-02-09,72
2017-02-10,72
2017-02-11,50
2017-02-12,44
2017-02-13,66
2017-02-14,63
2017-02-15,70
2017-02-16,70
2017-02-17,68
2017-02-18,48
2017-02-19,54
2017-02-20,72
2017-02-21,74
2017-02-22,83
2017-02-23,73
2017-02-24,68
2017-02-25,58
2017-02-26,58
2017-02-27,85
2017-02-28,85
2017-03-01,84
2017-03-02,72
2017-03-03,76
2017-03-04,60
2017-03-05,60
2017-03-06,73
2017-03-07,82
2017-03-08,74
2017-03-09,76
2017-03-10,72
2017-03-11,54
2017-03-12,50
2017-03-13,75
2017-03-14,89
2017-03-15,69
2017-03-16,75
2017-03-17,68
2017-03-18,48
2017-03-19,55
2017-03-20,76
2017-03-21,74
2017-03-22,81
2017-03-23,94
2017-03-24,81
2017-03-25,54
2017-03-26,53
2017-03-27,84
2017-03-28,80
2017-03-29,85
2017-03-30,80
2017-03-31,72
2017-04-01,55
2017-04-02,56
2017-04-03,84
2017-04-04,74
2017-04-05,73
2017-04-06,75
2017-04-07,67
2017-04-08,46
2017-04-09,53
2017-04-10,74
2017-04-11,79
2017-04-12,63
2017-04-13,57
2017-04-14,50
2017-04-15,45
2017-04-16,40
2017-04-17,60
2017-04-18,62
2017-04-19,68
2017-04-20,73
2017-04-21,75
2017-04-22,43
2017-04-23,45
