date,ACN,isPartial
2013-06-29,77,False
2013-06-30,52,False
2013-07-01,79,False
2013-07-02,90,False
2013-07-03,81,False
2013-07-04,92,False
2013-07-05,64,False
2013-07-06,51,False
2013-07-07,57,False
2013-07-08,96,False
2013-07-09,85,False
2013-07-10,74,False
2013-07-11,80,False
2013-07-12,92,False
2013-07-13,75,False
2013-07-14,52,False
2013-07-15,83,False
2013-07-16,71,False
2013-07-17,97,False
2013-07-18,84,False
2013-07-19,58,False
2013-07-20,65,False
2013-07-21,45,False
2013-07-22,73,False
2013-07-23,94,False
2013-07-24,73,False
2013-07-25,92,False
2013-07-26,75,False
2013-07-27,52,False
2013-07-28,61,False
2013-07-29,73,False
2013-07-30,81,False
2013-07-31,79,False
2013-08-01,83,False
2013-08-02,68,False
2013-08-03,66,False
2013-08-04,58,False
2013-08-05,85,False
2013-08-06,75,False
2013-08-07,69,False
2013-08-08,76,False
2013-08-09,67,False
2013-08-10,54,False
2013-08-11,45,False
2013-08-12,76,False
2013-08-13,70,False
2013-08-14,87,False
2013-08-15,83,False
2013-08-16,66,False
2013-08-17,66,False
2013-08-18,56,False
2013-08-19,78,False
2013-08-20,83,False
2013-08-21,70,False
2013-08-22,79,False
2013-08-23,73,False
2013-08-24,57,False
2013-08-25,56,False
2013-08-26,95,False
2013-08-27,69,False
2013-08-28,83,False
2013-08-29,72,False
2013-08-30,70,False
2013-08-31,66,False
2013-09-01,49,False
2013-09-02,74,False
2013-09-03,63,False
2013-09-04,69,False
2013-09-05,85,False
2013-09-06,62,False
2013-09-07,65,False
2013-09-08,52,False
2013-09-09,72,False
2013-09-10,84,False
2013-09-11,94,False
2013-09-12,74,False
2013-09-13,68,False
2013-09-14,60,False
2013-09-15,66,False
2013-09-16,77,False
2013-09-17,81,False
2013-09-18,66,False
2013-09-19,96,False
2013-09-20,74,False
2013-09-21,55,False
2013-09-22,44,False
2013-09-23,76,False
2013-09-24,84,False
2013-09-25,68,False
2013-09-26,93,False
2013-09-27,81,False
2013-09-28,61,False
2013-09-29,48,False
2013-09-30,100,False
2013-10-01,78,False
2013-10-02,71,False
2013-10-03,70,False
2013-10-04,66,False
2013-10-05,46,False
2013-10-06,65,False
2013-10-07,90,False
2013-10-08,73,False
2013-10-09,86,False
2013-10-10,77,False
2013-10-11,80,False
2013-10-12,51,False
2013-10-13,68,False
2013-10-14,61,False
2013-10-15,86,False
2013-10-16,85,False
2013-10-17,88,False
2013-10-18,74,False
2013-10-19,67,False
2013-10-20,50,False
2013-10-21,78,False
2013-10-22,88,False
2013-10-23,84,False
2013-10-24,87,False
2013-10-25,75,False
2013-10-26,56,False
2013-10-27,49,False
2013-10-28,74,False
2013-10-29,93,False
2013-10-30,69,False
2013-10-31,67,False
2013-11-01,67,False
2013-11-02,65,False
2013-11-03,61,False
2013-11-04,60,False
2013-11-05,62,False
2013-11-06,72,False
2013-11-07,78,False
2013-11-08,78,False
