date,ACN,isPartial
2011-05-11,73,False
2011-05-12,79,False
2011-05-13,79,False
2011-05-14,49,False
2011-05-15,63,False
2011-05-16,66,False
2011-05-17,70,False
2011-05-18,68,False
2011-05-19,82,False
2011-05-20,78,False
2011-05-21,45,False
2011-05-22,52,False
2011-05-23,62,False
2011-05-24,57,False
2011-05-25,69,False
2011-05-26,52,False
2011-05-27,66,False
2011-05-28,58,False
2011-05-29,39,False
2011-05-30,57,False
2011-05-31,77,False
2011-06-01,69,False
2011-06-02,80,False
2011-06-03,56,False
2011-06-04,63,False
2011-06-05,44,False
2011-06-06,67,False
2011-06-07,84,False
2011-06-08,84,False
2011-06-09,56,False
2011-06-10,55,False
2011-06-11,51,False
2011-06-12,53,False
2011-06-13,72,False
2011-06-14,65,False
2011-06-15,84,False
2011-06-16,80,False
2011-06-17,70,False
2011-06-18,64,False
2011-06-19,59,False
2011-06-20,74,False
2011-06-21,67,False
2011-06-22,61,False
2011-06-23,69,False
2011-06-24,78,False
2011-06-25,44,False
2011-06-26,50,False
2011-06-27,83,False
2011-06-28,92,False
2011-06-29,100,False
2011-06-30,86,False
2011-07-01,54,False
2011-07-02,56,False
2011-07-03,57,False
2011-07-04,72,False
2011-07-05,82,False
2011-07-06,73,False
2011-07-07,80,False
2011-07-08,72,False
2011-07-09,48,False
2011-07-10,60,False
2011-07-11,69,False
2011-07-12,86,False
2011-07-13,87,False
2011-07-14,65,False
2011-07-15,65,False
2011-07-16,46,False
2011-07-17,54,False
2011-07-18,69,False
2011-07-19,81,False
2011-07-20,66,False
2011-07-21,79,False
2011-07-22,61,False
2011-07-23,44,False
2011-07-24,60,False
2011-07-25,58,False
2011-07-26,65,False
2011-07-27,73,False
2011-07-28,76,False
2011-07-29,68,False
2011-07-30,57,False
2011-07-31,47,False
2011-08-01,82,False
2011-08-02,76,False
2011-08-03,80,False
2011-08-04,71,False
2011-08-05,75,False
2011-08-06,49,False
2011-08-07,60,False
2011-08-08,74,False
2011-08-09,75,False
2011-08-10,55,False
2011-08-11,90,False
2011-08-12,76,False
2011-08-13,46,False
2011-08-14,45,False
2011-08-15,73,False
2011-08-16,71,False
2011-08-17,66,False
2011-08-18,82,False
2011-08-19,72,False
2011-08-20,44,False
2011-08-21,51,False
2011-08-22,83,False
2011-08-23,68,False
2011-08-24,65,False
2011-08-25,72,False
2011-08-26,68,False
2011-08-27,42,False
2011-08-28,58,False
2011-08-29,70,False
2011-08-30,71,False
2011-08-31,81,False
2011-09-01,71,False
2011-09-02,68,False
2011-09-03,57,False
2011-09-04,50,False
2011-09-05,63,False
2011-09-06,96,False
2011-09-07,75,False
2011-09-08,57,False
2011-09-09,71,False
2011-09-10,46,False
2011-09-11,50,False
2011-09-12,49,False
2011-09-13,69,False
2011-09-14,84,False
2011-09-15,86,False
2011-09-16,59,False
2011-09-17,54,False
2011-09-18,58,False
2011-09-19,83,False
2011-09-20,77,False
2011-09-21,63,False
2011-09-22,80,False
2011-09-23,67,False
2011-09-24,61,False
2011-09-25,51,False
2011-09-26,75,False
2011-09-27,76,False
2011-09-28,75,False
2011-09-29,77,False
2011-09-30,80,False
2011-10-01,74,False
2011-10-02,55,False
2011-10-03,56,False
2011-10-04,77,False
2011-10-05,70,False
2011-10-06,86,False
2011-10-07,66,False
2011-10-08,45,False
2011-10-09,59,False
2011-10-10,69,False
2011-10-11,77,False
2011-10-12,71,False
2011-10-13,83,False
2011-10-14,56,False
2011-10-15,49,False
2011-10-16,60,False
2011-10-17,61,False
2011-10-18,77,False
2011-10-19,88,False
2011-10-20,71,False
2011-10-21,65,False
2011-10-22,41,False
2011-10-23,60,False
2011-10-24,76,False
2011-10-25,80,False
2011-10-26,66,False
2011-10-27,82,False
2011-10-28,66,False
2011-10-29,56,False
2011-10-30,36,False
2011-10-31,66,False
2011-11-01,75,False
2011-11-02,91,False
2011-11-03,65,False
2011-11-04,66,False
2011-11-05,47,False
2011-11-06,70,False
2011-11-07,86,False
2011-11-08,65,False
2011-11-09,73,False
2011-11-10,83,False
2011-11-11,55,False
2011-11-12,53,False
2011-11-13,53,False
2011-11-14,73,False
2011-11-15,91,False
2011-11-16,72,False
2011-11-17,88,False
2011-11-18,63,False
2011-11-19,62,False
2011-11-20,50,False
2011-11-21,71,False
2011-11-22,79,False
2011-11-23,75,False
2011-11-24,67,False
2011-11-25,54,False
2011-11-26,44,False
2011-11-27,51,False
2011-11-28,78,False
2011-11-29,68,False
2011-11-30,55,False
2011-12-01,64,False
2011-12-02,56,False
2011-12-03,61,False
2011-12-04,65,False
2011-12-05,82,False
2011-12-06,62,False
2011-12-07,73,False
2011-12-08,65,False
2011-12-09,68,False
2011-12-10,53,False
2011-12-11,44,False
2011-12-12,58,False
2011-12-13,65,False
2011-12-14,79,False
2011-12-15,66,False
2011-12-16,66,False
2011-12-17,39,False
2011-12-18,41,False
2011-12-19,59,False
2011-12-20,65,False
2011-12-21,89,False
2011-12-22,58,False
2011-12-23,57,False
2011-12-24,51,False
2011-12-25,33,False
2011-12-26,34,False
2011-12-27,53,False
2011-12-28,70,False
2011-12-29,50,False
2011-12-30,61,False
2011-12-31,45,False
2012-01-01,43,False
2012-01-02,47,False
2012-01-03,59,False
2012-01-04,77,False
2012-01-05,65,False
2012-01-06,64,False
2012-01-07,54,False
2012-01-08,56,False
2012-01-09,57,False
2012-01-10,62,False
2012-01-11,80,False
2012-01-12,73,False
2012-01-13,71,False
2012-01-14,49,False
2012-01-15,53,False
2012-01-16,76,False
2012-01-17,74,False
2012-01-18,66,False
2012-01-19,78,False
2012-01-20,76,False
2012-01-21,60,False
2012-01-22,73,False
2012-01-23,94,False
2012-01-24,83,False
2012-01-25,92,False
2012-01-26,62,False
