date,ACN,isPartial
2013-02-19,100,False
2013-02-20,84,False
2013-02-21,82,False
2013-02-22,67,False
2013-02-23,80,False
2013-02-24,55,False
2013-02-25,94,False
2013-02-26,87,False
2013-02-27,76,False
2013-02-28,79,False
2013-03-01,75,False
2013-03-02,62,False
2013-03-03,62,False
2013-03-04,91,False
2013-03-05,94,False
2013-03-06,83,False
2013-03-07,79,False
2013-03-08,71,False
2013-03-09,46,False
2013-03-10,45,False
2013-03-11,64,False
2013-03-12,77,False
2013-03-13,76,False
2013-03-14,66,False
2013-03-15,63,False
2013-03-16,53,False
2013-03-17,52,False
2013-03-18,79,False
2013-03-19,79,False
2013-03-20,71,False
2013-03-21,73,False
2013-03-22,69,False
2013-03-23,64,False
2013-03-24,59,False
2013-03-25,83,False
2013-03-26,69,False
2013-03-27,86,False
2013-03-28,86,False
2013-03-29,57,False
2013-03-30,39,False
2013-03-31,54,False
2013-04-01,52,False
2013-04-02,77,False
2013-04-03,67,False
2013-04-04,69,False
2013-04-05,72,False
2013-04-06,59,False
2013-04-07,57,False
2013-04-08,82,False
2013-04-09,85,False
2013-04-10,77,False
2013-04-11,75,False
2013-04-12,69,False
2013-04-13,52,False
2013-04-14,66,False
2013-04-15,70,False
2013-04-16,78,False
2013-04-17,74,False
2013-04-18,79,False
2013-04-19,70,False
2013-04-20,62,False
2013-04-21,46,False
2013-04-22,77,False
2013-04-23,79,False
2013-04-24,74,False
2013-04-25,73,False
2013-04-26,75,False
2013-04-27,37,False
2013-04-28,47,False
2013-04-29,57,False
2013-04-30,76,False
2013-05-01,71,False
2013-05-02,73,False
2013-05-03,59,False
2013-05-04,44,False
2013-05-05,42,False
2013-05-06,61,False
2013-05-07,88,False
2013-05-08,78,False
2013-05-09,69,False
2013-05-10,58,False
2013-05-11,49,False
2013-05-12,60,False
2013-05-13,81,False
2013-05-14,71,False
2013-05-15,73,False
2013-05-16,80,False
2013-05-17,83,False
2013-05-18,50,False
2013-05-19,33,False
2013-05-20,67,False
2013-05-21,59,False
2013-05-22,69,False
