date,MCHP,isPartial
2014-07-24,16,False
2014-07-25,17,False
2014-07-26,0,False
2014-07-27,0,False
2014-07-28,16,False
2014-07-29,0,False
2014-07-30,32,False
2014-07-31,16,False
2014-08-01,99,False
2014-08-02,38,False
2014-08-03,0,False
2014-08-04,31,False
2014-08-05,31,False
2014-08-06,16,False
2014-08-07,0,False
2014-08-08,0,False
2014-08-09,19,False
2014-08-10,19,False
2014-08-11,47,False
2014-08-12,15,False
2014-08-13,15,False
2014-08-14,64,False
2014-08-15,34,False
2014-08-16,0,False
2014-08-17,19,False
2014-08-18,93,False
2014-08-19,62,False
2014-08-20,31,False
2014-08-21,47,False
2014-08-22,49,False
2014-08-23,0,False
2014-08-24,0,False
2014-08-25,30,False
2014-08-26,45,False
2014-08-27,61,False
2014-08-28,15,False
2014-08-29,16,False
2014-08-30,36,False
2014-08-31,18,False
2014-09-01,15,False
2014-09-02,29,False
2014-09-03,15,False
2014-09-04,45,False
2014-09-05,15,False
2014-09-06,18,False
2014-09-07,0,False
2014-09-08,44,False
2014-09-09,0,False
2014-09-10,15,False
2014-09-11,30,False
2014-09-12,31,False
2014-09-13,35,False
2014-09-14,17,False
2014-09-15,0,False
2014-09-16,29,False
2014-09-17,74,False
2014-09-18,29,False
2014-09-19,15,False
2014-09-20,0,False
2014-09-21,0,False
2014-09-22,43,False
2014-09-23,0,False
2014-09-24,0,False
2014-09-25,29,False
2014-09-26,15,False
2014-09-27,54,False
2014-09-28,0,False
2014-09-29,0,False
2014-09-30,43,False
2014-10-01,15,False
2014-10-02,45,False
2014-10-03,63,False
2014-10-04,0,False
2014-10-05,35,False
2014-10-06,15,False
2014-10-07,14,False
2014-10-08,0,False
2014-10-09,73,False
2014-10-10,91,False
2014-10-11,18,False
2014-10-12,52,False
2014-10-13,58,False
2014-10-14,43,False
2014-10-15,58,False
2014-10-16,15,False
2014-10-17,45,False
2014-10-18,17,False
2014-10-19,0,False
2014-10-20,100,False
2014-10-21,29,False
2014-10-22,29,False
2014-10-23,44,False
2014-10-24,30,False
2014-10-25,0,False
2014-10-26,34,False
2014-10-27,0,False
2014-10-28,0,False
2014-10-29,43,False
2014-10-30,59,False
2014-10-31,61,False
2014-11-01,17,False
2014-11-02,0,False
2014-11-03,29,False
2014-11-04,14,False
2014-11-05,0,False
2014-11-06,43,False
2014-11-07,30,False
2014-11-08,0,False
2014-11-09,0,False
2014-11-10,28,False
2014-11-11,14,False
2014-11-12,14,False
2014-11-13,42,False
2014-11-14,29,False
2014-11-15,0,False
2014-11-16,0,False
2014-11-17,56,False
2014-11-18,0,False
2014-11-19,29,False
2014-11-20,29,False
2014-11-21,30,False
2014-11-22,0,False
2014-11-23,16,False
2014-11-24,42,False
2014-11-25,42,False
2014-11-26,14,False
2014-11-27,0,False
2014-11-28,30,False
2014-11-29,0,False
2014-11-30,33,False
2014-12-01,0,False
2014-12-02,41,False
