date,MCHP,isPartial
2017-10-06,29,False
2017-10-07,13,False
2017-10-08,6,False
2017-10-09,6,False
2017-10-10,27,False
2017-10-11,17,False
2017-10-12,28,False
2017-10-13,23,False
2017-10-14,0,False
2017-10-15,0,False
2017-10-16,11,False
2017-10-17,11,False
2017-10-18,33,False
2017-10-19,23,False
2017-10-20,29,False
2017-10-21,0,False
2017-10-22,0,False
2017-10-23,16,False
2017-10-24,16,False
2017-10-25,39,False
2017-10-26,22,False
2017-10-27,35,False
2017-10-28,19,False
2017-10-29,12,False
2017-10-30,22,False
2017-10-31,23,False
2017-11-01,40,False
2017-11-02,39,False
2017-11-03,23,False
2017-11-04,6,False
2017-11-05,12,False
2017-11-06,43,False
2017-11-07,75,False
2017-11-08,44,False
2017-11-09,11,False
2017-11-10,51,False
2017-11-11,13,False
2017-11-12,0,False
2017-11-13,27,False
2017-11-14,27,False
2017-11-15,16,False
2017-11-16,37,False
2017-11-17,11,False
2017-11-18,6,False
2017-11-19,6,False
2017-11-20,5,False
2017-11-21,43,False
2017-11-22,22,False
2017-11-23,11,False
2017-11-24,11,False
2017-11-25,12,False
2017-11-26,0,False
2017-11-27,37,False
2017-11-28,37,False
2017-11-29,32,False
2017-11-30,27,False
2017-12-01,51,False
2017-12-02,0,False
2017-12-03,6,False
2017-12-04,21,False
2017-12-05,48,False
2017-12-06,22,False
2017-12-07,44,False
2017-12-08,34,False
2017-12-09,13,False
2017-12-10,6,False
2017-12-11,32,False
2017-12-12,27,False
2017-12-13,22,False
2017-12-14,11,False
2017-12-15,17,False
2017-12-16,0,False
2017-12-17,0,False
2017-12-18,17,False
2017-12-19,33,False
2017-12-20,46,False
2017-12-21,23,False
2017-12-22,12,False
2017-12-23,0,False
2017-12-24,14,False
2017-12-25,28,False
2017-12-26,12,False
2017-12-27,0,False
2017-12-28,12,False
2017-12-29,18,False
2017-12-30,6,False
2017-12-31,7,False
2018-01-01,0,False
2018-01-02,28,False
2018-01-03,49,False
2018-01-04,0,False
2018-01-05,22,False
2018-01-06,12,False
2018-01-07,0,False
2018-01-08,43,False
2018-01-09,21,False
2018-01-10,11,False
2018-01-11,22,False
2018-01-12,11,False
2018-01-13,0,False
2018-01-14,0,False
2018-01-15,37,False
2018-01-16,32,False
2018-01-17,31,False
2018-01-18,10,False
2018-01-19,22,False
2018-01-20,30,False
2018-01-21,6,False
2018-01-22,36,False
2018-01-23,31,False
2018-01-24,83,False
2018-01-25,32,False
2018-01-26,22,False
2018-01-27,6,False
2018-01-28,6,False
2018-01-29,11,False
2018-01-30,16,False
2018-01-31,31,False
2018-02-01,26,False
2018-02-02,16,False
2018-02-03,6,False
2018-02-04,6,False
2018-02-05,31,False
2018-02-06,62,False
2018-02-07,78,False
2018-02-08,100,False
2018-02-09,72,False
2018-02-10,12,False
2018-02-11,0,False
2018-02-12,32,False
2018-02-13,27,False
2018-02-14,37,False
2018-02-15,27,False
2018-02-16,27,False
2018-02-17,12,False
2018-02-18,12,False
2018-02-19,11,False
2018-02-20,26,False
2018-02-21,26,False
2018-02-22,21,False
2018-02-23,38,False
2018-02-24,0,False
2018-02-25,0,False
2018-02-26,21,False
2018-02-27,57,False
2018-02-28,62,False
2018-03-01,77,False
2018-03-02,60,False
2018-03-03,24,False
2018-03-04,12,False
2018-03-05,41,False
2018-03-06,56,False
2018-03-07,46,False
2018-03-08,42,False
2018-03-09,43,False
2018-03-10,18,False
2018-03-11,6,False
2018-03-12,61,False
2018-03-13,67,False
2018-03-14,26,False
2018-03-15,26,False
2018-03-16,38,False
2018-03-17,12,False
2018-03-18,12,False
2018-03-19,32,False
2018-03-20,31,False
2018-03-21,15,False
2018-03-22,0,False
2018-03-23,54,False
2018-03-24,12,False
2018-03-25,0,False
2018-03-26,21,False
2018-03-27,21,False
2018-03-28,27,False
2018-03-29,33,False
2018-03-30,18,False
2018-03-31,19,False
2018-04-01,6,False
2018-04-02,22,False
2018-04-03,36,False
2018-04-04,31,False
2018-04-05,32,False
2018-04-06,44,False
2018-04-07,18,False
2018-04-08,18,False
2018-04-09,21,False
2018-04-10,21,False
2018-04-11,16,False
2018-04-12,36,False
2018-04-13,22,False
2018-04-14,6,False
2018-04-15,0,False
2018-04-16,21,False
2018-04-17,36,False
2018-04-18,21,False
2018-04-19,64,False
2018-04-20,28,False
2018-04-21,18,False
2018-04-22,0,False
2018-04-23,26,False
2018-04-24,31,False
2018-04-25,31,False
2018-04-26,37,False
2018-04-27,11,False
2018-04-28,19,False
2018-04-29,18,False
2018-04-30,38,False
2018-05-01,39,False
2018-05-02,16,False
2018-05-03,16,False
2018-05-04,33,False
2018-05-05,19,False
2018-05-06,0,False
2018-05-07,48,False
2018-05-08,79,False
2018-05-09,32,False
2018-05-10,32,False
2018-05-11,43,False
2018-05-12,12,False
2018-05-13,6,False
2018-05-14,31,False
2018-05-15,31,False
2018-05-16,21,False
2018-05-17,32,False
2018-05-18,22,False
2018-05-19,6,False
2018-05-20,19,False
2018-05-21,16,False
2018-05-22,26,False
2018-05-23,32,False
2018-05-24,16,False
2018-05-25,34,False
2018-05-26,12,False
2018-05-27,0,False
2018-05-28,11,False
2018-05-29,16,False
2018-05-30,42,False
2018-05-31,33,False
2018-06-01,33,False
