date,FB,isPartial
2016-05-04,86,False
2016-05-05,87,False
2016-05-06,90,False
2016-05-07,100,False
2016-05-08,97,False
2016-05-09,88,False
2016-05-10,85,False
2016-05-11,83,False
2016-05-12,86,False
2016-05-13,90,False
2016-05-14,99,False
2016-05-15,97,False
2016-05-16,87,False
2016-05-17,87,False
2016-05-18,86,False
2016-05-19,87,False
2016-05-20,91,False
2016-05-21,99,False
2016-05-22,95,False
2016-05-23,83,False
2016-05-24,83,False
2016-05-25,87,False
2016-05-26,93,False
2016-05-27,91,False
2016-05-28,97,False
2016-05-29,96,False
2016-05-30,87,False
2016-05-31,90,False
2016-06-01,89,False
2016-06-02,87,False
2016-06-03,90,False
2016-06-04,98,False
2016-06-05,96,False
2016-06-06,88,False
2016-06-07,89,False
2016-06-08,89,False
2016-06-09,91,False
2016-06-10,91,False
2016-06-11,99,False
2016-06-12,95,False
2016-06-13,88,False
2016-06-14,86,False
2016-06-15,87,False
2016-06-16,89,False
2016-06-17,89,False
2016-06-18,99,False
2016-06-19,96,False
2016-06-20,87,False
2016-06-21,87,False
2016-06-22,87,False
2016-06-23,90,False
2016-06-24,92,False
2016-06-25,97,False
2016-06-26,95,False
2016-06-27,84,False
2016-06-28,88,False
2016-06-29,87,False
2016-06-30,90,False
2016-07-01,89,False
2016-07-02,95,False
2016-07-03,97,False
2016-07-04,88,False
2016-07-05,85,False
2016-07-06,88,False
2016-07-07,87,False
2016-07-08,88,False
2016-07-09,97,False
2016-07-10,94,False
2016-07-11,85,False
2016-07-12,86,False
2016-07-13,84,False
2016-07-14,82,False
2016-07-15,89,False
2016-07-16,96,False
2016-07-17,96,False
2016-07-18,87,False
2016-07-19,83,False
2016-07-20,85,False
2016-07-21,85,False
2016-07-22,87,False
2016-07-23,97,False
2016-07-24,96,False
2016-07-25,81,False
2016-07-26,83,False
2016-07-27,84,False
2016-07-28,85,False
2016-07-29,85,False
2016-07-30,96,False
2016-07-31,89,False
2016-08-01,81,False
2016-08-02,80,False
2016-08-03,82,False
2016-08-04,80,False
2016-08-05,85,False
2016-08-06,93,False
2016-08-07,93,False
2016-08-08,82,False
2016-08-09,80,False
2016-08-10,82,False
2016-08-11,81,False
2016-08-12,84,False
2016-08-13,94,False
2016-08-14,90,False
2016-08-15,85,False
2016-08-16,79,False
2016-08-17,81,False
2016-08-18,82,False
2016-08-19,83,False
2016-08-20,92,False
2016-08-21,90,False
2016-08-22,79,False
2016-08-23,79,False
2016-08-24,80,False
2016-08-25,80,False
2016-08-26,82,False
2016-08-27,90,False
2016-08-28,87,False
2016-08-29,76,False
2016-08-30,77,False
2016-08-31,78,False
2016-09-01,76,False
2016-09-02,79,False
2016-09-03,88,False
2016-09-04,84,False
2016-09-05,79,False
2016-09-06,76,False
2016-09-07,64,False
2016-09-08,59,False
2016-09-09,59,False
2016-09-10,65,False
2016-09-11,64,False
2016-09-12,69,False
2016-09-13,77,False
2016-09-14,78,False
2016-09-15,77,False
2016-09-16,79,False
2016-09-17,86,False
2016-09-18,84,False
2016-09-19,75,False
2016-09-20,75,False
2016-09-21,77,False
2016-09-22,77,False
2016-09-23,81,False
2016-09-24,90,False
2016-09-25,86,False
2016-09-26,74,False
2016-09-27,75,False
2016-09-28,75,False
2016-09-29,76,False
2016-09-30,81,False
2016-10-01,88,False
2016-10-02,82,False
2016-10-03,77,False
2016-10-04,74,False
2016-10-05,76,False
2016-10-06,76,False
2016-10-07,78,False
2016-10-08,86,False
2016-10-09,85,False
2016-10-10,75,False
2016-10-11,76,False
2016-10-12,76,False
2016-10-13,75,False
2016-10-14,79,False
2016-10-15,86,False
2016-10-16,83,False
2016-10-17,74,False
2016-10-18,74,False
2016-10-19,74,False
2016-10-20,75,False
2016-10-21,77,False
2016-10-22,87,False
2016-10-23,85,False
2016-10-24,74,False
2016-10-25,75,False
2016-10-26,73,False
2016-10-27,76,False
2016-10-28,78,False
2016-10-29,86,False
2016-10-30,84,False
2016-10-31,76,False
2016-11-01,76,False
2016-11-02,76,False
2016-11-03,75,False
2016-11-04,78,False
2016-11-05,85,False
2016-11-06,79,False
2016-11-07,71,False
2016-11-08,69,False
2016-11-09,68,False
2016-11-10,72,False
2016-11-11,75,False
2016-11-12,83,False
2016-11-13,78,False
2016-11-14,71,False
2016-11-15,70,False
2016-11-16,73,False
2016-11-17,71,False
2016-11-18,75,False
2016-11-19,81,False
2016-11-20,80,False
2016-11-21,70,False
2016-11-22,69,False
2016-11-23,70,False
2016-11-24,74,False
2016-11-25,72,False
2016-11-26,80,False
2016-11-27,77,False
2016-11-28,69,False
2016-11-29,68,False
2016-11-30,69,False
2016-12-01,70,False
2016-12-02,75,False
2016-12-03,87,False
2016-12-04,79,False
2016-12-05,68,False
2016-12-06,72,False
2016-12-07,71,False
2016-12-08,75,False
2016-12-09,76,False
2016-12-10,82,False
2016-12-11,80,False
2016-12-12,74,False
2016-12-13,75,False
2016-12-14,71,False
2016-12-15,73,False
2016-12-16,77,False
2016-12-17,83,False
2016-12-18,81,False
2016-12-19,75,False
2016-12-20,75,False
2016-12-21,77,False
2016-12-22,77,False
2016-12-23,79,False
2016-12-24,87,False
2016-12-25,89,False
2016-12-26,81,False
2016-12-27,78,False
2016-12-28,78,False
2016-12-29,78,False
2016-12-30,81,False
2016-12-31,90,False
2017-01-01,88,False
2017-01-02,77,False
2017-01-03,74,False
2017-01-04,73,False
2017-01-05,76,False
2017-01-06,77,False
2017-01-07,80,False
2017-01-08,81,False
2017-01-09,70,False
2017-01-10,73,False
2017-01-11,70,False
2017-01-12,71,False
2017-01-13,74,False
2017-01-14,80,False
2017-01-15,77,False
2017-01-16,71,False
2017-01-17,71,False
2017-01-18,69,False
2017-01-19,70,False
