date,FB,isPartial
2014-07-24,84,False
2014-07-25,85,False
2014-07-26,98,False
2014-07-27,95,False
2014-07-28,76,False
2014-07-29,82,False
2014-07-30,80,False
2014-07-31,82,False
2014-08-01,92,False
2014-08-02,96,False
2014-08-03,98,False
2014-08-04,81,False
2014-08-05,81,False
2014-08-06,81,False
2014-08-07,86,False
2014-08-08,86,False
2014-08-09,99,False
2014-08-10,95,False
2014-08-11,80,False
2014-08-12,79,False
2014-08-13,79,False
2014-08-14,83,False
2014-08-15,89,False
2014-08-16,97,False
2014-08-17,95,False
2014-08-18,83,False
2014-08-19,80,False
2014-08-20,79,False
2014-08-21,81,False
2014-08-22,84,False
2014-08-23,96,False
2014-08-24,95,False
2014-08-25,81,False
2014-08-26,81,False
2014-08-27,81,False
2014-08-28,81,False
2014-08-29,86,False
2014-08-30,97,False
2014-08-31,95,False
2014-09-01,80,False
2014-09-02,78,False
2014-09-03,82,False
2014-09-04,79,False
2014-09-05,82,False
2014-09-06,95,False
2014-09-07,95,False
2014-09-08,77,False
2014-09-09,77,False
2014-09-10,78,False
2014-09-11,79,False
2014-09-12,84,False
2014-09-13,95,False
2014-09-14,95,False
2014-09-15,77,False
2014-09-16,77,False
2014-09-17,80,False
2014-09-18,78,False
2014-09-19,83,False
2014-09-20,94,False
2014-09-21,91,False
2014-09-22,77,False
2014-09-23,78,False
2014-09-24,78,False
2014-09-25,78,False
2014-09-26,81,False
2014-09-27,94,False
2014-09-28,91,False
2014-09-29,78,False
2014-09-30,77,False
2014-10-01,78,False
2014-10-02,80,False
2014-10-03,83,False
2014-10-04,99,False
2014-10-05,90,False
2014-10-06,80,False
2014-10-07,79,False
2014-10-08,80,False
2014-10-09,79,False
2014-10-10,81,False
2014-10-11,94,False
2014-10-12,88,False
2014-10-13,77,False
2014-10-14,78,False
2014-10-15,80,False
2014-10-16,79,False
2014-10-17,82,False
2014-10-18,97,False
2014-10-19,95,False
2014-10-20,79,False
2014-10-21,79,False
2014-10-22,79,False
2014-10-23,80,False
2014-10-24,85,False
2014-10-25,93,False
2014-10-26,91,False
2014-10-27,77,False
2014-10-28,78,False
2014-10-29,79,False
2014-10-30,78,False
2014-10-31,82,False
2014-11-01,94,False
2014-11-02,92,False
2014-11-03,77,False
2014-11-04,80,False
2014-11-05,78,False
2014-11-06,78,False
2014-11-07,82,False
2014-11-08,93,False
2014-11-09,88,False
2014-11-10,77,False
2014-11-11,76,False
2014-11-12,76,False
2014-11-13,76,False
2014-11-14,78,False
2014-11-15,89,False
2014-11-16,88,False
2014-11-17,76,False
2014-11-18,75,False
2014-11-19,74,False
2014-11-20,76,False
2014-11-21,79,False
2014-11-22,88,False
2014-11-23,88,False
2014-11-24,75,False
2014-11-25,74,False
2014-11-26,73,False
2014-11-27,77,False
2014-11-28,79,False
2014-11-29,90,False
2014-11-30,84,False
2014-12-01,72,False
2014-12-02,74,False
2014-12-03,74,False
2014-12-04,74,False
2014-12-05,79,False
2014-12-06,88,False
2014-12-07,85,False
2014-12-08,74,False
2014-12-09,76,False
2014-12-10,75,False
2014-12-11,77,False
2014-12-12,79,False
2014-12-13,92,False
2014-12-14,88,False
2014-12-15,76,False
2014-12-16,75,False
2014-12-17,77,False
2014-12-18,79,False
2014-12-19,82,False
2014-12-20,90,False
2014-12-21,90,False
2014-12-22,80,False
2014-12-23,85,False
2014-12-24,93,False
2014-12-25,100,False
2014-12-26,88,False
2014-12-27,90,False
2014-12-28,88,False
2014-12-29,83,False
2014-12-30,85,False
2014-12-31,95,False
2015-01-01,93,False
2015-01-02,85,False
2015-01-03,89,False
2015-01-04,85,False
2015-01-05,76,False
2015-01-06,76,False
2015-01-07,75,False
2015-01-08,76,False
2015-01-09,79,False
2015-01-10,87,False
2015-01-11,83,False
2015-01-12,73,False
2015-01-13,72,False
2015-01-14,74,False
2015-01-15,72,False
2015-01-16,77,False
2015-01-17,86,False
