date,CTXS,isPartial
2015-04-10,32,False
2015-04-11,0,False
2015-04-12,0,False
2015-04-13,23,False
2015-04-14,15,False
2015-04-15,46,False
2015-04-16,15,False
2015-04-17,55,False
2015-04-18,18,False
2015-04-19,9,False
2015-04-20,0,False
2015-04-21,23,False
2015-04-22,30,False
2015-04-23,54,False
2015-04-24,24,False
2015-04-25,0,False
2015-04-26,9,False
2015-04-27,15,False
2015-04-28,30,False
2015-04-29,23,False
2015-04-30,31,False
2015-05-01,0,False
2015-05-02,9,False
2015-05-03,0,False
2015-05-04,15,False
2015-05-05,15,False
2015-05-06,8,False
2015-05-07,8,False
2015-05-08,16,False
2015-05-09,0,False
2015-05-10,9,False
2015-05-11,15,False
2015-05-12,8,False
2015-05-13,15,False
2015-05-14,8,False
2015-05-15,0,False
2015-05-16,9,False
2015-05-17,0,False
2015-05-18,30,False
2015-05-19,8,False
2015-05-20,15,False
2015-05-21,8,False
2015-05-22,0,False
2015-05-23,0,False
2015-05-24,0,False
2015-05-25,8,False
2015-05-26,7,False
2015-05-27,15,False
2015-05-28,8,False
2015-05-29,8,False
2015-05-30,9,False
2015-05-31,0,False
2015-06-01,7,False
2015-06-02,23,False
2015-06-03,8,False
2015-06-04,8,False
2015-06-05,8,False
2015-06-06,0,False
2015-06-07,0,False
2015-06-08,22,False
2015-06-09,8,False
2015-06-10,8,False
2015-06-11,47,False
2015-06-12,32,False
2015-06-13,9,False
2015-06-14,18,False
2015-06-15,22,False
2015-06-16,7,False
2015-06-17,23,False
2015-06-18,8,False
2015-06-19,16,False
2015-06-20,0,False
2015-06-21,0,False
2015-06-22,15,False
2015-06-23,0,False
2015-06-24,15,False
2015-06-25,23,False
2015-06-26,16,False
2015-06-27,27,False
2015-06-28,0,False
2015-06-29,15,False
2015-06-30,8,False
2015-07-01,0,False
2015-07-02,0,False
2015-07-03,17,False
2015-07-04,9,False
2015-07-05,9,False
2015-07-06,23,False
2015-07-07,15,False
2015-07-08,23,False
2015-07-09,15,False
2015-07-10,24,False
2015-07-11,0,False
2015-07-12,0,False
2015-07-13,23,False
2015-07-14,8,False
2015-07-15,23,False
2015-07-16,0,False
2015-07-17,25,False
2015-07-18,10,False
2015-07-19,0,False
2015-07-20,0,False
2015-07-21,0,False
2015-07-22,0,False
2015-07-23,16,False
2015-07-24,16,False
2015-07-25,9,False
2015-07-26,0,False
2015-07-27,37,False
2015-07-28,67,False
2015-07-29,45,False
2015-07-30,46,False
2015-07-31,32,False
2015-08-01,9,False
2015-08-02,9,False
2015-08-03,23,False
2015-08-04,23,False
2015-08-05,15,False
2015-08-06,15,False
2015-08-07,16,False
2015-08-08,9,False
2015-08-09,9,False
2015-08-10,38,False
2015-08-11,30,False
2015-08-12,15,False
2015-08-13,8,False
2015-08-14,8,False
2015-08-15,9,False
2015-08-16,18,False
2015-08-17,15,False
2015-08-18,15,False
2015-08-19,8,False
2015-08-20,15,False
2015-08-21,15,False
2015-08-22,9,False
2015-08-23,0,False
2015-08-24,22,False
2015-08-25,37,False
2015-08-26,29,False
2015-08-27,0,False
2015-08-28,16,False
2015-08-29,0,False
2015-08-30,0,False
2015-08-31,7,False
2015-09-01,7,False
2015-09-02,15,False
2015-09-03,15,False
2015-09-04,0,False
2015-09-05,0,False
2015-09-06,0,False
2015-09-07,23,False
2015-09-08,22,False
2015-09-09,29,False
2015-09-10,7,False
2015-09-11,0,False
2015-09-12,0,False
2015-09-13,0,False
2015-09-14,14,False
2015-09-15,14,False
