date,CTXS,isPartial
2013-02-19,53,False
2013-02-20,31,False
2013-02-21,38,False
2013-02-22,24,False
2013-02-23,54,False
2013-02-24,0,False
2013-02-25,44,False
2013-02-26,22,False
2013-02-27,37,False
2013-02-28,30,False
2013-03-01,78,False
2013-03-02,0,False
2013-03-03,0,False
2013-03-04,22,False
2013-03-05,37,False
2013-03-06,22,False
2013-03-07,38,False
2013-03-08,23,False
2013-03-09,18,False
2013-03-10,0,False
2013-03-11,37,False
2013-03-12,29,False
2013-03-13,36,False
2013-03-14,37,False
2013-03-15,38,False
2013-03-16,0,False
2013-03-17,17,False
2013-03-18,15,False
2013-03-19,36,False
2013-03-20,22,False
2013-03-21,45,False
2013-03-22,61,False
2013-03-23,17,False
2013-03-24,17,False
2013-03-25,22,False
2013-03-26,30,False
2013-03-27,38,False
2013-03-28,24,False
2013-03-29,17,False
2013-03-30,27,False
2013-03-31,37,False
2013-04-01,31,False
2013-04-02,29,False
2013-04-03,15,False
2013-04-04,44,False
2013-04-05,31,False
2013-04-06,18,False
2013-04-07,0,False
2013-04-08,43,False
2013-04-09,43,False
2013-04-10,52,False
2013-04-11,45,False
2013-04-12,54,False
2013-04-13,36,False
2013-04-14,0,False
2013-04-15,15,False
2013-04-16,44,False
2013-04-17,37,False
2013-04-18,37,False
2013-04-19,31,False
2013-04-20,0,False
2013-04-21,0,False
2013-04-22,29,False
2013-04-23,37,False
2013-04-24,59,False
2013-04-25,92,False
2013-04-26,16,False
2013-04-27,18,False
2013-04-28,18,False
2013-04-29,29,False
2013-04-30,45,False
2013-05-01,24,False
2013-05-02,23,False
2013-05-03,47,False
2013-05-04,18,False
2013-05-05,0,False
2013-05-06,22,False
2013-05-07,37,False
2013-05-08,15,False
2013-05-09,38,False
2013-05-10,31,False
2013-05-11,18,False
2013-05-12,18,False
2013-05-13,15,False
2013-05-14,0,False
2013-05-15,22,False
2013-05-16,37,False
2013-05-17,39,False
2013-05-18,18,False
2013-05-19,27,False
2013-05-20,74,False
2013-05-21,43,False
2013-05-22,36,False
2013-05-23,45,False
2013-05-24,15,False
2013-05-25,36,False
2013-05-26,18,False
2013-05-27,30,False
2013-05-28,29,False
2013-05-29,29,False
2013-05-30,45,False
2013-05-31,31,False
2013-06-01,0,False
2013-06-02,0,False
2013-06-03,14,False
2013-06-04,36,False
2013-06-05,36,False
2013-06-06,29,False
2013-06-07,60,False
2013-06-08,0,False
2013-06-09,0,False
2013-06-10,14,False
2013-06-11,43,False
2013-06-12,15,False
2013-06-13,15,False
2013-06-14,15,False
2013-06-15,0,False
2013-06-16,0,False
2013-06-17,22,False
2013-06-18,44,False
2013-06-19,15,False
2013-06-20,45,False
2013-06-21,23,False
2013-06-22,18,False
2013-06-23,36,False
2013-06-24,15,False
2013-06-25,29,False
2013-06-26,22,False
2013-06-27,59,False
2013-06-28,31,False
2013-06-29,0,False
2013-06-30,0,False
2013-07-01,37,False
2013-07-02,0,False
2013-07-03,37,False
2013-07-04,32,False
2013-07-05,48,False
2013-07-06,0,False
2013-07-07,19,False
2013-07-08,29,False
2013-07-09,15,False
2013-07-10,15,False
2013-07-11,30,False
2013-07-12,32,False
2013-07-13,56,False
2013-07-14,0,False
2013-07-15,22,False
2013-07-16,30,False
2013-07-17,15,False
2013-07-18,31,False
2013-07-19,32,False
2013-07-20,0,False
2013-07-21,0,False
2013-07-22,15,False
2013-07-23,29,False
2013-07-24,91,False
2013-07-25,100,False
2013-07-26,31,False
2013-07-27,28,False
2013-07-28,0,False
2013-07-29,81,False
2013-07-30,44,False
2013-07-31,37,False
2013-08-01,30,False
2013-08-02,47,False
2013-08-03,19,False
2013-08-04,18,False
2013-08-05,68,False
2013-08-06,23,False
2013-08-07,53,False
2013-08-08,62,False
2013-08-09,16,False
2013-08-10,18,False
2013-08-11,18,False
2013-08-12,59,False
2013-08-13,29,False
2013-08-14,45,False
2013-08-15,47,False
2013-08-16,48,False
2013-08-17,0,False
2013-08-18,18,False
2013-08-19,37,False
2013-08-20,51,False
2013-08-21,37,False
2013-08-22,45,False
2013-08-23,31,False
2013-08-24,27,False
2013-08-25,17,False
2013-08-26,21,False
2013-08-27,43,False
2013-08-28,22,False
2013-08-29,29,False
2013-08-30,15,False
2013-08-31,17,False
2013-09-01,17,False
2013-09-02,15,False
2013-09-03,21,False
2013-09-04,14,False
2013-09-05,29,False
2013-09-06,15,False
2013-09-07,17,False
2013-09-08,17,False
2013-09-09,35,False
2013-09-10,21,False
2013-09-11,14,False
2013-09-12,35,False
2013-09-13,44,False
2013-09-14,0,False
2013-09-15,33,False
2013-09-16,28,False
2013-09-17,35,False
2013-09-18,35,False
2013-09-19,35,False
2013-09-20,30,False
2013-09-21,0,False
2013-09-22,16,False
2013-09-23,14,False
2013-09-24,28,False
2013-09-25,14,False
2013-09-26,43,False
2013-09-27,30,False
2013-09-28,17,False
2013-09-29,16,False
2013-09-30,55,False
2013-10-01,21,False
2013-10-02,14,False
2013-10-03,28,False
2013-10-04,15,False
2013-10-05,17,False
2013-10-06,0,False
2013-10-07,28,False
2013-10-08,42,False
2013-10-09,56,False
2013-10-10,99,False
2013-10-11,89,False
2013-10-12,26,False
2013-10-13,33,False
2013-10-14,36,False
2013-10-15,35,False
2013-10-16,28,False
2013-10-17,43,False
2013-10-18,44,False
2013-10-19,50,False
2013-10-20,32,False
2013-10-21,41,False
2013-10-22,61,False
2013-10-23,62,False
2013-10-24,84,False
2013-10-25,22,False
2013-10-26,17,False
2013-10-27,16,False
2013-10-28,27,False
2013-10-29,27,False
2013-10-30,27,False
2013-10-31,21,False
2013-11-01,30,False
2013-11-02,0,False
2013-11-03,16,False
2013-11-04,41,False
2013-11-05,34,False
2013-11-06,34,False
