date,CTXS,isPartial
2018-02-13,11,False
2018-02-14,77,False
2018-02-15,56,False
2018-02-16,46,False
2018-02-17,0,False
2018-02-18,0,False
2018-02-19,33,False
2018-02-20,11,False
2018-02-21,22,False
2018-02-22,11,False
2018-02-23,46,False
2018-02-24,12,False
2018-02-25,0,False
2018-02-26,11,False
2018-02-27,0,False
2018-02-28,32,False
2018-03-01,43,False
2018-03-02,22,False
2018-03-03,0,False
2018-03-04,12,False
2018-03-05,10,False
2018-03-06,21,False
2018-03-07,33,False
2018-03-08,44,False
2018-03-09,23,False
2018-03-10,12,False
2018-03-11,0,False
2018-03-12,22,False
2018-03-13,43,False
2018-03-14,0,False
2018-03-15,0,False
2018-03-16,45,False
2018-03-17,0,False
2018-03-18,12,False
2018-03-19,11,False
2018-03-20,54,False
2018-03-21,22,False
2018-03-22,11,False
2018-03-23,23,False
2018-03-24,0,False
2018-03-25,0,False
2018-03-26,33,False
2018-03-27,44,False
2018-03-28,22,False
2018-03-29,35,False
2018-03-30,25,False
2018-03-31,0,False
2018-04-01,0,False
2018-04-02,46,False
2018-04-03,44,False
2018-04-04,11,False
2018-04-05,0,False
2018-04-06,23,False
2018-04-07,25,False
2018-04-08,0,False
2018-04-09,33,False
2018-04-10,32,False
2018-04-11,54,False
2018-04-12,0,False
2018-04-13,23,False
2018-04-14,25,False
2018-04-15,12,False
2018-04-16,32,False
2018-04-17,43,False
2018-04-18,87,False
2018-04-19,78,False
2018-04-20,23,False
2018-04-21,13,False
2018-04-22,0,False
2018-04-23,54,False
2018-04-24,22,False
2018-04-25,65,False
2018-04-26,100,False
2018-04-27,70,False
2018-04-28,13,False
2018-04-29,0,False
2018-04-30,0,False
2018-05-01,12,False
2018-05-02,43,False
2018-05-03,0,False
2018-05-04,0,False
2018-05-05,0,False
2018-05-06,13,False
2018-05-07,55,False
2018-05-08,44,False
2018-05-09,22,False
2018-05-10,45,False
2018-05-11,34,False
2018-05-12,0,False
2018-05-13,0,False
2018-05-14,0,False
2018-05-15,32,False
2018-05-16,55,False
2018-05-17,44,False
2018-05-18,0,False
2018-05-19,0,False
2018-05-20,0,False
2018-05-21,11,False
2018-05-22,22,False
2018-05-23,22,False
2018-05-24,33,False
2018-05-25,35,False
2018-05-26,26,False
2018-05-27,0,False
2018-05-28,11,False
2018-05-29,11,False
2018-05-30,44,False
2018-05-31,0,False
2018-06-01,23,False
