date,CTXS,isPartial
2011-09-18,19,False
2011-09-19,46,False
2011-09-20,0,False
2011-09-21,46,False
2011-09-22,16,False
2011-09-23,0,False
2011-09-24,38,False
2011-09-25,19,False
2011-09-26,30,False
2011-09-27,0,False
2011-09-28,31,False
2011-09-29,0,False
2011-09-30,0,False
2011-10-01,0,False
2011-10-02,19,False
2011-10-03,0,False
2011-10-04,15,False
2011-10-05,15,False
2011-10-06,47,False
2011-10-07,0,False
2011-10-08,0,False
2011-10-09,0,False
2011-10-10,31,False
2011-10-11,14,False
2011-10-12,15,False
2011-10-13,61,False
2011-10-14,16,False
2011-10-15,19,False
2011-10-16,0,False
2011-10-17,30,False
2011-10-18,30,False
2011-10-19,15,False
2011-10-20,0,False
2011-10-21,0,False
2011-10-22,38,False
2011-10-23,0,False
2011-10-24,15,False
2011-10-25,30,False
2011-10-26,0,False
2011-10-27,91,False
2011-10-28,32,False
2011-10-29,0,False
2011-10-30,37,False
2011-10-31,46,False
2011-11-01,31,False
2011-11-02,45,False
2011-11-03,15,False
2011-11-04,31,False
2011-11-05,18,False
2011-11-06,0,False
2011-11-07,30,False
2011-11-08,0,False
2011-11-09,15,False
2011-11-10,45,False
2011-11-11,32,False
2011-11-12,37,False
2011-11-13,0,False
2011-11-14,15,False
2011-11-15,30,False
2011-11-16,15,False
2011-11-17,15,False
2011-11-18,0,False
2011-11-19,0,False
2011-11-20,0,False
2011-11-21,0,False
2011-11-22,0,False
2011-11-23,15,False
2011-11-24,16,False
2011-11-25,16,False
2011-11-26,0,False
2011-11-27,0,False
2011-11-28,29,False
2011-11-29,29,False
2011-11-30,29,False
2011-12-01,15,False
2011-12-02,0,False
2011-12-03,18,False
2011-12-04,0,False
2011-12-05,14,False
2011-12-06,29,False
2011-12-07,44,False
2011-12-08,30,False
2011-12-09,0,False
2011-12-10,0,False
2011-12-11,0,False
2011-12-12,43,False
2011-12-13,29,False
2011-12-14,0,False
2011-12-15,0,False
2011-12-16,16,False
2011-12-17,0,False
2011-12-18,0,False
2011-12-19,15,False
2011-12-20,0,False
2011-12-21,31,False
2011-12-22,47,False
2011-12-23,17,False
