date,DISCK,isPartial
2018-02-13,63,False
2018-02-14,57,False
2018-02-15,54,False
2018-02-16,63,False
2018-02-17,61,False
2018-02-18,71,False
2018-02-19,66,False
2018-02-20,56,False
2018-02-21,77,False
2018-02-22,60,False
2018-02-23,85,False
2018-02-24,57,False
2018-02-25,56,False
2018-02-26,49,False
2018-02-27,80,False
2018-02-28,67,False
2018-03-01,73,False
2018-03-02,71,False
2018-03-03,75,False
2018-03-04,55,False
2018-03-05,94,False
2018-03-06,77,False
2018-03-07,93,False
2018-03-08,85,False
2018-03-09,68,False
2018-03-10,60,False
2018-03-11,60,False
2018-03-12,67,False
2018-03-13,98,False
2018-03-14,55,False
2018-03-15,62,False
2018-03-16,61,False
2018-03-17,64,False
2018-03-18,49,False
2018-03-19,47,False
2018-03-20,65,False
2018-03-21,65,False
2018-03-22,100,False
2018-03-23,78,False
2018-03-24,58,False
2018-03-25,72,False
2018-03-26,56,False
2018-03-27,76,False
2018-03-28,48,False
2018-03-29,86,False
2018-03-30,78,False
2018-03-31,66,False
2018-04-01,52,False
2018-04-02,86,False
2018-04-03,78,False
2018-04-04,65,False
2018-04-05,54,False
2018-04-06,59,False
2018-04-07,40,False
2018-04-08,68,False
2018-04-09,75,False
2018-04-10,80,False
2018-04-11,65,False
2018-04-12,66,False
2018-04-13,69,False
2018-04-14,47,False
2018-04-15,75,False
2018-04-16,68,False
2018-04-17,47,False
2018-04-18,63,False
2018-04-19,86,False
2018-04-20,72,False
2018-04-21,88,False
2018-04-22,47,False
2018-04-23,68,False
2018-04-24,46,False
2018-04-25,93,False
2018-04-26,54,False
2018-04-27,40,False
2018-04-28,45,False
2018-04-29,40,False
2018-04-30,61,False
2018-05-01,50,False
2018-05-02,47,False
2018-05-03,59,False
2018-05-04,58,False
2018-05-05,41,False
2018-05-06,51,False
2018-05-07,53,False
2018-05-08,63,False
2018-05-09,50,False
2018-05-10,57,False
2018-05-11,46,False
2018-05-12,48,False
2018-05-13,66,False
2018-05-14,38,False
2018-05-15,52,False
2018-05-16,72,False
2018-05-17,86,False
2018-05-18,66,False
2018-05-19,87,False
2018-05-20,59,False
2018-05-21,48,False
2018-05-22,84,False
2018-05-23,73,False
2018-05-24,70,False
2018-05-25,73,False
2018-05-26,59,False
2018-05-27,66,False
2018-05-28,48,False
2018-05-29,50,False
2018-05-30,32,False
2018-05-31,45,False
2018-06-01,59,False
