date,SBAC
2012-06-04,32
2012-06-05,58
2012-06-06,48
2012-06-07,31
2012-06-08,32
2012-06-09,32
2012-06-10,21
2012-06-11,40
2012-06-12,45
2012-06-13,39
2012-06-14,42
2012-06-15,35
2012-06-16,38
2012-06-17,27
2012-06-18,49
2012-06-19,39
2012-06-20,24
2012-06-21,48
2012-06-22,37
2012-06-23,21
2012-06-24,27
2012-06-25,41
2012-06-26,45
2012-06-27,53
2012-06-28,69
2012-06-29,100
2012-06-30,61
2012-07-01,49
2012-07-02,79
2012-07-03,50
2012-07-04,30
2012-07-05,27
2012-07-06,37
2012-07-07,28
2012-07-08,25
2012-07-09,42
2012-07-10,26
2012-07-11,29
2012-07-12,51
2012-07-13,37
2012-07-14,19
2012-07-15,19
2012-07-16,31
2012-07-17,39
2012-07-18,38
2012-07-19,31
2012-07-20,12
2012-07-21,31
2012-07-22,29
2012-07-23,42
2012-07-24,42
2012-07-25,38
2012-07-26,34
2012-07-27,33
2012-07-28,25
2012-07-29,19
2012-07-30,20
2012-07-31,39
2012-08-01,44
2012-08-02,36
2012-08-03,23
2012-08-04,39
2012-08-05,25
2012-08-06,46
2012-08-07,46
2012-08-08,47
2012-08-09,38
2012-08-10,30
2012-08-11,16
2012-08-12,25
2012-08-13,44
2012-08-14,68
2012-08-15,46
2012-08-16,50
2012-08-17,56
2012-08-18,22
2012-08-19,31
2012-08-20,62
2012-08-21,45
2012-08-22,38
2012-08-23,54
2012-08-24,39
2012-08-25,27
2012-08-26,24
2012-08-27,28
2012-08-28,38
2012-08-29,28
2012-08-30,37
2012-08-31,41
2012-09-01,21
2012-09-02,26
2012-09-03,24
2012-09-04,23
2012-09-05,53
2012-09-06,39
2012-09-07,39
2012-09-08,29
2012-09-09,23
2012-09-10,46
2012-09-11,69
2012-09-12,46
2012-09-13,36
2012-09-14,40
2012-09-15,26
2012-09-16,30
2012-09-17,57
2012-09-18,35
2012-09-19,49
2012-09-20,56
2012-09-21,55
2012-09-22,28
2012-09-23,17
2012-09-24,52
2012-09-25,52
2012-09-26,44
2012-09-27,34
2012-09-28,47
2012-09-29,41
2012-09-30,38
2012-10-01,65
2012-10-02,54
2012-10-03,46
2012-10-04,54
2012-10-05,42
2012-10-06,15
2012-10-07,24
2012-10-08,46
2012-10-09,44
2012-10-10,44
2012-10-11,43
2012-10-12,37
2012-10-13,29
2012-10-14,31
2012-10-15,36
2012-10-16,50
2012-10-17,40
2012-10-18,45
2012-10-19,38
2012-10-20,27
2012-10-21,18
2012-10-22,39
2012-10-23,51
2012-10-24,54
2012-10-25,65
2012-10-26,54
2012-10-27,47
2012-10-28,30
2012-10-29,46
2012-10-30,27
2012-10-31,51
2012-11-01,40
2012-11-02,45
2012-11-03,36
2012-11-04,23
2012-11-05,49
2012-11-06,47
2012-11-07,42
2012-11-08,46
2012-11-09,29
2012-11-10,38
2012-11-11,35
2012-11-12,30
2012-11-13,42
2012-11-14,44
2012-11-15,41
2012-11-16,31
2012-11-17,16
2012-11-18,10
2012-11-19,51
2012-11-20,31
2012-11-21,24
2012-11-22,25
2012-11-23,17
2012-11-24,14
2012-11-25,32
2012-11-26,30
2012-11-27,52
2012-11-28,40
2012-11-29,47
2012-11-30,51
2012-12-01,28
2012-12-02,37
2012-12-03,53
2012-12-04,38
2012-12-05,54
2012-12-06,43
2012-12-07,59
2012-12-08,33
2012-12-09,34
2012-12-10,55
2012-12-11,46
2012-12-12,35
2012-12-13,45
2012-12-14,28
2012-12-15,25
2012-12-16,25
2012-12-17,41
2012-12-18,41
2012-12-19,28
2012-12-20,28
2012-12-21,21
2012-12-22,32
2012-12-23,15
2012-12-24,15
2012-12-25,18
2012-12-26,35
2012-12-27,36
2012-12-28,17
2012-12-29,31
2012-12-30,19
2012-12-31,18
2013-01-01,23
2013-01-02,32
2013-01-03,49
2013-01-04,40
2013-01-05,13
2013-01-06,22
2013-01-07,44
2013-01-08,63
2013-01-09,45
2013-01-10,43
2013-01-11,31
2013-01-12,26
2013-01-13,26
2013-01-14,39
2013-01-15,38
2013-01-16,38
2013-01-17,56
2013-01-18,44
2013-01-19,36
2013-01-20,22
2013-01-21,25
2013-01-22,47
2013-01-23,49
2013-01-24,39
2013-01-25,38
2013-01-26,20
2013-01-27,30
2013-01-28,43
2013-01-29,40
2013-01-30,40
2013-01-31,55
2013-02-01,31
2013-02-02,17
2013-02-03,21
2013-02-04,42
2013-02-05,53
2013-02-06,48
2013-02-07,46
2013-02-08,52
2013-02-09,44
2013-02-10,35
2013-02-11,61
2013-02-12,53
2013-02-13,37
2013-02-14,45
2013-02-15,61
2013-02-16,17
2013-02-17,28
2013-02-18,51
2013-02-19,45
