date,SBAC
2016-09-11,12
2016-09-12,19
2016-09-13,21
2016-09-14,26
2016-09-15,22
2016-09-16,22
2016-09-17,13
2016-09-18,12
2016-09-19,25
2016-09-20,23
2016-09-21,29
2016-09-22,21
2016-09-23,18
2016-09-24,9
2016-09-25,10
2016-09-26,25
2016-09-27,22
2016-09-28,23
2016-09-29,18
2016-09-30,21
2016-10-01,9
2016-10-02,10
2016-10-03,21
2016-10-04,20
2016-10-05,29
2016-10-06,19
2016-10-07,21
2016-10-08,9
2016-10-09,9
2016-10-10,18
2016-10-11,22
2016-10-12,28
2016-10-13,20
2016-10-14,16
2016-10-15,9
2016-10-16,7
2016-10-17,18
2016-10-18,26
2016-10-19,27
2016-10-20,23
2016-10-21,18
2016-10-22,8
2016-10-23,10
2016-10-24,22
2016-10-25,26
2016-10-26,26
2016-10-27,25
2016-10-28,17
2016-10-29,7
2016-10-30,8
2016-10-31,19
2016-11-01,24
2016-11-02,26
2016-11-03,24
2016-11-04,25
2016-11-05,7
2016-11-06,6
2016-11-07,21
2016-11-08,21
2016-11-09,19
2016-11-10,15
2016-11-11,13
2016-11-12,6
2016-11-13,11
2016-11-14,24
2016-11-15,26
2016-11-16,33
2016-11-17,32
2016-11-18,17
2016-11-19,5
2016-11-20,7
2016-11-21,15
2016-11-22,14
2016-11-23,14
2016-11-24,5
2016-11-25,6
2016-11-26,7
2016-11-27,5
2016-11-28,18
2016-11-29,25
2016-11-30,22
2016-12-01,30
2016-12-02,26
2016-12-03,5
2016-12-04,5
2016-12-05,15
2016-12-06,24
2016-12-07,28
2016-12-08,21
2016-12-09,25
2016-12-10,5
2016-12-11,7
2016-12-12,17
2016-12-13,26
2016-12-14,18
2016-12-15,15
2016-12-16,15
2016-12-17,8
2016-12-18,10
2016-12-19,16
2016-12-20,10
2016-12-21,9
2016-12-22,6
2016-12-23,7
2016-12-24,4
2016-12-25,4
2016-12-26,6
2016-12-27,8
2016-12-28,7
2016-12-29,8
2016-12-30,4
2016-12-31,4
2017-01-01,7
2017-01-02,6
2017-01-03,18
2017-01-04,19
2017-01-05,19
2017-01-06,20
2017-01-07,10
2017-01-08,7
2017-01-09,27
2017-01-10,26
2017-01-11,28
2017-01-12,35
2017-01-13,31
2017-01-14,8
2017-01-15,6
2017-01-16,11
2017-01-17,30
2017-01-18,36
2017-01-19,39
2017-01-20,29
2017-01-21,7
2017-01-22,11
2017-01-23,28
2017-01-24,33
2017-01-25,34
2017-01-26,39
2017-01-27,26
2017-01-28,5
2017-01-29,8
2017-01-30,32
2017-01-31,34
2017-02-01,33
2017-02-02,37
2017-02-03,37
2017-02-04,6
2017-02-05,10
2017-02-06,32
2017-02-07,31
2017-02-08,40
2017-02-09,39
2017-02-10,31
2017-02-11,12
2017-02-12,9
2017-02-13,24
2017-02-14,39
2017-02-15,35
2017-02-16,41
2017-02-17,34
2017-02-18,12
2017-02-19,8
2017-02-20,14
2017-02-21,32
2017-02-22,46
2017-02-23,48
2017-02-24,41
2017-02-25,12
2017-02-26,9
2017-02-27,35
2017-02-28,46
2017-03-01,45
2017-03-02,54
2017-03-03,43
2017-03-04,9
2017-03-05,12
2017-03-06,44
2017-03-07,57
2017-03-08,66
2017-03-09,71
2017-03-10,46
2017-03-11,13
2017-03-12,12
2017-03-13,65
2017-03-14,67
2017-03-15,65
2017-03-16,64
2017-03-17,54
2017-03-18,15
2017-03-19,12
2017-03-20,80
2017-03-21,69
2017-03-22,73
2017-03-23,83
2017-03-24,75
2017-03-25,11
2017-03-26,14
2017-03-27,89
2017-03-28,87
2017-03-29,100
2017-03-30,89
2017-03-31,67
2017-04-01,13
