date,SBAC
2014-03-16,11
2014-03-17,76
2014-03-18,83
2014-03-19,79
2014-03-20,85
2014-03-21,77
2014-03-22,13
2014-03-23,13
2014-03-24,73
2014-03-25,90
2014-03-26,75
2014-03-27,75
2014-03-28,70
2014-03-29,13
2014-03-30,12
2014-03-31,78
2014-04-01,91
2014-04-02,82
2014-04-03,93
2014-04-04,82
2014-04-05,13
2014-04-06,11
2014-04-07,100
2014-04-08,90
2014-04-09,91
2014-04-10,89
2014-04-11,72
2014-04-12,13
2014-04-13,16
2014-04-14,68
2014-04-15,65
2014-04-16,59
2014-04-17,49
2014-04-18,53
2014-04-19,12
2014-04-20,17
2014-04-21,87
2014-04-22,90
2014-04-23,85
2014-04-24,99
2014-04-25,75
2014-04-26,18
2014-04-27,14
2014-04-28,82
2014-04-29,70
2014-04-30,59
2014-05-01,58
2014-05-02,55
2014-05-03,13
2014-05-04,10
2014-05-05,60
2014-05-06,42
2014-05-07,37
2014-05-08,28
2014-05-09,19
2014-05-10,6
2014-05-11,7
2014-05-12,40
2014-05-13,33
2014-05-14,28
2014-05-15,23
2014-05-16,25
2014-05-17,7
2014-05-18,7
2014-05-19,25
2014-05-20,25
2014-05-21,21
2014-05-22,23
2014-05-23,22
2014-05-24,5
2014-05-25,7
2014-05-26,7
2014-05-27,25
2014-05-28,19
2014-05-29,18
2014-05-30,16
2014-05-31,8
2014-06-01,9
2014-06-02,14
2014-06-03,13
2014-06-04,17
2014-06-05,12
2014-06-06,12
2014-06-07,8
2014-06-08,8
2014-06-09,11
2014-06-10,12
2014-06-11,7
2014-06-12,13
2014-06-13,11
2014-06-14,3
2014-06-15,4
2014-06-16,8
2014-06-17,10
2014-06-18,11
2014-06-19,7
2014-06-20,5
2014-06-21,4
2014-06-22,4
2014-06-23,10
2014-06-24,5
2014-06-25,9
2014-06-26,10
2014-06-27,7
2014-06-28,5
2014-06-29,4
2014-06-30,9
2014-07-01,9
2014-07-02,6
2014-07-03,6
2014-07-04,7
2014-07-05,2
2014-07-06,5
2014-07-07,8
2014-07-08,8
2014-07-09,8
2014-07-10,8
2014-07-11,6
2014-07-12,5
2014-07-13,3
2014-07-14,6
2014-07-15,6
2014-07-16,7
2014-07-17,7
2014-07-18,6
2014-07-19,6
2014-07-20,3
2014-07-21,11
2014-07-22,8
2014-07-23,7
2014-07-24,11
2014-07-25,7
2014-07-26,3
2014-07-27,4
2014-07-28,7
2014-07-29,8
2014-07-30,6
2014-07-31,6
2014-08-01,6
2014-08-02,1
2014-08-03,6
2014-08-04,7
2014-08-05,6
2014-08-06,8
2014-08-07,6
2014-08-08,9
2014-08-09,3
2014-08-10,4
2014-08-11,9
2014-08-12,9
2014-08-13,8
2014-08-14,9
2014-08-15,6
2014-08-16,6
2014-08-17,8
2014-08-18,7
2014-08-19,7
2014-08-20,11
2014-08-21,7
2014-08-22,7
2014-08-23,8
2014-08-24,6
2014-08-25,8
2014-08-26,9
2014-08-27,13
2014-08-28,13
2014-08-29,11
2014-08-30,8
2014-08-31,9
2014-09-01,11
2014-09-02,14
2014-09-03,11
2014-09-04,10
2014-09-05,11
2014-09-06,5
2014-09-07,4
2014-09-08,12
2014-09-09,13
2014-09-10,13
2014-09-11,18
2014-09-12,15
2014-09-13,4
2014-09-14,6
2014-09-15,10
2014-09-16,14
2014-09-17,10
2014-09-18,16
2014-09-19,15
2014-09-20,2
2014-09-21,6
2014-09-22,13
2014-09-23,15
2014-09-24,13
2014-09-25,12
2014-09-26,15
2014-09-27,6
2014-09-28,8
2014-09-29,16
2014-09-30,10
2014-10-01,12
2014-10-02,15
2014-10-03,14
2014-10-04,7
2014-10-05,5
2014-10-06,12
2014-10-07,12
2014-10-08,16
2014-10-09,14
2014-10-10,16
2014-10-11,6
2014-10-12,2
2014-10-13,9
2014-10-14,13
2014-10-15,20
2014-10-16,15
2014-10-17,14
2014-10-18,8
2014-10-19,5
2014-10-20,12
2014-10-21,12
2014-10-22,18
2014-10-23,14
2014-10-24,13
2014-10-25,4
2014-10-26,7
2014-10-27,19
2014-10-28,14
2014-10-29,14
2014-10-30,12
2014-10-31,8
2014-11-01,7
2014-11-02,5
2014-11-03,20
2014-11-04,16
2014-11-05,12
2014-11-06,17
2014-11-07,14
2014-11-08,5
2014-11-09,5
2014-11-10,11
2014-11-11,11
2014-11-12,17
2014-11-13,12
2014-11-14,17
2014-11-15,5
2014-11-16,7
2014-11-17,14
2014-11-18,19
2014-11-19,17
2014-11-20,18
2014-11-21,14
2014-11-22,7
2014-11-23,9
2014-11-24,20
2014-11-25,22
2014-11-26,12
2014-11-27,3
2014-11-28,4
2014-11-29,3
2014-11-30,6
2014-12-01,12
