date,SBAC
2015-04-10,71
2015-04-11,15
2015-04-12,14
2015-04-13,81
2015-04-14,86
2015-04-15,83
2015-04-16,84
2015-04-17,70
2015-04-18,15
2015-04-19,20
2015-04-20,100
2015-04-21,92
2015-04-22,71
2015-04-23,70
2015-04-24,76
2015-04-25,20
2015-04-26,15
2015-04-27,74
2015-04-28,69
2015-04-29,64
2015-04-30,60
2015-05-01,62
2015-05-02,10
2015-05-03,14
2015-05-04,54
2015-05-05,45
2015-05-06,41
2015-05-07,40
2015-05-08,35
2015-05-09,7
2015-05-10,9
2015-05-11,30
2015-05-12,34
2015-05-13,27
2015-05-14,31
2015-05-15,29
2015-05-16,5
2015-05-17,7
2015-05-18,33
2015-05-19,23
2015-05-20,21
2015-05-21,26
2015-05-22,19
2015-05-23,5
2015-05-24,5
2015-05-25,6
2015-05-26,19
2015-05-27,15
2015-05-28,13
2015-05-29,13
2015-05-30,6
2015-05-31,7
2015-06-01,10
2015-06-02,13
2015-06-03,10
2015-06-04,10
2015-06-05,8
2015-06-06,5
2015-06-07,4
2015-06-08,8
2015-06-09,10
2015-06-10,6
2015-06-11,7
2015-06-12,8
2015-06-13,4
2015-06-14,3
2015-06-15,4
2015-06-16,8
2015-06-17,8
2015-06-18,6
2015-06-19,6
2015-06-20,4
2015-06-21,5
2015-06-22,7
2015-06-23,6
2015-06-24,6
2015-06-25,3
2015-06-26,5
2015-06-27,3
2015-06-28,2
2015-06-29,4
2015-06-30,3
2015-07-01,3
2015-07-02,4
2015-07-03,3
2015-07-04,4
2015-07-05,3
2015-07-06,2
2015-07-07,6
2015-07-08,5
2015-07-09,4
2015-07-10,5
2015-07-11,4
2015-07-12,3
2015-07-13,7
2015-07-14,6
2015-07-15,5
2015-07-16,5
2015-07-17,4
2015-07-18,2
2015-07-19,1
2015-07-20,6
2015-07-21,6
2015-07-22,5
2015-07-23,6
2015-07-24,6
2015-07-25,3
2015-07-26,3
2015-07-27,8
2015-07-28,4
2015-07-29,7
2015-07-30,5
2015-07-31,5
2015-08-01,3
2015-08-02,3
2015-08-03,6
2015-08-04,4
2015-08-05,7
2015-08-06,6
2015-08-07,7
2015-08-08,5
2015-08-09,3
2015-08-10,4
2015-08-11,8
2015-08-12,8
2015-08-13,7
2015-08-14,5
2015-08-15,6
2015-08-16,4
2015-08-17,7
2015-08-18,7
2015-08-19,9
2015-08-20,6
2015-08-21,6
2015-08-22,5
2015-08-23,5
2015-08-24,10
2015-08-25,11
2015-08-26,7
2015-08-27,9
2015-08-28,10
2015-08-29,7
2015-08-30,6
2015-08-31,8
2015-09-01,10
2015-09-02,10
2015-09-03,7
2015-09-04,8
2015-09-05,3
2015-09-06,3
2015-09-07,4
2015-09-08,11
2015-09-09,14
2015-09-10,15
2015-09-11,14
2015-09-12,7
2015-09-13,5
2015-09-14,12
2015-09-15,14
2015-09-16,16
2015-09-17,12
2015-09-18,13
2015-09-19,7
2015-09-20,7
2015-09-21,12
2015-09-22,12
2015-09-23,13
2015-09-24,13
2015-09-25,13
2015-09-26,4
2015-09-27,7
2015-09-28,12
2015-09-29,12
2015-09-30,14
2015-10-01,14
2015-10-02,13
2015-10-03,7
2015-10-04,6
2015-10-05,11
2015-10-06,13
2015-10-07,11
2015-10-08,11
2015-10-09,10
2015-10-10,4
2015-10-11,6
2015-10-12,7
2015-10-13,8
2015-10-14,9
2015-10-15,8
2015-10-16,9
2015-10-17,4
2015-10-18,5
2015-10-19,9
2015-10-20,13
2015-10-21,11
2015-10-22,9
2015-10-23,11
2015-10-24,3
2015-10-25,4
2015-10-26,9
2015-10-27,12
2015-10-28,9
2015-10-29,10
2015-10-30,10
2015-10-31,6
2015-11-01,4
2015-11-02,7
2015-11-03,13
2015-11-04,13
2015-11-05,12
2015-11-06,11
2015-11-07,2
2015-11-08,1
2015-11-09,8
2015-11-10,9
2015-11-11,7
2015-11-12,11
2015-11-13,12
2015-11-14,4
2015-11-15,4
2015-11-16,9
2015-11-17,9
2015-11-18,11
2015-11-19,10
2015-11-20,9
2015-11-21,4
2015-11-22,1
2015-11-23,7
2015-11-24,8
2015-11-25,5
2015-11-26,3
2015-11-27,3
2015-11-28,4
2015-11-29,3
2015-11-30,9
2015-12-01,10
2015-12-02,10
2015-12-03,9
2015-12-04,9
2015-12-05,3
2015-12-06,3
2015-12-07,7
2015-12-08,11
2015-12-09,13
2015-12-10,10
2015-12-11,7
2015-12-12,3
2015-12-13,3
2015-12-14,10
2015-12-15,7
2015-12-16,8
2015-12-17,11
2015-12-18,8
2015-12-19,3
2015-12-20,1
2015-12-21,3
2015-12-22,3
2015-12-23,4
2015-12-24,4
2015-12-25,1
2015-12-26,2
