date,SBAC
2012-10-12,31
2012-10-13,27
2012-10-14,35
2012-10-15,60
2012-10-16,68
2012-10-17,29
2012-10-18,66
2012-10-19,27
2012-10-20,18
2012-10-21,26
2012-10-22,40
2012-10-23,50
2012-10-24,33
2012-10-25,70
2012-10-26,42
2012-10-27,44
2012-10-28,38
2012-10-29,66
2012-10-30,49
2012-10-31,37
2012-11-01,80
2012-11-02,50
2012-11-03,22
2012-11-04,25
2012-11-05,60
2012-11-06,35
2012-11-07,49
2012-11-08,51
2012-11-09,34
2012-11-10,34
2012-11-11,21
2012-11-12,53
2012-11-13,64
2012-11-14,58
2012-11-15,58
2012-11-16,56
2012-11-17,26
2012-11-18,8
2012-11-19,53
2012-11-20,32
2012-11-21,29
2012-11-22,15
2012-11-23,38
2012-11-24,13
2012-11-25,29
2012-11-26,41
2012-11-27,42
2012-11-28,66
2012-11-29,39
2012-11-30,62
2012-12-01,51
2012-12-02,29
2012-12-03,62
2012-12-04,45
2012-12-05,52
2012-12-06,49
2012-12-07,59
2012-12-08,21
2012-12-09,25
2012-12-10,55
2012-12-11,66
2012-12-12,32
2012-12-13,46
2012-12-14,33
2012-12-15,25
2012-12-16,33
2012-12-17,63
2012-12-18,46
2012-12-19,47
2012-12-20,37
2012-12-21,50
2012-12-22,17
2012-12-23,40
2012-12-24,40
2012-12-25,23
2012-12-26,36
2012-12-27,27
2012-12-28,23
2012-12-29,30
2012-12-30,30
2012-12-31,17
2013-01-01,27
2013-01-02,46
2013-01-03,74
2013-01-04,65
2013-01-05,28
2013-01-06,28
2013-01-07,45
2013-01-08,84
2013-01-09,37
2013-01-10,58
2013-01-11,70
2013-01-12,40
2013-01-13,23
2013-01-14,56
2013-01-15,49
2013-01-16,50
2013-01-17,47
2013-01-18,55
2013-01-19,32
2013-01-20,39
2013-01-21,36
2013-01-22,60
2013-01-23,69
2013-01-24,70
2013-01-25,62
2013-01-26,28
2013-01-27,31
2013-01-28,43
2013-01-29,42
2013-01-30,59
2013-01-31,69
2013-02-01,52
2013-02-02,12
2013-02-03,31
2013-02-04,59
2013-02-05,62
2013-02-06,33
2013-02-07,53
2013-02-08,52
2013-02-09,28
2013-02-10,28
2013-02-11,84
2013-02-12,37
2013-02-13,83
2013-02-14,54
2013-02-15,45
2013-02-16,31
2013-02-17,31
2013-02-18,46
2013-02-19,55
2013-02-20,65
2013-02-21,49
2013-02-22,78
2013-02-23,35
2013-02-24,30
2013-02-25,67
2013-02-26,58
2013-02-27,39
2013-02-28,69
2013-03-01,75
2013-03-02,27
2013-03-03,34
2013-03-04,46
2013-03-05,78
2013-03-06,65
2013-03-07,72
2013-03-08,70
2013-03-09,38
2013-03-10,30
2013-03-11,92
2013-03-12,82
2013-03-13,76
2013-03-14,96
2013-03-15,80
2013-03-16,30
2013-03-17,45
2013-03-18,54
2013-03-19,54
2013-03-20,80
2013-03-21,71
2013-03-22,47
2013-03-23,23
2013-03-24,22
2013-03-25,64
2013-03-26,51
2013-03-27,60
2013-03-28,55
2013-03-29,48
2013-03-30,12
2013-03-31,16
2013-04-01,61
2013-04-02,41
2013-04-03,64
2013-04-04,51
2013-04-05,23
2013-04-06,19
2013-04-07,37
2013-04-08,66
2013-04-09,73
2013-04-10,45
2013-04-11,71
2013-04-12,54
2013-04-13,46
2013-04-14,23
2013-04-15,76
2013-04-16,60
2013-04-17,83
2013-04-18,52
2013-04-19,71
2013-04-20,19
2013-04-21,34
2013-04-22,67
2013-04-23,96
2013-04-24,90
2013-04-25,87
2013-04-26,51
2013-04-27,19
2013-04-28,38
2013-04-29,86
2013-04-30,77
2013-05-01,64
2013-05-02,76
2013-05-03,92
2013-05-04,27
2013-05-05,31
2013-05-06,69
2013-05-07,70
2013-05-08,42
2013-05-09,77
2013-05-10,48
2013-05-11,23
2013-05-12,42
2013-05-13,70
2013-05-14,89
2013-05-15,54
2013-05-16,67
2013-05-17,60
2013-05-18,35
2013-05-19,23
2013-05-20,80
2013-05-21,72
2013-05-22,69
2013-05-23,57
2013-05-24,40
2013-05-25,47
2013-05-26,23
2013-05-27,39
2013-05-28,62
2013-05-29,100
2013-05-30,23
2013-05-31,37
2013-06-01,31
2013-06-02,30
2013-06-03,81
2013-06-04,69
2013-06-05,45
2013-06-06,61
2013-06-07,53
2013-06-08,19
2013-06-09,34
2013-06-10,81
2013-06-11,66
2013-06-12,63
2013-06-13,70
2013-06-14,50
2013-06-15,35
2013-06-16,54
2013-06-17,76
2013-06-18,64
2013-06-19,45
2013-06-20,32
2013-06-21,54
2013-06-22,39
2013-06-23,15
2013-06-24,28
2013-06-25,44
2013-06-26,48
2013-06-27,35
2013-06-28,51
2013-06-29,39
