date,SBAC
2013-02-19,52
2013-02-20,50
2013-02-21,43
2013-02-22,94
2013-02-23,50
2013-02-24,31
2013-02-25,60
2013-02-26,49
2013-02-27,51
2013-02-28,87
2013-03-01,54
2013-03-02,45
2013-03-03,45
2013-03-04,71
2013-03-05,69
2013-03-06,85
2013-03-07,55
2013-03-08,63
2013-03-09,29
2013-03-10,21
2013-03-11,74
2013-03-12,66
2013-03-13,68
2013-03-14,89
2013-03-15,69
2013-03-16,37
2013-03-17,15
2013-03-18,63
2013-03-19,77
2013-03-20,82
2013-03-21,69
2013-03-22,51
2013-03-23,31
2013-03-24,21
2013-03-25,58
2013-03-26,47
2013-03-27,50
2013-03-28,50
2013-03-29,48
2013-03-30,25
2013-03-31,14
2013-04-01,53
2013-04-02,57
2013-04-03,79
2013-04-04,43
2013-04-05,55
2013-04-06,24
2013-04-07,28
2013-04-08,52
2013-04-09,61
2013-04-10,51
2013-04-11,67
2013-04-12,60
2013-04-13,24
2013-04-14,21
2013-04-15,72
2013-04-16,68
2013-04-17,87
2013-04-18,49
2013-04-19,53
2013-04-20,21
2013-04-21,26
2013-04-22,83
2013-04-23,70
2013-04-24,71
2013-04-25,73
2013-04-26,65
2013-04-27,24
2013-04-28,37
2013-04-29,84
2013-04-30,78
2013-05-01,70
2013-05-02,65
2013-05-03,90
2013-05-04,38
2013-05-05,46
2013-05-06,63
2013-05-07,88
2013-05-08,61
2013-05-09,64
2013-05-10,49
2013-05-11,24
2013-05-12,40
2013-05-13,75
2013-05-14,48
2013-05-15,70
2013-05-16,60
2013-05-17,62
2013-05-18,32
2013-05-19,26
2013-05-20,73
2013-05-21,56
2013-05-22,61
2013-05-23,48
2013-05-24,48
2013-05-25,45
2013-05-26,27
2013-05-27,41
2013-05-28,67
2013-05-29,85
2013-05-30,47
2013-05-31,43
2013-06-01,21
2013-06-02,45
2013-06-03,43
2013-06-04,74
2013-06-05,46
2013-06-06,49
2013-06-07,74
2013-06-08,27
2013-06-09,31
2013-06-10,68
2013-06-11,58
2013-06-12,72
2013-06-13,42
2013-06-14,63
2013-06-15,19
2013-06-16,40
2013-06-17,48
2013-06-18,40
2013-06-19,48
2013-06-20,65
2013-06-21,51
2013-06-22,30
2013-06-23,35
2013-06-24,51
2013-06-25,66
2013-06-26,61
2013-06-27,29
2013-06-28,37
2013-06-29,35
2013-06-30,25
2013-07-01,38
2013-07-02,40
2013-07-03,31
2013-07-04,26
2013-07-05,27
2013-07-06,8
2013-07-07,21
2013-07-08,43
2013-07-09,31
2013-07-10,38
2013-07-11,41
2013-07-12,40
2013-07-13,33
2013-07-14,27
2013-07-15,40
2013-07-16,38
2013-07-17,41
2013-07-18,41
2013-07-19,33
2013-07-20,41
2013-07-21,17
2013-07-22,35
2013-07-23,33
2013-07-24,56
2013-07-25,41
2013-07-26,35
2013-07-27,25
2013-07-28,16
2013-07-29,33
2013-07-30,60
2013-07-31,45
2013-08-01,52
2013-08-02,64
2013-08-03,36
2013-08-04,30
2013-08-05,43
2013-08-06,51
2013-08-07,61
2013-08-08,74
2013-08-09,60
2013-08-10,41
2013-08-11,35
2013-08-12,58
2013-08-13,69
2013-08-14,54
2013-08-15,52
2013-08-16,33
2013-08-17,62
2013-08-18,53
2013-08-19,70
2013-08-20,48
2013-08-21,60
2013-08-22,83
2013-08-23,58
2013-08-24,16
2013-08-25,44
2013-08-26,54
2013-08-27,60
2013-08-28,73
2013-08-29,70
2013-08-30,75
2013-08-31,18
2013-09-01,23
2013-09-02,24
2013-09-03,64
2013-09-04,47
2013-09-05,54
2013-09-06,58
2013-09-07,26
2013-09-08,27
2013-09-09,44
2013-09-10,75
2013-09-11,56
2013-09-12,60
2013-09-13,42
2013-09-14,23
2013-09-15,29
2013-09-16,67
2013-09-17,83
2013-09-18,82
2013-09-19,64
2013-09-20,82
2013-09-21,33
2013-09-22,34
2013-09-23,79
2013-09-24,74
2013-09-25,53
2013-09-26,79
2013-09-27,89
2013-09-28,53
2013-09-29,54
2013-09-30,67
2013-10-01,83
2013-10-02,99
2013-10-03,98
2013-10-04,79
2013-10-05,35
2013-10-06,34
2013-10-07,79
2013-10-08,88
2013-10-09,63
2013-10-10,58
2013-10-11,68
2013-10-12,33
2013-10-13,40
2013-10-14,41
2013-10-15,61
2013-10-16,52
2013-10-17,81
2013-10-18,66
2013-10-19,30
2013-10-20,34
2013-10-21,82
2013-10-22,78
2013-10-23,87
2013-10-24,100
2013-10-25,54
2013-10-26,29
2013-10-27,34
2013-10-28,71
2013-10-29,79
2013-10-30,93
2013-10-31,58
2013-11-01,92
2013-11-02,32
2013-11-03,29
2013-11-04,78
2013-11-05,100
2013-11-06,87
