date,WDC
2014-07-24,88
2014-07-25,70
2014-07-26,63
2014-07-27,64
2014-07-28,73
2014-07-29,64
2014-07-30,98
2014-07-31,86
2014-08-01,76
2014-08-02,52
2014-08-03,55
2014-08-04,80
2014-08-05,67
2014-08-06,73
2014-08-07,66
2014-08-08,97
2014-08-09,54
2014-08-10,55
2014-08-11,68
2014-08-12,86
2014-08-13,83
2014-08-14,76
2014-08-15,56
2014-08-16,56
2014-08-17,55
2014-08-18,62
2014-08-19,73
2014-08-20,86
2014-08-21,78
2014-08-22,57
2014-08-23,49
2014-08-24,55
2014-08-25,75
2014-08-26,63
2014-08-27,80
2014-08-28,74
2014-08-29,69
2014-08-30,61
2014-08-31,50
2014-09-01,68
2014-09-02,71
2014-09-03,66
2014-09-04,88
2014-09-05,81
2014-09-06,48
2014-09-07,54
2014-09-08,73
2014-09-09,87
2014-09-10,63
2014-09-11,71
2014-09-12,49
2014-09-13,62
2014-09-14,54
2014-09-15,72
2014-09-16,81
2014-09-17,77
2014-09-18,67
2014-09-19,86
2014-09-20,65
2014-09-21,52
2014-09-22,75
2014-09-23,70
2014-09-24,85
2014-09-25,68
2014-09-26,62
2014-09-27,55
2014-09-28,54
2014-09-29,77
2014-09-30,61
2014-10-01,64
2014-10-02,53
2014-10-03,69
2014-10-04,62
2014-10-05,36
2014-10-06,59
2014-10-07,72
2014-10-08,79
2014-10-09,55
2014-10-10,70
2014-10-11,42
2014-10-12,74
2014-10-13,69
2014-10-14,71
2014-10-15,77
2014-10-16,80
2014-10-17,72
2014-10-18,73
2014-10-19,69
2014-10-20,77
2014-10-21,80
2014-10-22,63
2014-10-23,68
2014-10-24,69
2014-10-25,49
2014-10-26,51
2014-10-27,75
2014-10-28,77
2014-10-29,67
2014-10-30,70
2014-10-31,66
2014-11-01,57
2014-11-02,58
2014-11-03,62
2014-11-04,77
2014-11-05,58
2014-11-06,76
2014-11-07,67
2014-11-08,62
2014-11-09,49
2014-11-10,70
2014-11-11,65
2014-11-12,69
2014-11-13,48
2014-11-14,77
2014-11-15,58
2014-11-16,50
2014-11-17,68
2014-11-18,60
2014-11-19,81
2014-11-20,69
2014-11-21,73
2014-11-22,52
2014-11-23,70
2014-11-24,72
2014-11-25,80
2014-11-26,55
2014-11-27,65
2014-11-28,54
2014-11-29,66
2014-11-30,53
2014-12-01,72
2014-12-02,81
2014-12-03,78
2014-12-04,86
2014-12-05,72
2014-12-06,55
2014-12-07,55
2014-12-08,67
2014-12-09,64
2014-12-10,87
2014-12-11,84
2014-12-12,58
2014-12-13,50
2014-12-14,63
2014-12-15,66
2014-12-16,65
2014-12-17,73
2014-12-18,52
2014-12-19,54
2014-12-20,61
2014-12-21,76
2014-12-22,67
2014-12-23,66
2014-12-24,71
2014-12-25,43
2014-12-26,59
2014-12-27,70
2014-12-28,56
2014-12-29,75
2014-12-30,100
2014-12-31,75
2015-01-01,54
2015-01-02,73
2015-01-03,55
2015-01-04,60
2015-01-05,81
2015-01-06,89
2015-01-07,62
2015-01-08,61
2015-01-09,76
2015-01-10,54
2015-01-11,66
2015-01-12,89
2015-01-13,62
2015-01-14,59
2015-01-15,63
2015-01-16,74
2015-01-17,59
2015-01-18,49
2015-01-19,55
2015-01-20,82
2015-01-21,62
2015-01-22,69
2015-01-23,66
2015-01-24,59
2015-01-25,52
2015-01-26,72
2015-01-27,76
2015-01-28,88
2015-01-29,84
2015-01-30,65
2015-01-31,51
2015-02-01,49
2015-02-02,66
2015-02-03,58
2015-02-04,58
2015-02-05,72
2015-02-06,69
2015-02-07,64
2015-02-08,50
2015-02-09,76
2015-02-10,60
2015-02-11,62
2015-02-12,59
2015-02-13,52
2015-02-14,49
2015-02-15,51
2015-02-16,70
2015-02-17,72
2015-02-18,70
2015-02-19,57
2015-02-20,59
2015-02-21,36
2015-02-22,45
2015-02-23,66
2015-02-24,67
2015-02-25,61
2015-02-26,85
2015-02-27,80
2015-02-28,47
2015-03-01,56
2015-03-02,67
2015-03-03,63
2015-03-04,84
2015-03-05,74
2015-03-06,71
2015-03-07,49
2015-03-08,48
2015-03-09,67
2015-03-10,58
2015-03-11,57
2015-03-12,69
2015-03-13,67
2015-03-14,60
2015-03-15,50
2015-03-16,65
2015-03-17,66
2015-03-18,66
2015-03-19,67
2015-03-20,64
2015-03-21,43
2015-03-22,53
2015-03-23,57
2015-03-24,65
2015-03-25,58
2015-03-26,75
2015-03-27,57
2015-03-28,45
2015-03-29,51
2015-03-30,65
2015-03-31,69
2015-04-01,65
2015-04-02,61
2015-04-03,59
2015-04-04,52
2015-04-05,59
2015-04-06,73
2015-04-07,64
2015-04-08,69
2015-04-09,59
2015-04-10,53
