date,WDC
2017-01-19,64
2017-01-20,66
2017-01-21,54
2017-01-22,38
2017-01-23,54
2017-01-24,74
2017-01-25,100
2017-01-26,94
2017-01-27,70
2017-01-28,42
2017-01-29,45
2017-01-30,69
2017-01-31,65
2017-02-01,67
2017-02-02,68
2017-02-03,67
2017-02-04,46
2017-02-05,35
2017-02-06,73
2017-02-07,80
2017-02-08,60
2017-02-09,77
2017-02-10,60
2017-02-11,42
2017-02-12,43
2017-02-13,57
2017-02-14,67
2017-02-15,69
2017-02-16,72
2017-02-17,56
2017-02-18,43
2017-02-19,42
2017-02-20,50
2017-02-21,61
2017-02-22,60
2017-02-23,64
2017-02-24,57
2017-02-25,48
2017-02-26,39
2017-02-27,66
2017-02-28,64
2017-03-01,63
2017-03-02,67
2017-03-03,67
2017-03-04,42
2017-03-05,42
2017-03-06,55
2017-03-07,65
2017-03-08,61
2017-03-09,61
2017-03-10,60
2017-03-11,42
2017-03-12,49
2017-03-13,60
2017-03-14,58
2017-03-15,57
2017-03-16,64
2017-03-17,47
2017-03-18,42
2017-03-19,40
2017-03-20,60
2017-03-21,63
2017-03-22,63
2017-03-23,64
2017-03-24,69
2017-03-25,45
2017-03-26,36
2017-03-27,56
2017-03-28,65
2017-03-29,65
2017-03-30,64
2017-03-31,68
2017-04-01,41
