date,WDC
2013-06-29,56
2013-06-30,46
2013-07-01,60
2013-07-02,63
2013-07-03,72
2013-07-04,67
2013-07-05,55
2013-07-06,48
2013-07-07,65
2013-07-08,74
2013-07-09,75
2013-07-10,71
2013-07-11,73
2013-07-12,71
2013-07-13,53
2013-07-14,60
2013-07-15,63
2013-07-16,62
2013-07-17,70
2013-07-18,64
2013-07-19,72
2013-07-20,69
2013-07-21,73
2013-07-22,63
2013-07-23,77
2013-07-24,69
2013-07-25,73
2013-07-26,75
2013-07-27,49
2013-07-28,45
2013-07-29,56
2013-07-30,71
2013-07-31,75
2013-08-01,66
2013-08-02,72
2013-08-03,50
2013-08-04,57
2013-08-05,62
2013-08-06,60
2013-08-07,65
2013-08-08,57
2013-08-09,58
2013-08-10,40
2013-08-11,43
2013-08-12,59
2013-08-13,70
2013-08-14,57
2013-08-15,83
2013-08-16,71
2013-08-17,58
2013-08-18,60
2013-08-19,59
2013-08-20,62
2013-08-21,76
2013-08-22,68
2013-08-23,61
2013-08-24,59
2013-08-25,56
2013-08-26,69
2013-08-27,70
2013-08-28,65
2013-08-29,72
2013-08-30,83
2013-08-31,62
2013-09-01,43
2013-09-02,76
2013-09-03,68
2013-09-04,69
2013-09-05,74
2013-09-06,57
2013-09-07,55
2013-09-08,53
2013-09-09,62
2013-09-10,84
2013-09-11,85
2013-09-12,64
2013-09-13,70
2013-09-14,47
2013-09-15,51
2013-09-16,69
2013-09-17,62
2013-09-18,71
2013-09-19,59
2013-09-20,62
2013-09-21,55
2013-09-22,58
2013-09-23,79
2013-09-24,63
2013-09-25,57
2013-09-26,68
2013-09-27,63
2013-09-28,62
2013-09-29,53
2013-09-30,56
2013-10-01,65
2013-10-02,62
2013-10-03,70
2013-10-04,57
2013-10-05,58
2013-10-06,60
2013-10-07,61
2013-10-08,65
2013-10-09,68
2013-10-10,69
2013-10-11,68
2013-10-12,54
2013-10-13,57
2013-10-14,59
2013-10-15,78
2013-10-16,71
2013-10-17,73
2013-10-18,53
2013-10-19,48
2013-10-20,62
2013-10-21,51
2013-10-22,63
2013-10-23,58
2013-10-24,76
2013-10-25,81
2013-10-26,61
2013-10-27,55
2013-10-28,87
2013-10-29,84
2013-10-30,75
2013-10-31,60
2013-11-01,53
2013-11-02,44
2013-11-03,67
2013-11-04,64
2013-11-05,66
2013-11-06,77
2013-11-07,75
2013-11-08,65
2013-11-09,50
2013-11-10,76
2013-11-11,67
2013-11-12,72
2013-11-13,77
2013-11-14,83
2013-11-15,75
2013-11-16,52
2013-11-17,46
2013-11-18,80
2013-11-19,71
2013-11-20,66
2013-11-21,69
2013-11-22,74
2013-11-23,52
2013-11-24,52
2013-11-25,69
2013-11-26,76
2013-11-27,81
2013-11-28,74
2013-11-29,76
2013-11-30,56
2013-12-01,59
2013-12-02,80
2013-12-03,83
2013-12-04,78
2013-12-05,91
2013-12-06,61
2013-12-07,83
2013-12-08,76
2013-12-09,89
2013-12-10,98
2013-12-11,97
2013-12-12,62
2013-12-13,61
2013-12-14,52
2013-12-15,72
2013-12-16,92
2013-12-17,81
2013-12-18,70
2013-12-19,74
2013-12-20,78
2013-12-21,79
2013-12-22,60
2013-12-23,73
2013-12-24,68
2013-12-25,78
2013-12-26,54
2013-12-27,77
2013-12-28,76
2013-12-29,59
2013-12-30,83
2013-12-31,77
2014-01-01,57
2014-01-02,81
2014-01-03,77
2014-01-04,63
2014-01-05,52
2014-01-06,83
2014-01-07,95
2014-01-08,76
2014-01-09,85
2014-01-10,67
2014-01-11,53
2014-01-12,60
2014-01-13,68
2014-01-14,70
2014-01-15,72
2014-01-16,88
2014-01-17,85
2014-01-18,61
2014-01-19,67
2014-01-20,67
2014-01-21,65
2014-01-22,100
2014-01-23,91
2014-01-24,83
2014-01-25,67
2014-01-26,66
2014-01-27,64
2014-01-28,64
2014-01-29,82
2014-01-30,65
2014-01-31,74
2014-02-01,58
2014-02-02,56
2014-02-03,69
2014-02-04,75
2014-02-05,63
2014-02-06,63
2014-02-07,69
2014-02-08,64
2014-02-09,75
2014-02-10,68
2014-02-11,82
2014-02-12,69
2014-02-13,71
2014-02-14,60
2014-02-15,62
2014-02-16,57
2014-02-17,62
2014-02-18,53
2014-02-19,67
2014-02-20,75
2014-02-21,70
2014-02-22,51
2014-02-23,48
2014-02-24,68
2014-02-25,57
2014-02-26,76
2014-02-27,72
2014-02-28,57
2014-03-01,60
2014-03-02,39
2014-03-03,77
2014-03-04,61
2014-03-05,67
2014-03-06,53
2014-03-07,53
2014-03-08,48
2014-03-09,42
2014-03-10,64
2014-03-11,65
2014-03-12,72
2014-03-13,64
2014-03-14,59
2014-03-15,54
2014-03-16,64
