date,WDC
2015-08-18,73
2015-08-19,67
2015-08-20,69
2015-08-21,61
2015-08-22,57
2015-08-23,46
2015-08-24,65
2015-08-25,59
2015-08-26,62
2015-08-27,68
2015-08-28,68
2015-08-29,53
2015-08-30,55
2015-08-31,70
2015-09-01,62
2015-09-02,79
2015-09-03,66
2015-09-04,60
2015-09-05,50
2015-09-06,49
2015-09-07,58
2015-09-08,76
2015-09-09,79
2015-09-10,80
2015-09-11,68
2015-09-12,55
2015-09-13,64
2015-09-14,78
2015-09-15,77
2015-09-16,65
2015-09-17,71
2015-09-18,78
2015-09-19,59
2015-09-20,49
2015-09-21,70
2015-09-22,73
2015-09-23,64
2015-09-24,71
2015-09-25,62
2015-09-26,53
2015-09-27,54
2015-09-28,71
2015-09-29,67
2015-09-30,88
2015-10-01,84
2015-10-02,76
2015-10-03,58
2015-10-04,49
2015-10-05,74
2015-10-06,76
2015-10-07,73
2015-10-08,69
2015-10-09,75
2015-10-10,65
2015-10-11,50
2015-10-12,63
2015-10-13,74
2015-10-14,80
2015-10-15,67
2015-10-16,72
2015-10-17,47
2015-10-18,55
2015-10-19,89
2015-10-20,92
2015-10-21,98
2015-10-22,93
2015-10-23,80
2015-10-24,80
2015-10-25,69
2015-10-26,100
2015-10-27,78
2015-10-28,92
2015-10-29,80
2015-10-30,59
2015-10-31,71
2015-11-01,54
2015-11-02,77
2015-11-03,75
2015-11-04,76
2015-11-05,67
2015-11-06,64
2015-11-07,59
2015-11-08,57
2015-11-09,80
2015-11-10,76
2015-11-11,74
2015-11-12,83
2015-11-13,70
2015-11-14,50
2015-11-15,60
2015-11-16,70
2015-11-17,81
2015-11-18,66
2015-11-19,63
2015-11-20,69
2015-11-21,61
2015-11-22,59
2015-11-23,67
2015-11-24,65
2015-11-25,67
2015-11-26,56
2015-11-27,62
2015-11-28,54
2015-11-29,55
2015-11-30,76
2015-12-01,70
2015-12-02,61
2015-12-03,63
2015-12-04,71
2015-12-05,62
2015-12-06,60
2015-12-07,73
2015-12-08,75
2015-12-09,74
2015-12-10,70
2015-12-11,65
2015-12-12,59
2015-12-13,51
2015-12-14,63
2015-12-15,64
2015-12-16,68
2015-12-17,62
2015-12-18,69
2015-12-19,55
2015-12-20,55
2015-12-21,61
2015-12-22,67
2015-12-23,63
2015-12-24,57
2015-12-25,50
2015-12-26,67
2015-12-27,58
2015-12-28,75
2015-12-29,70
2015-12-30,69
2015-12-31,70
2016-01-01,88
2016-01-02,80
2016-01-03,72
2016-01-04,76
2016-01-05,64
2016-01-06,67
2016-01-07,63
2016-01-08,63
2016-01-09,53
2016-01-10,51
2016-01-11,71
2016-01-12,74
2016-01-13,75
2016-01-14,69
2016-01-15,66
2016-01-16,69
2016-01-17,46
2016-01-18,64
2016-01-19,69
2016-01-20,78
2016-01-21,65
2016-01-22,70
2016-01-23,64
2016-01-24,65
2016-01-25,79
2016-01-26,76
2016-01-27,84
2016-01-28,69
2016-01-29,82
2016-01-30,60
2016-01-31,56
2016-02-01,65
2016-02-02,72
2016-02-03,80
2016-02-04,73
2016-02-05,67
2016-02-06,47
2016-02-07,54
2016-02-08,62
2016-02-09,48
2016-02-10,69
2016-02-11,69
2016-02-12,65
2016-02-13,58
2016-02-14,59
2016-02-15,76
2016-02-16,59
2016-02-17,64
2016-02-18,58
2016-02-19,73
2016-02-20,58
2016-02-21,62
2016-02-22,74
2016-02-23,71
2016-02-24,81
2016-02-25,58
2016-02-26,65
2016-02-27,61
2016-02-28,53
2016-02-29,67
2016-03-01,75
2016-03-02,73
2016-03-03,62
2016-03-04,71
2016-03-05,68
2016-03-06,60
2016-03-07,82
2016-03-08,72
2016-03-09,71
2016-03-10,74
2016-03-11,80
2016-03-12,57
2016-03-13,61
2016-03-14,71
2016-03-15,65
2016-03-16,75
2016-03-17,73
2016-03-18,74
2016-03-19,57
2016-03-20,55
2016-03-21,80
2016-03-22,62
2016-03-23,86
2016-03-24,68
2016-03-25,60
2016-03-26,58
2016-03-27,57
2016-03-28,80
2016-03-29,77
2016-03-30,70
2016-03-31,84
2016-04-01,83
2016-04-02,50
2016-04-03,53
2016-04-04,55
2016-04-05,74
2016-04-06,64
2016-04-07,67
2016-04-08,75
2016-04-09,47
2016-04-10,53
2016-04-11,76
2016-04-12,58
2016-04-13,64
2016-04-14,83
2016-04-15,78
2016-04-16,46
2016-04-17,57
2016-04-18,73
2016-04-19,76
2016-04-20,79
2016-04-21,72
2016-04-22,66
2016-04-23,52
2016-04-24,53
2016-04-25,76
2016-04-26,68
2016-04-27,87
2016-04-28,90
2016-04-29,85
2016-04-30,54
2016-05-01,50
2016-05-02,74
2016-05-03,81
2016-05-04,88
