date,WDC
2012-06-04,39
2012-06-05,37
2012-06-06,44
2012-06-07,31
2012-06-08,38
2012-06-09,37
2012-06-10,29
2012-06-11,100
2012-06-12,48
2012-06-13,33
2012-06-14,43
2012-06-15,33
2012-06-16,28
2012-06-17,40
2012-06-18,42
2012-06-19,41
2012-06-20,32
2012-06-21,37
2012-06-22,36
2012-06-23,40
2012-06-24,28
2012-06-25,36
2012-06-26,38
2012-06-27,35
2012-06-28,38
2012-06-29,34
2012-06-30,31
2012-07-01,24
2012-07-02,40
2012-07-03,35
2012-07-04,36
2012-07-05,34
2012-07-06,29
2012-07-07,38
2012-07-08,32
2012-07-09,35
2012-07-10,38
2012-07-11,37
2012-07-12,36
2012-07-13,36
2012-07-14,23
2012-07-15,32
2012-07-16,30
2012-07-17,44
2012-07-18,38
2012-07-19,31
2012-07-20,38
2012-07-21,35
2012-07-22,37
2012-07-23,40
2012-07-24,36
2012-07-25,36
2012-07-26,39
2012-07-27,44
2012-07-28,27
2012-07-29,35
2012-07-30,39
2012-07-31,42
2012-08-01,40
2012-08-02,32
2012-08-03,34
2012-08-04,27
2012-08-05,27
2012-08-06,40
2012-08-07,39
2012-08-08,41
2012-08-09,36
2012-08-10,34
2012-08-11,34
2012-08-12,33
2012-08-13,30
2012-08-14,30
2012-08-15,37
2012-08-16,46
2012-08-17,37
2012-08-18,35
2012-08-19,28
2012-08-20,35
2012-08-21,45
2012-08-22,36
2012-08-23,39
2012-08-24,44
2012-08-25,35
2012-08-26,26
2012-08-27,32
2012-08-28,33
2012-08-29,37
2012-08-30,38
2012-08-31,38
2012-09-01,28
2012-09-02,26
2012-09-03,29
2012-09-04,33
2012-09-05,35
2012-09-06,38
2012-09-07,38
2012-09-08,36
2012-09-09,34
2012-09-10,34
2012-09-11,33
2012-09-12,61
2012-09-13,44
2012-09-14,31
2012-09-15,31
2012-09-16,28
2012-09-17,36
2012-09-18,34
2012-09-19,31
2012-09-20,39
2012-09-21,27
2012-09-22,28
2012-09-23,30
2012-09-24,32
2012-09-25,40
2012-09-26,44
2012-09-27,34
2012-09-28,39
2012-09-29,27
2012-09-30,30
2012-10-01,35
2012-10-02,36
2012-10-03,30
2012-10-04,33
2012-10-05,38
2012-10-06,32
2012-10-07,31
2012-10-08,33
2012-10-09,33
2012-10-10,38
2012-10-11,30
2012-10-12,32
2012-10-13,33
2012-10-14,27
2012-10-15,36
2012-10-16,37
2012-10-17,31
2012-10-18,31
2012-10-19,38
2012-10-20,26
2012-10-21,33
2012-10-22,42
2012-10-23,41
2012-10-24,36
2012-10-25,46
2012-10-26,41
2012-10-27,30
2012-10-28,29
2012-10-29,25
2012-10-30,37
2012-10-31,31
2012-11-01,36
2012-11-02,40
2012-11-03,31
2012-11-04,33
2012-11-05,30
2012-11-06,30
2012-11-07,30
2012-11-08,33
2012-11-09,36
2012-11-10,27
2012-11-11,31
2012-11-12,37
2012-11-13,33
2012-11-14,25
2012-11-15,31
2012-11-16,25
2012-11-17,30
2012-11-18,31
2012-11-19,32
2012-11-20,36
2012-11-21,33
2012-11-22,29
2012-11-23,32
2012-11-24,28
2012-11-25,30
2012-11-26,37
2012-11-27,25
2012-11-28,29
2012-11-29,35
2012-11-30,32
2012-12-01,42
2012-12-02,39
2012-12-03,39
2012-12-04,31
2012-12-05,40
2012-12-06,37
2012-12-07,34
2012-12-08,35
2012-12-09,37
2012-12-10,28
2012-12-11,38
2012-12-12,32
2012-12-13,26
2012-12-14,35
2012-12-15,23
2012-12-16,34
2012-12-17,39
2012-12-18,32
2012-12-19,31
2012-12-20,38
2012-12-21,38
2012-12-22,32
2012-12-23,32
2012-12-24,29
2012-12-25,36
2012-12-26,34
2012-12-27,34
2012-12-28,36
2012-12-29,31
2012-12-30,37
2012-12-31,30
2013-01-01,34
2013-01-02,35
2013-01-03,34
2013-01-04,33
2013-01-05,31
2013-01-06,36
2013-01-07,35
2013-01-08,34
2013-01-09,42
2013-01-10,32
2013-01-11,38
2013-01-12,32
2013-01-13,32
2013-01-14,33
2013-01-15,37
2013-01-16,38
2013-01-17,35
2013-01-18,37
2013-01-19,26
2013-01-20,27
2013-01-21,36
2013-01-22,42
2013-01-23,42
2013-01-24,36
2013-01-25,35
2013-01-26,35
2013-01-27,23
2013-01-28,35
2013-01-29,40
2013-01-30,30
2013-01-31,38
2013-02-01,29
2013-02-02,33
2013-02-03,29
2013-02-04,38
2013-02-05,29
2013-02-06,35
2013-02-07,26
2013-02-08,29
2013-02-09,32
2013-02-10,28
2013-02-11,33
2013-02-12,39
2013-02-13,27
2013-02-14,26
2013-02-15,32
2013-02-16,28
2013-02-17,33
2013-02-18,24
2013-02-19,32
