date,CSCO,isPartial
2010-08-24,9,False
2010-08-25,9,False
2010-08-26,11,False
2010-08-27,9,False
2010-08-28,4,False
2010-08-29,7,False
2010-08-30,6,False
2010-08-31,10,False
2010-09-01,9,False
2010-09-02,10,False
2010-09-03,11,False
2010-09-04,6,False
2010-09-05,4,False
2010-09-06,6,False
2010-09-07,6,False
2010-09-08,10,False
2010-09-09,13,False
2010-09-10,6,False
2010-09-11,4,False
2010-09-12,2,False
2010-09-13,7,False
2010-09-14,12,False
2010-09-15,17,False
2010-09-16,13,False
2010-09-17,8,False
2010-09-18,9,False
2010-09-19,4,False
2010-09-20,10,False
2010-09-21,10,False
2010-09-22,11,False
2010-09-23,10,False
2010-09-24,12,False
2010-09-25,5,False
2010-09-26,2,False
2010-09-27,11,False
2010-09-28,9,False
2010-09-29,8,False
2010-09-30,7,False
2010-10-01,9,False
2010-10-02,2,False
2010-10-03,2,False
2010-10-04,7,False
2010-10-05,7,False
2010-10-06,9,False
2010-10-07,11,False
2010-10-08,19,False
2010-10-09,2,False
2010-10-10,2,False
2010-10-11,14,False
2010-10-12,12,False
2010-10-13,15,False
2010-10-14,12,False
2010-10-15,9,False
2010-10-16,5,False
2010-10-17,3,False
2010-10-18,13,False
2010-10-19,7,False
2010-10-20,10,False
2010-10-21,9,False
2010-10-22,12,False
2010-10-23,3,False
2010-10-24,2,False
2010-10-25,10,False
2010-10-26,11,False
2010-10-27,3,False
2010-10-28,6,False
2010-10-29,5,False
2010-10-30,4,False
2010-10-31,4,False
2010-11-01,8,False
2010-11-02,10,False
2010-11-03,12,False
2010-11-04,13,False
2010-11-05,16,False
2010-11-06,4,False
2010-11-07,2,False
2010-11-08,14,False
2010-11-09,19,False
2010-11-10,38,False
2010-11-11,100,False
2010-11-12,58,False
2010-11-13,17,False
2010-11-14,6,False
2010-11-15,30,False
2010-11-16,36,False
2010-11-17,18,False
2010-11-18,21,False
2010-11-19,25,False
2010-11-20,8,False
2010-11-21,6,False
2010-11-22,12,False
2010-11-23,19,False
2010-11-24,22,False
2010-11-25,8,False
2010-11-26,17,False
2010-11-27,13,False
2010-11-28,3,False
2010-11-29,16,False
2010-11-30,14,False
2010-12-01,12,False
2010-12-02,16,False
2010-12-03,16,False
2010-12-04,10,False
2010-12-05,2,False
2010-12-06,21,False
2010-12-07,20,False
2010-12-08,20,False
2010-12-09,11,False
2010-12-10,15,False
2010-12-11,8,False
2010-12-12,3,False
2010-12-13,16,False
2010-12-14,17,False
2010-12-15,18,False
2010-12-16,10,False
2010-12-17,14,False
2010-12-18,3,False
2010-12-19,4,False
2010-12-20,16,False
2010-12-21,12,False
2010-12-22,14,False
2010-12-23,12,False
2010-12-24,8,False
2010-12-25,10,False
2010-12-26,4,False
2010-12-27,18,False
2010-12-28,19,False
2010-12-29,18,False
2010-12-30,13,False
2010-12-31,16,False
2011-01-01,4,False
2011-01-02,4,False
2011-01-03,14,False
2011-01-04,20,False
2011-01-05,21,False
2011-01-06,25,False
2011-01-07,14,False
2011-01-08,6,False
2011-01-09,7,False
2011-01-10,13,False
2011-01-11,16,False
2011-01-12,14,False
2011-01-13,15,False
2011-01-14,16,False
2011-01-15,7,False
2011-01-16,6,False
2011-01-17,8,False
2011-01-18,18,False
2011-01-19,14,False
2011-01-20,11,False
2011-01-21,13,False
2011-01-22,6,False
2011-01-23,7,False
2011-01-24,8,False
2011-01-25,14,False
2011-01-26,15,False
2011-01-27,17,False
2011-01-28,16,False
2011-01-29,8,False
2011-01-30,8,False
2011-01-31,10,False
2011-02-01,16,False
2011-02-02,19,False
2011-02-03,16,False
2011-02-04,16,False
2011-02-05,5,False
2011-02-06,5,False
2011-02-07,20,False
2011-02-08,23,False
2011-02-09,37,False
2011-02-10,76,False
2011-02-11,57,False
2011-02-12,14,False
2011-02-13,10,False
2011-02-14,29,False
2011-02-15,27,False
2011-02-16,22,False
2011-02-17,23,False
2011-02-18,19,False
2011-02-19,12,False
2011-02-20,4,False
2011-02-21,10,False
2011-02-22,12,False
2011-02-23,30,False
2011-02-24,19,False
2011-02-25,13,False
2011-02-26,8,False
2011-02-27,5,False
2011-02-28,18,False
2011-03-01,19,False
2011-03-02,11,False
2011-03-03,17,False
2011-03-04,15,False
2011-03-05,10,False
2011-03-06,3,False
2011-03-07,14,False
2011-03-08,16,False
2011-03-09,14,False
2011-03-10,13,False
2011-03-11,19,False
2011-03-12,9,False
2011-03-13,3,False
2011-03-14,19,False
2011-03-15,21,False
2011-03-16,18,False
2011-03-17,17,False
2011-03-18,27,False
2011-03-19,5,False
2011-03-20,6,False
2011-03-21,11,False
2011-03-22,18,False
2011-03-23,14,False
2011-03-24,17,False
2011-03-25,14,False
2011-03-26,6,False
2011-03-27,7,False
2011-03-28,14,False
2011-03-29,15,False
2011-03-30,15,False
2011-03-31,17,False
2011-04-01,16,False
2011-04-02,8,False
2011-04-03,5,False
2011-04-04,15,False
2011-04-05,17,False
2011-04-06,30,False
2011-04-07,21,False
2011-04-08,18,False
2011-04-09,10,False
2011-04-10,4,False
2011-04-11,17,False
2011-04-12,23,False
2011-04-13,18,False
2011-04-14,19,False
2011-04-15,22,False
2011-04-16,5,False
2011-04-17,2,False
2011-04-18,17,False
2011-04-19,24,False
2011-04-20,24,False
2011-04-21,16,False
2011-04-22,9,False
2011-04-23,7,False
2011-04-24,3,False
2011-04-25,17,False
2011-04-26,15,False
2011-04-27,22,False
2011-04-28,18,False
2011-04-29,14,False
2011-04-30,2,False
2011-05-01,6,False
2011-05-02,14,False
2011-05-03,14,False
2011-05-04,19,False
2011-05-05,17,False
2011-05-06,15,False
2011-05-07,6,False
2011-05-08,2,False
2011-05-09,15,False
2011-05-10,21,False
2011-05-11,43,False
