date,value
2012-01-26,90.68736342896685
2012-01-27,89.20871498695848
2012-01-28,83.36951201981614
2012-01-29,90.2750173900996
2012-01-30,95.05640470414544
2012-01-31,93.46119447445608
2012-02-01,90.80392521664784
2012-02-02,91.87022761978899
2012-02-03,86.55568910417259
2012-02-04,82.30745299169732
2012-02-05,89.2129583619808
2012-02-06,100.89136429626551
2012-02-07,94.51901012755259
2012-02-08,93.45695109943377
2012-02-09,92.39913544633724
2012-02-10,87.09308368076546
2012-02-11,82.84060419326786
2012-02-12,86.03102465264664
2012-02-13,90.79968184162556
2012-02-14,87.61774813229141
2012-02-15,90.80392521664784
2012-02-16,92.93228664790782
2012-02-17,87.61774813229141
2012-02-18,82.83636081824557
2012-02-19,89.74186618852907
2012-02-20,97.18052276038307
2012-02-21,98.77148961505016
2012-02-22,95.58531253069373
2012-02-23,93.99010230100431
2012-02-24,89.2129583619808
2012-02-25,83.90266322138669
2012-02-26,90.80392521664784
2012-02-27,97.7094305869313
2012-02-28,97.17627938536077
2012-02-29,95.58531253069373
2012-03-01,95.5810691556714
2012-03-02,88.67980716041023
2012-03-03,84.9604788744832
2012-03-04,90.2792607651219
2012-03-05,98.24258178850191
2012-03-06,97.17627938536077
2012-03-07,93.46119447445608
2012-03-08,92.39489207131493
2012-03-09,88.67980716041023
2012-03-10,82.31169636671963
2012-03-11,87.61350475726911
2012-03-12,97.17203601033847
2012-03-13,93.99434567602665
2012-03-14,93.99010230100431
2012-03-15,92.39913544633724
2012-03-16,88.15089933386196
2012-03-17,81.24963733860079
2012-03-18,88.15089933386196
2012-03-19,97.7094305869313
2012-03-20,98.2383384134796
2012-03-21,95.58531253069373
2012-03-22,94.52325350257489
2012-03-23,90.27077401507731
2012-03-24,83.36951201981614
2012-03-25,91.8659842447667
2012-03-26,98.2383384134796
2012-03-27,97.70518721190905
2012-03-28,97.17627938536077
2012-03-29,95.05216132912315
2012-03-30,89.2129583619808
2012-03-31,83.89841984636439
2012-04-01,89.20871498695848
2012-04-02,95.58531253069373
2012-04-03,96.64312818379022
2012-04-04,95.05216132912315
2012-04-05,93.46119447445608
2012-04-06,88.15089933386196
2012-04-07,82.83636081824557
2012-04-08,86.02253790260202
2012-04-09,96.64737155881252
2012-04-10,97.17627938536077
2012-04-11,96.64312818379022
2012-04-12,96.64312818379022
2012-04-13,92.39913544633724
2012-04-14,85.49363007605376
2012-04-15,93.45695109943377
2012-04-16,101.42875887285835
2012-04-17,101.42875887285835
2012-04-18,99.82930526814668
2012-04-19,98.76724624002784
2012-04-20,89.74610956355137
2012-04-21,84.9604788744832
2012-04-22,91.87022761978899
2012-04-23,102.49081790097719
2012-04-24,98.2383384134796
2012-04-25,98.2383384134796
2012-04-26,97.70518721190905
2012-04-27,92.39913544633724
2012-04-28,84.9604788744832
2012-04-29,93.99010230100431
2012-04-30,105.14384378376306
2012-05-01,106.20590281188187
2012-05-02,97.7094305869313
2012-05-03,97.17627938536077
2012-05-04,91.33707641821842
2012-05-05,84.9604788744832
2012-05-06,86.55993247919487
2012-05-07,99.30039744159842
2012-05-08,101.42875887285835
2012-05-09,98.77148961505016
2012-05-10,98.2383384134796
2012-05-11,89.2129583619808
2012-05-12,81.24539396357851
2012-05-13,88.15089933386196
2012-05-14,101.42027212281374
2012-05-15,98.77148961505016
2012-05-16,96.11846373226429
2012-05-17,97.7094305869313
2012-05-18,90.2750173900996
2012-05-19,83.90266322138669
2012-05-20,89.74186618852907
2012-05-21,98.76724624002784
2012-05-22,98.76724624002784
2012-05-23,97.17627938536077
2012-05-24,95.5810691556714
2012-05-25,88.67556378538794
2012-05-26,83.36951201981614
2012-05-27,87.61774813229141
2012-05-28,91.86174086974438
2012-05-29,98.76724624002784
2012-05-30,97.7094305869313
2012-05-31,93.99434567602665
2012-06-01,88.67980716041023
2012-06-02,86.02678127762434
2012-06-03,88.67980716041023
2012-06-04,93.45695109943377
2012-06-05,94.14559312559
2012-06-06,94.14559312559
2012-06-07,96.26122443178305
2012-06-08,89.91433051320395
2012-06-09,86.74088355391441
2012-06-10,90.97214616630045
2012-06-11,97.31904008487957
2012-06-12,99.4346713910726
2012-06-13,96.26122443178305
2012-06-14,96.26122443178305
2012-06-15,90.97214616630045
2012-06-16,88.85651486010744
2012-06-17,90.97214616630045
2012-06-18,100.49248704416912
2012-06-19,99.4346713910726
2012-06-20,95.20340877868654
2012-06-21,95.20340877868654
2012-06-22,93.0877774724935
2012-06-23,89.91433051320395
2012-06-24,95.20340877868654
2012-06-25,101.55030269726565
2012-06-26,100.49248704416912
2012-06-27,98.37685573797607
2012-06-28,96.26122443178305
2012-06-29,96.26122443178305
2012-06-30,89.91433051320395
2012-07-01,95.20340877868654
2012-07-02,97.31904008487957
2012-07-03,98.37685573797607
2012-07-04,86.74088355391441
2012-07-05,97.31904008487957
2012-07-06,98.37685573797607
2012-07-07,96.26122443178305
2012-07-08,99.4346713910726
2012-07-09,103.66593400345869
2012-07-10,103.66593400345869
2012-07-11,101.55030269726565
2012-07-12,101.55030269726565
2012-07-13,97.31904008487957
2012-07-14,93.0877774724935
2012-07-15,100.49248704416912
2012-07-16,105.78156530965173
2012-07-17,101.55030269726565
2012-07-18,102.60811835036215
2012-07-19,98.37685573797607
2012-07-20,94.14559312559
2012-07-21,92.02996181939699
2012-07-22,97.31904008487957
2012-07-23,102.60811835036215
2012-07-24,104.7237496565552
2012-07-25,101.55030269726565
2012-07-26,101.55030269726565
2012-07-27,96.26122443178305
2012-07-28,95.20340877868654
2012-07-29,98.37685573797607
