date,YHOO
2016-09-11,49
2016-09-12,81
2016-09-13,78
2016-09-14,72
2016-09-15,70
2016-09-16,68
2016-09-17,53
2016-09-18,54
2016-09-19,67
2016-09-20,80
2016-09-21,81
2016-09-22,90
2016-09-23,100
2016-09-24,64
2016-09-25,50
2016-09-26,85
2016-09-27,92
2016-09-28,81
2016-09-29,70
2016-09-30,67
2016-10-01,58
2016-10-02,45
2016-10-03,87
2016-10-04,76
2016-10-05,74
2016-10-06,75
2016-10-07,74
2016-10-08,53
2016-10-09,50
2016-10-10,66
2016-10-11,75
2016-10-12,72
2016-10-13,80
2016-10-14,70
2016-10-15,52
2016-10-16,54
2016-10-17,68
2016-10-18,84
2016-10-19,74
2016-10-20,74
2016-10-21,66
2016-10-22,57
2016-10-23,48
2016-10-24,69
2016-10-25,82
2016-10-26,72
2016-10-27,73
2016-10-28,64
2016-10-29,51
2016-10-30,49
2016-10-31,63
2016-11-01,65
2016-11-02,67
2016-11-03,59
2016-11-04,66
2016-11-05,50
2016-11-06,46
2016-11-07,61
2016-11-08,72
2016-11-09,78
2016-11-10,69
2016-11-11,62
2016-11-12,57
2016-11-13,46
2016-11-14,77
2016-11-15,66
2016-11-16,65
2016-11-17,66
2016-11-18,72
2016-11-19,63
2016-11-20,41
2016-11-21,69
2016-11-22,68
2016-11-23,57
2016-11-24,64
2016-11-25,67
2016-11-26,56
2016-11-27,53
2016-11-28,71
2016-11-29,68
2016-11-30,54
2016-12-01,67
2016-12-02,59
2016-12-03,39
2016-12-04,45
2016-12-05,63
2016-12-06,58
2016-12-07,59
2016-12-08,62
2016-12-09,54
2016-12-10,41
2016-12-11,42
2016-12-12,54
2016-12-13,62
2016-12-14,60
2016-12-15,85
2016-12-16,67
2016-12-17,52
2016-12-18,40
2016-12-19,71
2016-12-20,58
2016-12-21,65
2016-12-22,55
2016-12-23,48
2016-12-24,42
2016-12-25,28
2016-12-26,57
2016-12-27,46
2016-12-28,49
2016-12-29,46
2016-12-30,43
2016-12-31,36
2017-01-01,35
2017-01-02,44
2017-01-03,45
2017-01-04,52
2017-01-05,61
2017-01-06,49
2017-01-07,37
2017-01-08,35
2017-01-09,48
2017-01-10,67
2017-01-11,47
2017-01-12,49
2017-01-13,43
2017-01-14,43
2017-01-15,39
2017-01-16,44
2017-01-17,60
2017-01-18,56
2017-01-19,60
2017-01-20,58
2017-01-21,47
2017-01-22,38
2017-01-23,68
2017-01-24,73
2017-01-25,59
2017-01-26,48
2017-01-27,53
2017-01-28,31
2017-01-29,37
2017-01-30,47
2017-01-31,43
2017-02-01,53
2017-02-02,47
2017-02-03,46
2017-02-04,30
2017-02-05,28
2017-02-06,58
2017-02-07,51
2017-02-08,51
2017-02-09,48
2017-02-10,55
2017-02-11,34
2017-02-12,32
2017-02-13,54
2017-02-14,43
2017-02-15,59
2017-02-16,46
2017-02-17,55
2017-02-18,32
2017-02-19,43
2017-02-20,47
2017-02-21,52
2017-02-22,47
2017-02-23,49
2017-02-24,46
2017-02-25,29
2017-02-26,31
2017-02-27,48
2017-02-28,57
2017-03-01,61
2017-03-02,63
2017-03-03,54
2017-03-04,47
2017-03-05,38
2017-03-06,56
2017-03-07,60
2017-03-08,51
2017-03-09,52
2017-03-10,56
2017-03-11,40
2017-03-12,36
2017-03-13,58
2017-03-14,58
2017-03-15,54
2017-03-16,54
2017-03-17,48
2017-03-18,37
2017-03-19,38
2017-03-20,58
2017-03-21,60
2017-03-22,56
2017-03-23,62
2017-03-24,55
2017-03-25,35
2017-03-26,41
2017-03-27,57
2017-03-28,56
2017-03-29,55
2017-03-30,61
2017-03-31,53
2017-04-01,38
