date,YHOO
2013-02-19,50
2013-02-20,62
2013-02-21,64
2013-02-22,61
2013-02-23,59
2013-02-24,51
2013-02-25,61
2013-02-26,69
2013-02-27,67
2013-02-28,65
2013-03-01,68
2013-03-02,63
2013-03-03,54
2013-03-04,74
2013-03-05,69
2013-03-06,68
2013-03-07,71
2013-03-08,70
2013-03-09,48
2013-03-10,43
2013-03-11,68
2013-03-12,67
2013-03-13,62
2013-03-14,65
2013-03-15,61
2013-03-16,59
2013-03-17,51
2013-03-18,74
2013-03-19,64
2013-03-20,55
2013-03-21,63
2013-03-22,67
2013-03-23,53
2013-03-24,52
2013-03-25,60
2013-03-26,65
2013-03-27,68
2013-03-28,65
2013-03-29,53
2013-03-30,39
2013-03-31,52
2013-04-01,67
2013-04-02,54
2013-04-03,68
2013-04-04,61
2013-04-05,63
2013-04-06,57
2013-04-07,54
2013-04-08,60
2013-04-09,69
2013-04-10,64
2013-04-11,67
2013-04-12,61
2013-04-13,54
2013-04-14,63
2013-04-15,68
2013-04-16,91
2013-04-17,90
2013-04-18,82
2013-04-19,72
2013-04-20,65
2013-04-21,61
2013-04-22,72
2013-04-23,75
2013-04-24,67
2013-04-25,70
2013-04-26,69
2013-04-27,62
2013-04-28,50
2013-04-29,68
2013-04-30,71
2013-05-01,64
2013-05-02,65
2013-05-03,59
2013-05-04,43
2013-05-05,47
2013-05-06,65
2013-05-07,71
2013-05-08,75
2013-05-09,74
2013-05-10,62
2013-05-11,53
2013-05-12,60
2013-05-13,69
2013-05-14,68
2013-05-15,74
2013-05-16,71
2013-05-17,76
2013-05-18,62
2013-05-19,62
2013-05-20,97
2013-05-21,93
2013-05-22,77
2013-05-23,69
2013-05-24,74
2013-05-25,53
2013-05-26,55
2013-05-27,55
2013-05-28,64
2013-05-29,62
2013-05-30,61
2013-05-31,59
2013-06-01,54
2013-06-02,48
2013-06-03,66
2013-06-04,66
2013-06-05,65
2013-06-06,69
2013-06-07,64
2013-06-08,54
2013-06-09,48
2013-06-10,67
2013-06-11,62
2013-06-12,64
2013-06-13,57
2013-06-14,63
2013-06-15,48
2013-06-16,48
2013-06-17,62
2013-06-18,67
2013-06-19,60
2013-06-20,71
2013-06-21,64
2013-06-22,52
2013-06-23,53
2013-06-24,61
2013-06-25,61
2013-06-26,58
2013-06-27,53
2013-06-28,67
2013-06-29,48
2013-06-30,48
2013-07-01,54
2013-07-02,63
2013-07-03,60
2013-07-04,60
2013-07-05,66
2013-07-06,45
2013-07-07,48
2013-07-08,53
2013-07-09,59
2013-07-10,65
2013-07-11,65
2013-07-12,68
2013-07-13,49
2013-07-14,53
2013-07-15,58
2013-07-16,93
2013-07-17,100
2013-07-18,82
2013-07-19,72
2013-07-20,58
2013-07-21,59
2013-07-22,82
2013-07-23,65
2013-07-24,76
2013-07-25,62
2013-07-26,76
2013-07-27,60
2013-07-28,54
2013-07-29,66
2013-07-30,61
2013-07-31,68
2013-08-01,64
2013-08-02,60
2013-08-03,52
2013-08-04,45
2013-08-05,59
2013-08-06,60
2013-08-07,58
2013-08-08,61
2013-08-09,58
2013-08-10,45
2013-08-11,41
2013-08-12,60
2013-08-13,64
2013-08-14,50
2013-08-15,55
2013-08-16,54
2013-08-17,46
2013-08-18,37
2013-08-19,55
2013-08-20,53
2013-08-21,56
2013-08-22,76
2013-08-23,68
2013-08-24,48
2013-08-25,45
2013-08-26,60
2013-08-27,54
2013-08-28,57
2013-08-29,63
2013-08-30,49
2013-08-31,45
2013-09-01,44
2013-09-02,47
2013-09-03,52
2013-09-04,62
2013-09-05,68
2013-09-06,60
2013-09-07,45
2013-09-08,54
2013-09-09,65
2013-09-10,63
2013-09-11,63
2013-09-12,64
2013-09-13,63
2013-09-14,45
2013-09-15,41
2013-09-16,49
2013-09-17,56
2013-09-18,58
2013-09-19,59
2013-09-20,61
2013-09-21,47
2013-09-22,43
2013-09-23,56
2013-09-24,58
2013-09-25,65
2013-09-26,67
2013-09-27,66
2013-09-28,49
2013-09-29,49
2013-09-30,63
2013-10-01,69
2013-10-02,61
2013-10-03,64
2013-10-04,72
2013-10-05,53
2013-10-06,47
2013-10-07,61
2013-10-08,71
2013-10-09,67
2013-10-10,70
2013-10-11,65
2013-10-12,46
2013-10-13,50
2013-10-14,62
2013-10-15,90
2013-10-16,96
2013-10-17,73
2013-10-18,60
2013-10-19,55
2013-10-20,46
2013-10-21,67
2013-10-22,70
2013-10-23,75
2013-10-24,67
2013-10-25,65
2013-10-26,51
2013-10-27,39
2013-10-28,62
2013-10-29,60
2013-10-30,76
2013-10-31,63
2013-11-01,71
2013-11-02,62
2013-11-03,46
2013-11-04,60
2013-11-05,62
2013-11-06,60
