date,YHOO
2011-09-18,74
2011-09-19,69
2011-09-20,81
2011-09-21,87
2011-09-22,87
2011-09-23,92
2011-09-24,73
2011-09-25,72
2011-09-26,73
2011-09-27,72
2011-09-28,74
2011-09-29,82
2011-09-30,76
2011-10-01,83
2011-10-02,67
2011-10-03,83
2011-10-04,88
2011-10-05,90
2011-10-06,89
2011-10-07,89
2011-10-08,81
2011-10-09,62
2011-10-10,86
2011-10-11,84
2011-10-12,75
2011-10-13,82
2011-10-14,84
2011-10-15,85
2011-10-16,76
2011-10-17,73
2011-10-18,87
2011-10-19,86
2011-10-20,80
2011-10-21,81
2011-10-22,70
2011-10-23,69
2011-10-24,89
2011-10-25,77
2011-10-26,69
2011-10-27,65
2011-10-28,63
2011-10-29,74
2011-10-30,60
2011-10-31,68
2011-11-01,73
2011-11-02,67
2011-11-03,64
2011-11-04,69
2011-11-05,66
2011-11-06,57
2011-11-07,67
2011-11-08,70
2011-11-09,71
2011-11-10,71
2011-11-11,78
2011-11-12,67
2011-11-13,62
2011-11-14,73
2011-11-15,67
2011-11-16,62
2011-11-17,70
2011-11-18,78
2011-11-19,63
2011-11-20,60
2011-11-21,68
2011-11-22,72
2011-11-23,66
2011-11-24,75
2011-11-25,64
2011-11-26,63
2011-11-27,61
2011-11-28,68
2011-11-29,64
2011-11-30,70
2011-12-01,68
2011-12-02,82
2011-12-03,76
2011-12-04,68
2011-12-05,74
2011-12-06,79
2011-12-07,77
2011-12-08,84
2011-12-09,81
2011-12-10,80
2011-12-11,84
2011-12-12,84
2011-12-13,83
2011-12-14,69
2011-12-15,84
2011-12-16,83
2011-12-17,76
2011-12-18,66
2011-12-19,94
2011-12-20,82
2011-12-21,99
2011-12-22,95
2011-12-23,98
2011-12-24,90
2011-12-25,83
2011-12-26,85
2011-12-27,100
2011-12-28,95
2011-12-29,99
2011-12-30,82
2011-12-31,85
2012-01-01,95
2012-01-02,88
2012-01-03,92
2012-01-04,90
2012-01-05,87
2012-01-06,97
2012-01-07,80
2012-01-08,80
2012-01-09,84
2012-01-10,82
2012-01-11,90
2012-01-12,85
2012-01-13,84
2012-01-14,86
2012-01-15,74
2012-01-16,70
2012-01-17,72
2012-01-18,78
2012-01-19,64
2012-01-20,65
2012-01-21,63
2012-01-22,56
2012-01-23,69
2012-01-24,75
2012-01-25,66
2012-01-26,67
2012-01-27,66
2012-01-28,59
2012-01-29,52
2012-01-30,60
2012-01-31,58
2012-02-01,59
2012-02-02,63
2012-02-03,56
2012-02-04,54
2012-02-05,56
2012-02-06,58
2012-02-07,63
2012-02-08,54
2012-02-09,64
2012-02-10,53
2012-02-11,47
2012-02-12,55
2012-02-13,50
2012-02-14,54
2012-02-15,60
2012-02-16,58
2012-02-17,60
2012-02-18,61
2012-02-19,49
2012-02-20,57
2012-02-21,58
2012-02-22,60
2012-02-23,59
2012-02-24,58
2012-02-25,57
2012-02-26,64
2012-02-27,60
2012-02-28,61
2012-02-29,58
2012-03-01,51
2012-03-02,55
2012-03-03,58
2012-03-04,57
2012-03-05,54
2012-03-06,62
2012-03-07,53
2012-03-08,56
2012-03-09,53
2012-03-10,47
2012-03-11,52
2012-03-12,50
2012-03-13,60
2012-03-14,64
2012-03-15,58
2012-03-16,64
2012-03-17,57
2012-03-18,66
2012-03-19,62
2012-03-20,58
2012-03-21,57
2012-03-22,56
2012-03-23,64
2012-03-24,55
2012-03-25,47
2012-03-26,60
2012-03-27,56
2012-03-28,51
2012-03-29,58
2012-03-30,66
2012-03-31,48
2012-04-01,51
2012-04-02,63
2012-04-03,58
2012-04-04,67
2012-04-05,62
2012-04-06,54
2012-04-07,42
2012-04-08,62
2012-04-09,54
2012-04-10,57
2012-04-11,60
2012-04-12,56
2012-04-13,52
2012-04-14,55
2012-04-15,47
2012-04-16,46
2012-04-17,60
2012-04-18,55
2012-04-19,57
2012-04-20,46
2012-04-21,44
2012-04-22,51
2012-04-23,50
2012-04-24,52
2012-04-25,50
2012-04-26,58
2012-04-27,57
2012-04-28,47
2012-04-29,44
2012-04-30,52
2012-05-01,58
2012-05-02,57
2012-05-03,56
2012-05-04,57
2012-05-05,54
2012-05-06,46
2012-05-07,48
2012-05-08,60
2012-05-09,64
2012-05-10,57
2012-05-11,58
2012-05-12,53
2012-05-13,49
2012-05-14,69
2012-05-15,56
2012-05-16,55
2012-05-17,58
2012-05-18,66
2012-05-19,54
2012-05-20,53
2012-05-21,63
2012-05-22,55
2012-05-23,55
2012-05-24,50
2012-05-25,58
2012-05-26,46
2012-05-27,50
2012-05-28,48
2012-05-29,65
2012-05-30,45
2012-05-31,52
2012-06-01,57
2012-06-02,46
2012-06-03,38
2012-06-04,55
