date,YHOO
2017-01-19,91
2017-01-20,80
2017-01-21,75
2017-01-22,71
2017-01-23,100
2017-01-24,96
2017-01-25,77
2017-01-26,73
2017-01-27,72
2017-01-28,45
2017-01-29,55
2017-01-30,68
2017-01-31,73
2017-02-01,76
2017-02-02,69
2017-02-03,69
2017-02-04,62
2017-02-05,50
2017-02-06,74
2017-02-07,72
2017-02-08,81
2017-02-09,79
2017-02-10,75
2017-02-11,46
2017-02-12,49
2017-02-13,83
2017-02-14,77
2017-02-15,83
2017-02-16,79
2017-02-17,68
2017-02-18,52
2017-02-19,62
2017-02-20,69
2017-02-21,75
2017-02-22,71
2017-02-23,73
2017-02-24,65
2017-02-25,48
2017-02-26,45
2017-02-27,67
2017-02-28,75
2017-03-01,84
2017-03-02,75
2017-03-03,77
2017-03-04,66
2017-03-05,56
2017-03-06,70
2017-03-07,92
2017-03-08,73
2017-03-09,66
2017-03-10,72
2017-03-11,62
2017-03-12,53
2017-03-13,87
2017-03-14,80
2017-03-15,83
2017-03-16,80
2017-03-17,71
2017-03-18,61
2017-03-19,56
2017-03-20,84
2017-03-21,86
2017-03-22,73
2017-03-23,83
2017-03-24,86
2017-03-25,53
2017-03-26,56
2017-03-27,74
2017-03-28,80
2017-03-29,77
2017-03-30,86
2017-03-31,76
2017-04-01,50
