date,YHOO
2011-05-11,83
2011-05-12,85
2011-05-13,100
2011-05-14,83
2011-05-15,78
2011-05-16,91
2011-05-17,89
2011-05-18,80
2011-05-19,85
2011-05-20,79
2011-05-21,85
2011-05-22,81
2011-05-23,81
2011-05-24,91
2011-05-25,82
2011-05-26,79
2011-05-27,79
2011-05-28,86
2011-05-29,85
2011-05-30,86
2011-05-31,79
2011-06-01,81
2011-06-02,89
2011-06-03,86
2011-06-04,92
2011-06-05,84
2011-06-06,67
2011-06-07,77
2011-06-08,83
2011-06-09,83
2011-06-10,79
2011-06-11,78
2011-06-12,69
2011-06-13,76
2011-06-14,79
2011-06-15,82
2011-06-16,96
2011-06-17,82
2011-06-18,78
2011-06-19,79
2011-06-20,80
2011-06-21,76
2011-06-22,80
2011-06-23,92
2011-06-24,82
2011-06-25,89
2011-06-26,81
2011-06-27,78
2011-06-28,80
2011-06-29,88
2011-06-30,80
2011-07-01,78
2011-07-02,83
2011-07-03,91
2011-07-04,72
2011-07-05,82
2011-07-06,79
2011-07-07,92
2011-07-08,78
2011-07-09,84
2011-07-10,84
2011-07-11,92
2011-07-12,94
2011-07-13,93
2011-07-14,78
2011-07-15,89
2011-07-16,84
2011-07-17,83
2011-07-18,86
2011-07-19,82
2011-07-20,85
2011-07-21,93
2011-07-22,89
2011-07-23,89
2011-07-24,80
2011-07-25,78
2011-07-26,69
2011-07-27,61
2011-07-28,79
2011-07-29,70
2011-07-30,76
2011-07-31,58
2011-08-01,69
2011-08-02,76
2011-08-03,70
2011-08-04,73
2011-08-05,76
2011-08-06,65
2011-08-07,68
2011-08-08,82
2011-08-09,74
2011-08-10,73
2011-08-11,76
2011-08-12,71
2011-08-13,65
2011-08-14,56
2011-08-15,65
2011-08-16,71
2011-08-17,74
2011-08-18,72
2011-08-19,61
2011-08-20,68
2011-08-21,67
2011-08-22,70
2011-08-23,60
2011-08-24,66
2011-08-25,66
2011-08-26,62
2011-08-27,60
2011-08-28,59
2011-08-29,69
2011-08-30,70
2011-08-31,65
2011-09-01,71
2011-09-02,71
2011-09-03,70
2011-09-04,58
2011-09-05,60
2011-09-06,73
2011-09-07,91
2011-09-08,74
2011-09-09,66
2011-09-10,66
2011-09-11,71
2011-09-12,80
2011-09-13,71
2011-09-14,62
2011-09-15,73
2011-09-16,68
2011-09-17,81
2011-09-18,60
2011-09-19,67
2011-09-20,71
2011-09-21,82
2011-09-22,71
2011-09-23,86
2011-09-24,67
2011-09-25,70
2011-09-26,70
2011-09-27,75
2011-09-28,70
2011-09-29,78
2011-09-30,80
2011-10-01,73
2011-10-02,77
2011-10-03,70
2011-10-04,81
2011-10-05,89
2011-10-06,76
2011-10-07,82
2011-10-08,78
2011-10-09,67
2011-10-10,73
2011-10-11,80
2011-10-12,69
2011-10-13,71
2011-10-14,71
2011-10-15,83
2011-10-16,67
2011-10-17,71
2011-10-18,76
2011-10-19,77
2011-10-20,79
2011-10-21,70
2011-10-22,62
2011-10-23,65
2011-10-24,75
2011-10-25,75
2011-10-26,61
2011-10-27,65
2011-10-28,63
2011-10-29,68
2011-10-30,53
2011-10-31,60
2011-11-01,72
2011-11-02,67
2011-11-03,69
2011-11-04,65
2011-11-05,72
2011-11-06,60
2011-11-07,61
2011-11-08,72
2011-11-09,74
2011-11-10,67
2011-11-11,69
2011-11-12,63
2011-11-13,60
2011-11-14,67
2011-11-15,65
2011-11-16,60
2011-11-17,60
2011-11-18,67
2011-11-19,60
2011-11-20,55
2011-11-21,64
2011-11-22,63
2011-11-23,61
2011-11-24,65
2011-11-25,60
2011-11-26,64
2011-11-27,60
2011-11-28,66
2011-11-29,68
2011-11-30,69
2011-12-01,67
2011-12-02,72
2011-12-03,59
2011-12-04,67
2011-12-05,69
2011-12-06,74
2011-12-07,73
2011-12-08,81
2011-12-09,84
2011-12-10,71
2011-12-11,79
2011-12-12,71
2011-12-13,73
2011-12-14,63
2011-12-15,75
2011-12-16,73
2011-12-17,68
2011-12-18,66
2011-12-19,84
2011-12-20,79
2011-12-21,94
2011-12-22,92
2011-12-23,81
2011-12-24,86
2011-12-25,77
2011-12-26,76
2011-12-27,85
2011-12-28,89
2011-12-29,87
2011-12-30,76
2011-12-31,87
2012-01-01,76
2012-01-02,79
2012-01-03,83
2012-01-04,82
2012-01-05,81
2012-01-06,85
2012-01-07,78
2012-01-08,70
2012-01-09,86
2012-01-10,78
2012-01-11,87
2012-01-12,75
2012-01-13,75
2012-01-14,75
2012-01-15,68
2012-01-16,68
2012-01-17,57
2012-01-18,69
2012-01-19,65
2012-01-20,62
2012-01-21,51
2012-01-22,53
2012-01-23,70
2012-01-24,68
2012-01-25,56
2012-01-26,60
