date,YHOO
2015-04-10,57
2015-04-11,45
2015-04-12,52
2015-04-13,66
2015-04-14,59
2015-04-15,68
2015-04-16,70
2015-04-17,65
2015-04-18,47
2015-04-19,55
2015-04-20,67
2015-04-21,91
2015-04-22,91
2015-04-23,81
2015-04-24,67
2015-04-25,60
2015-04-26,52
2015-04-27,73
2015-04-28,78
2015-04-29,71
2015-04-30,76
2015-05-01,60
2015-05-02,49
2015-05-03,50
2015-05-04,53
2015-05-05,64
2015-05-06,60
2015-05-07,82
2015-05-08,65
2015-05-09,50
2015-05-10,47
2015-05-11,66
2015-05-12,72
2015-05-13,62
2015-05-14,68
2015-05-15,69
2015-05-16,50
2015-05-17,45
2015-05-18,65
2015-05-19,74
2015-05-20,86
2015-05-21,78
2015-05-22,67
2015-05-23,52
2015-05-24,48
2015-05-25,60
2015-05-26,64
2015-05-27,65
2015-05-28,66
2015-05-29,67
2015-05-30,54
2015-05-31,52
2015-06-01,78
2015-06-02,61
2015-06-03,66
2015-06-04,63
2015-06-05,63
2015-06-06,50
2015-06-07,41
2015-06-08,60
2015-06-09,64
2015-06-10,59
2015-06-11,63
2015-06-12,71
2015-06-13,42
2015-06-14,45
2015-06-15,62
2015-06-16,54
2015-06-17,56
2015-06-18,72
2015-06-19,59
2015-06-20,43
2015-06-21,45
2015-06-22,72
2015-06-23,65
2015-06-24,66
2015-06-25,64
2015-06-26,67
2015-06-27,54
2015-06-28,51
2015-06-29,72
2015-06-30,67
2015-07-01,71
2015-07-02,67
2015-07-03,60
2015-07-04,46
2015-07-05,54
2015-07-06,72
2015-07-07,70
2015-07-08,67
2015-07-09,72
2015-07-10,67
2015-07-11,50
2015-07-12,59
2015-07-13,69
2015-07-14,78
2015-07-15,75
2015-07-16,79
2015-07-17,80
2015-07-18,58
2015-07-19,55
2015-07-20,71
2015-07-21,100
2015-07-22,87
2015-07-23,73
2015-07-24,77
2015-07-25,51
2015-07-26,52
2015-07-27,73
2015-07-28,78
2015-07-29,69
2015-07-30,69
2015-07-31,69
2015-08-01,52
2015-08-02,53
2015-08-03,76
2015-08-04,71
2015-08-05,68
2015-08-06,67
2015-08-07,75
2015-08-08,52
2015-08-09,49
2015-08-10,65
2015-08-11,67
2015-08-12,90
2015-08-13,72
2015-08-14,63
2015-08-15,49
2015-08-16,51
2015-08-17,76
2015-08-18,71
2015-08-19,69
2015-08-20,69
2015-08-21,76
2015-08-22,56
2015-08-23,52
2015-08-24,79
2015-08-25,77
2015-08-26,72
2015-08-27,71
2015-08-28,69
2015-08-29,56
2015-08-30,54
2015-08-31,73
2015-09-01,73
2015-09-02,71
2015-09-03,68
2015-09-04,68
2015-09-05,50
2015-09-06,48
2015-09-07,54
2015-09-08,80
2015-09-09,88
2015-09-10,77
2015-09-11,67
2015-09-12,46
2015-09-13,47
2015-09-14,71
2015-09-15,67
2015-09-16,74
2015-09-17,75
2015-09-18,70
2015-09-19,49
2015-09-20,52
2015-09-21,75
2015-09-22,66
2015-09-23,65
2015-09-24,74
2015-09-25,72
2015-09-26,51
2015-09-27,46
2015-09-28,81
2015-09-29,79
2015-09-30,71
2015-10-01,73
2015-10-02,69
2015-10-03,50
2015-10-04,48
2015-10-05,66
2015-10-06,69
2015-10-07,67
2015-10-08,70
2015-10-09,69
2015-10-10,51
2015-10-11,55
2015-10-12,61
2015-10-13,70
2015-10-14,79
2015-10-15,64
2015-10-16,65
2015-10-17,54
2015-10-18,51
2015-10-19,70
2015-10-20,87
2015-10-21,87
2015-10-22,79
2015-10-23,76
2015-10-24,51
2015-10-25,89
2015-10-26,70
2015-10-27,74
2015-10-28,75
2015-10-29,74
2015-10-30,73
2015-10-31,47
2015-11-01,46
2015-11-02,65
2015-11-03,67
2015-11-04,72
2015-11-05,80
2015-11-06,79
2015-11-07,59
2015-11-08,53
2015-11-09,72
2015-11-10,78
2015-11-11,75
2015-11-12,75
2015-11-13,80
2015-11-14,52
2015-11-15,47
2015-11-16,75
2015-11-17,72
2015-11-18,69
2015-11-19,66
2015-11-20,63
2015-11-21,49
2015-11-22,41
2015-11-23,68
2015-11-24,63
2015-11-25,63
2015-11-26,67
2015-11-27,70
2015-11-28,51
2015-11-29,47
2015-11-30,69
2015-12-01,66
2015-12-02,95
2015-12-03,86
2015-12-04,77
2015-12-05,55
2015-12-06,53
2015-12-07,73
2015-12-08,76
2015-12-09,89
2015-12-10,71
2015-12-11,73
2015-12-12,53
2015-12-13,47
2015-12-14,73
2015-12-15,60
2015-12-16,63
2015-12-17,67
2015-12-18,62
2015-12-19,52
2015-12-20,43
2015-12-21,70
2015-12-22,60
2015-12-23,61
2015-12-24,55
2015-12-25,53
2015-12-26,50
