date,REGN
2016-05-04,47
2016-05-05,36
2016-05-06,47
2016-05-07,30
2016-05-08,22
2016-05-09,47
2016-05-10,52
2016-05-11,57
2016-05-12,52
2016-05-13,40
2016-05-14,39
2016-05-15,52
2016-05-16,60
2016-05-17,51
2016-05-18,47
2016-05-19,52
2016-05-20,55
2016-05-21,38
2016-05-22,51
2016-05-23,61
2016-05-24,56
2016-05-25,48
2016-05-26,73
2016-05-27,54
2016-05-28,36
2016-05-29,48
2016-05-30,54
2016-05-31,64
2016-06-01,38
2016-06-02,41
2016-06-03,63
2016-06-04,36
2016-06-05,38
2016-06-06,36
2016-06-07,51
2016-06-08,59
2016-06-09,54
2016-06-10,55
2016-06-11,30
2016-06-12,26
2016-06-13,37
2016-06-14,52
2016-06-15,100
2016-06-16,99
2016-06-17,84
2016-06-18,80
2016-06-19,41
2016-06-20,69
2016-06-21,75
2016-06-22,49
2016-06-23,92
2016-06-24,97
2016-06-25,54
2016-06-26,86
2016-06-27,57
2016-06-28,47
2016-06-29,53
2016-06-30,65
2016-07-01,62
2016-07-02,78
2016-07-03,47
2016-07-04,43
2016-07-05,69
2016-07-06,81
2016-07-07,63
2016-07-08,53
2016-07-09,49
2016-07-10,58
2016-07-11,80
2016-07-12,66
2016-07-13,63
2016-07-14,56
2016-07-15,51
2016-07-16,48
2016-07-17,42
2016-07-18,41
2016-07-19,31
2016-07-20,22
2016-07-21,38
2016-07-22,30
2016-07-23,23
2016-07-24,36
2016-07-25,75
2016-07-26,70
2016-07-27,70
2016-07-28,51
2016-07-29,55
2016-07-30,44
2016-07-31,47
2016-08-01,57
2016-08-02,63
2016-08-03,72
2016-08-04,82
2016-08-05,65
2016-08-06,62
2016-08-07,51
2016-08-08,70
2016-08-09,62
2016-08-10,68
2016-08-11,69
2016-08-12,58
2016-08-13,47
2016-08-14,40
2016-08-15,40
2016-08-16,46
2016-08-17,51
2016-08-18,56
2016-08-19,43
2016-08-20,43
2016-08-21,41
2016-08-22,48
2016-08-23,41
2016-08-24,37
2016-08-25,56
2016-08-26,46
2016-08-27,32
2016-08-28,60
2016-08-29,72
2016-08-30,50
2016-08-31,55
2016-09-01,58
2016-09-02,56
2016-09-03,34
2016-09-04,42
2016-09-05,44
2016-09-06,43
2016-09-07,34
2016-09-08,46
2016-09-09,45
2016-09-10,37
2016-09-11,38
2016-09-12,52
2016-09-13,36
2016-09-14,33
2016-09-15,46
2016-09-16,36
2016-09-17,18
2016-09-18,36
2016-09-19,38
2016-09-20,43
2016-09-21,47
2016-09-22,52
2016-09-23,44
2016-09-24,17
2016-09-25,40
2016-09-26,48
2016-09-27,49
2016-09-28,72
2016-09-29,58
2016-09-30,67
2016-10-01,29
2016-10-02,54
2016-10-03,38
2016-10-04,46
2016-10-05,29
2016-10-06,35
2016-10-07,40
2016-10-08,31
2016-10-09,46
2016-10-10,34
2016-10-11,42
2016-10-12,39
2016-10-13,32
2016-10-14,35
2016-10-15,26
2016-10-16,27
2016-10-17,40
2016-10-18,37
2016-10-19,37
2016-10-20,32
2016-10-21,48
2016-10-22,38
2016-10-23,51
2016-10-24,43
2016-10-25,51
2016-10-26,42
2016-10-27,35
2016-10-28,52
2016-10-29,52
2016-10-30,40
2016-10-31,56
2016-11-01,55
2016-11-02,52
2016-11-03,37
2016-11-04,51
2016-11-05,43
2016-11-06,28
2016-11-07,48
2016-11-08,46
2016-11-09,43
2016-11-10,58
2016-11-11,53
2016-11-12,65
2016-11-13,32
2016-11-14,44
2016-11-15,66
2016-11-16,42
2016-11-17,47
2016-11-18,49
2016-11-19,29
2016-11-20,38
2016-11-21,51
2016-11-22,46
2016-11-23,35
2016-11-24,26
2016-11-25,38
2016-11-26,22
2016-11-27,28
2016-11-28,32
2016-11-29,32
2016-11-30,42
2016-12-01,42
2016-12-02,31
2016-12-03,26
2016-12-04,32
2016-12-05,54
2016-12-06,50
2016-12-07,57
2016-12-08,40
2016-12-09,37
2016-12-10,31
2016-12-11,42
2016-12-12,45
2016-12-13,45
2016-12-14,38
2016-12-15,38
2016-12-16,40
2016-12-17,25
2016-12-18,32
2016-12-19,36
2016-12-20,30
2016-12-21,26
2016-12-22,24
2016-12-23,29
2016-12-24,21
2016-12-25,29
2016-12-26,17
2016-12-27,29
2016-12-28,29
2016-12-29,31
2016-12-30,24
2016-12-31,18
2017-01-01,21
2017-01-02,37
2017-01-03,56
2017-01-04,44
2017-01-05,51
2017-01-06,90
2017-01-07,47
2017-01-08,43
2017-01-09,56
2017-01-10,51
2017-01-11,61
2017-01-12,51
2017-01-13,37
2017-01-14,31
2017-01-15,35
2017-01-16,32
2017-01-17,48
2017-01-18,42
2017-01-19,45
