date,REGN
2017-01-19,45
2017-01-20,59
2017-01-21,33
2017-01-22,43
2017-01-23,54
2017-01-24,61
2017-01-25,59
2017-01-26,49
2017-01-27,49
2017-01-28,31
2017-01-29,35
2017-01-30,69
2017-01-31,61
2017-02-01,57
2017-02-02,37
2017-02-03,55
2017-02-04,34
2017-02-05,42
2017-02-06,59
2017-02-07,45
2017-02-08,69
2017-02-09,72
2017-02-10,58
2017-02-11,36
2017-02-12,42
2017-02-13,59
2017-02-14,41
2017-02-15,56
2017-02-16,62
2017-02-17,45
2017-02-18,48
2017-02-19,42
2017-02-20,50
2017-02-21,48
2017-02-22,54
2017-02-23,59
2017-02-24,45
2017-02-25,46
2017-02-26,55
2017-02-27,49
2017-02-28,70
2017-03-01,61
2017-03-02,57
2017-03-03,60
2017-03-04,37
2017-03-05,38
2017-03-06,49
2017-03-07,46
2017-03-08,54
2017-03-09,51
2017-03-10,46
2017-03-11,35
2017-03-12,35
2017-03-13,59
2017-03-14,51
2017-03-15,65
2017-03-16,61
2017-03-17,60
2017-03-18,42
2017-03-19,52
2017-03-20,69
2017-03-21,62
2017-03-22,49
2017-03-23,55
2017-03-24,60
2017-03-25,36
2017-03-26,35
2017-03-27,70
2017-03-28,92
2017-03-29,85
2017-03-30,100
2017-03-31,80
2017-04-01,44
