date,REGN
2011-05-11,26
2011-05-12,13
2011-05-13,17
2011-05-14,17
2011-05-15,24
2011-05-16,24
2011-05-17,19
2011-05-18,24
2011-05-19,21
2011-05-20,17
2011-05-21,14
2011-05-22,44
2011-05-23,20
2011-05-24,27
2011-05-25,22
2011-05-26,25
2011-05-27,40
2011-05-28,33
2011-05-29,22
2011-05-30,23
2011-05-31,43
2011-06-01,18
2011-06-02,16
2011-06-03,13
2011-06-04,17
2011-06-05,19
2011-06-06,19
2011-06-07,19
2011-06-08,25
2011-06-09,36
2011-06-10,40
2011-06-11,18
2011-06-12,20
2011-06-13,20
2011-06-14,24
2011-06-15,24
2011-06-16,26
2011-06-17,51
2011-06-18,28
2011-06-19,36
2011-06-20,30
2011-06-21,27
2011-06-22,24
2011-06-23,26
2011-06-24,20
2011-06-25,15
2011-06-26,14
2011-06-27,21
2011-06-28,20
2011-06-29,23
2011-06-30,16
2011-07-01,28
2011-07-02,54
2011-07-03,100
2011-07-04,48
2011-07-05,26
2011-07-06,22
2011-07-07,18
2011-07-08,25
2011-07-09,13
2011-07-10,19
2011-07-11,24
2011-07-12,19
2011-07-13,25
2011-07-14,40
2011-07-15,34
2011-07-16,24
2011-07-17,37
2011-07-18,39
2011-07-19,20
2011-07-20,19
2011-07-21,32
2011-07-22,42
2011-07-23,45
2011-07-24,30
2011-07-25,28
2011-07-26,12
2011-07-27,19
2011-07-28,30
2011-07-29,22
2011-07-30,17
2011-07-31,18
2011-08-01,17
2011-08-02,19
2011-08-03,20
2011-08-04,16
2011-08-05,18
2011-08-06,20
2011-08-07,54
2011-08-08,13
2011-08-09,29
2011-08-10,31
2011-08-11,33
2011-08-12,14
2011-08-13,15
2011-08-14,39
2011-08-15,47
2011-08-16,27
2011-08-17,22
2011-08-18,30
2011-08-19,36
2011-08-20,25
2011-08-21,21
2011-08-22,25
2011-08-23,22
2011-08-24,18
2011-08-25,19
2011-08-26,24
2011-08-27,30
2011-08-28,26
2011-08-29,36
2011-08-30,27
2011-08-31,17
2011-09-01,22
2011-09-02,16
2011-09-03,18
2011-09-04,49
2011-09-05,31
2011-09-06,39
2011-09-07,38
2011-09-08,25
2011-09-09,23
2011-09-10,13
2011-09-11,24
2011-09-12,33
2011-09-13,32
2011-09-14,16
2011-09-15,13
2011-09-16,15
2011-09-17,12
2011-09-18,18
2011-09-19,21
2011-09-20,22
2011-09-21,28
2011-09-22,26
2011-09-23,14
2011-09-24,15
2011-09-25,18
2011-09-26,21
2011-09-27,17
2011-09-28,18
2011-09-29,14
2011-09-30,19
2011-10-01,13
2011-10-02,21
2011-10-03,23
2011-10-04,19
2011-10-05,13
2011-10-06,23
2011-10-07,19
2011-10-08,41
2011-10-09,22
2011-10-10,21
2011-10-11,23
2011-10-12,14
2011-10-13,18
2011-10-14,15
2011-10-15,19
2011-10-16,12
2011-10-17,23
2011-10-18,30
2011-10-19,24
2011-10-20,17
2011-10-21,14
2011-10-22,4
2011-10-23,12
2011-10-24,11
2011-10-25,19
2011-10-26,17
2011-10-27,18
2011-10-28,16
2011-10-29,10
2011-10-30,20
2011-10-31,11
2011-11-01,17
2011-11-02,17
2011-11-03,7
2011-11-04,15
2011-11-05,14
2011-11-06,14
2011-11-07,11
2011-11-08,14
2011-11-09,10
2011-11-10,15
2011-11-11,17
2011-11-12,10
2011-11-13,11
2011-11-14,17
2011-11-15,11
2011-11-16,11
2011-11-17,23
2011-11-18,25
2011-11-19,18
2011-11-20,12
2011-11-21,25
2011-11-22,21
2011-11-23,21
2011-11-24,16
2011-11-25,19
2011-11-26,12
2011-11-27,15
2011-11-28,17
2011-11-29,21
2011-11-30,14
2011-12-01,18
2011-12-02,14
2011-12-03,17
2011-12-04,4
2011-12-05,14
2011-12-06,16
2011-12-07,16
2011-12-08,15
2011-12-09,14
2011-12-10,12
2011-12-11,14
2011-12-12,20
2011-12-13,20
2011-12-14,21
2011-12-15,18
2011-12-16,8
2011-12-17,19
2011-12-18,10
2011-12-19,14
2011-12-20,11
2011-12-21,9
2011-12-22,11
2011-12-23,16
2011-12-24,10
2011-12-25,13
2011-12-26,5
2011-12-27,9
2011-12-28,11
2011-12-29,9
2011-12-30,12
2011-12-31,13
2012-01-01,7
2012-01-02,13
2012-01-03,22
2012-01-04,14
2012-01-05,13
2012-01-06,16
2012-01-07,18
2012-01-08,13
2012-01-09,16
2012-01-10,25
2012-01-11,22
2012-01-12,28
2012-01-13,19
2012-01-14,9
2012-01-15,15
2012-01-16,12
2012-01-17,20
2012-01-18,14
2012-01-19,17
2012-01-20,13
2012-01-21,10
2012-01-22,15
2012-01-23,19
2012-01-24,17
2012-01-25,10
2012-01-26,16
