date,REGN
2012-06-04,47
2012-06-05,38
2012-06-06,39
2012-06-07,35
2012-06-08,38
2012-06-09,40
2012-06-10,33
2012-06-11,36
2012-06-12,36
2012-06-13,44
2012-06-14,38
2012-06-15,39
2012-06-16,62
2012-06-17,92
2012-06-18,66
2012-06-19,46
2012-06-20,40
2012-06-21,25
2012-06-22,56
2012-06-23,47
2012-06-24,83
2012-06-25,100
2012-06-26,64
2012-06-27,38
2012-06-28,35
2012-06-29,78
2012-06-30,45
2012-07-01,51
2012-07-02,33
2012-07-03,27
2012-07-04,26
2012-07-05,35
2012-07-06,65
2012-07-07,54
2012-07-08,78
2012-07-09,71
2012-07-10,87
2012-07-11,72
2012-07-12,70
2012-07-13,46
2012-07-14,62
2012-07-15,67
2012-07-16,46
2012-07-17,48
2012-07-18,47
2012-07-19,60
2012-07-20,52
2012-07-21,36
2012-07-22,45
2012-07-23,57
2012-07-24,25
2012-07-25,40
2012-07-26,36
2012-07-27,50
2012-07-28,94
2012-07-29,49
2012-07-30,43
2012-07-31,46
2012-08-01,32
2012-08-02,41
2012-08-03,44
2012-08-04,31
2012-08-05,43
2012-08-06,59
2012-08-07,55
2012-08-08,50
2012-08-09,29
2012-08-10,39
2012-08-11,23
2012-08-12,33
2012-08-13,30
2012-08-14,31
2012-08-15,15
2012-08-16,43
2012-08-17,39
2012-08-18,40
2012-08-19,47
2012-08-20,36
2012-08-21,46
2012-08-22,51
2012-08-23,61
2012-08-24,34
2012-08-25,39
2012-08-26,79
2012-08-27,54
2012-08-28,48
2012-08-29,33
2012-08-30,41
2012-08-31,47
2012-09-01,58
2012-09-02,39
2012-09-03,32
2012-09-04,50
2012-09-05,43
2012-09-06,44
2012-09-07,23
2012-09-08,28
2012-09-09,33
2012-09-10,38
2012-09-11,45
2012-09-12,42
2012-09-13,38
2012-09-14,52
2012-09-15,42
2012-09-16,25
2012-09-17,50
2012-09-18,53
2012-09-19,50
2012-09-20,37
2012-09-21,56
2012-09-22,46
2012-09-23,52
2012-09-24,50
2012-09-25,46
2012-09-26,62
2012-09-27,57
2012-09-28,39
2012-09-29,69
2012-09-30,55
2012-10-01,55
2012-10-02,49
2012-10-03,41
2012-10-04,35
2012-10-05,55
2012-10-06,39
2012-10-07,28
2012-10-08,29
2012-10-09,42
2012-10-10,29
2012-10-11,19
2012-10-12,30
2012-10-13,29
2012-10-14,34
2012-10-15,41
2012-10-16,37
2012-10-17,48
2012-10-18,43
2012-10-19,31
2012-10-20,70
2012-10-21,39
2012-10-22,36
2012-10-23,45
2012-10-24,50
2012-10-25,35
2012-10-26,32
2012-10-27,32
2012-10-28,25
2012-10-29,37
2012-10-30,20
2012-10-31,43
2012-11-01,35
2012-11-02,33
2012-11-03,24
2012-11-04,26
2012-11-05,41
2012-11-06,38
2012-11-07,23
2012-11-08,28
2012-11-09,25
2012-11-10,35
2012-11-11,30
2012-11-12,31
2012-11-13,25
2012-11-14,28
2012-11-15,24
2012-11-16,30
2012-11-17,32
2012-11-18,30
2012-11-19,38
2012-11-20,41
2012-11-21,37
2012-11-22,32
2012-11-23,36
2012-11-24,38
2012-11-25,36
2012-11-26,41
2012-11-27,49
2012-11-28,40
2012-11-29,39
2012-11-30,31
2012-12-01,27
2012-12-02,30
2012-12-03,49
2012-12-04,87
2012-12-05,55
2012-12-06,38
2012-12-07,31
2012-12-08,24
2012-12-09,23
2012-12-10,39
2012-12-11,39
2012-12-12,35
2012-12-13,43
2012-12-14,37
2012-12-15,33
2012-12-16,39
2012-12-17,32
2012-12-18,33
2012-12-19,28
2012-12-20,31
2012-12-21,30
2012-12-22,18
2012-12-23,23
2012-12-24,18
2012-12-25,16
2012-12-26,29
2012-12-27,19
2012-12-28,27
2012-12-29,40
2012-12-30,34
2012-12-31,35
2013-01-01,26
2013-01-02,33
2013-01-03,32
2013-01-04,35
2013-01-05,35
2013-01-06,34
2013-01-07,22
2013-01-08,35
2013-01-09,44
2013-01-10,34
2013-01-11,35
2013-01-12,19
2013-01-13,18
2013-01-14,32
2013-01-15,29
2013-01-16,25
2013-01-17,28
2013-01-18,35
2013-01-19,24
2013-01-20,17
2013-01-21,27
2013-01-22,53
2013-01-23,41
2013-01-24,26
2013-01-25,27
2013-01-26,20
2013-01-27,21
2013-01-28,36
2013-01-29,36
2013-01-30,34
2013-01-31,41
2013-02-01,32
2013-02-02,22
2013-02-03,18
2013-02-04,32
2013-02-05,38
2013-02-06,23
2013-02-07,30
2013-02-08,33
2013-02-09,20
2013-02-10,29
2013-02-11,34
2013-02-12,38
2013-02-13,32
2013-02-14,33
2013-02-15,45
2013-02-16,28
2013-02-17,28
2013-02-18,22
2013-02-19,33
