date,CTRP,isPartial
2011-09-18,63,False
2011-09-19,0,False
2011-09-20,0,False
2011-09-21,52,False
2011-09-22,26,False
2011-09-23,28,False
2011-09-24,0,False
2011-09-25,0,False
2011-09-26,0,False
2011-09-27,26,False
2011-09-28,0,False
2011-09-29,0,False
2011-09-30,0,False
2011-10-01,66,False
2011-10-02,0,False
2011-10-03,27,False
2011-10-04,0,False
2011-10-05,0,False
2011-10-06,53,False
2011-10-07,54,False
2011-10-08,0,False
2011-10-09,0,False
2011-10-10,26,False
2011-10-11,48,False
2011-10-12,25,False
2011-10-13,26,False
2011-10-14,0,False
2011-10-15,0,False
2011-10-16,0,False
2011-10-17,0,False
2011-10-18,25,False
2011-10-19,25,False
2011-10-20,0,False
2011-10-21,27,False
2011-10-22,0,False
2011-10-23,0,False
2011-10-24,0,False
2011-10-25,50,False
2011-10-26,0,False
2011-10-27,0,False
2011-10-28,82,False
2011-10-29,32,False
2011-10-30,0,False
2011-10-31,0,False
2011-11-01,26,False
2011-11-02,26,False
2011-11-03,25,False
2011-11-04,26,False
2011-11-05,0,False
2011-11-06,0,False
2011-11-07,0,False
2011-11-08,0,False
2011-11-09,50,False
2011-11-10,0,False
2011-11-11,0,False
2011-11-12,0,False
2011-11-13,0,False
2011-11-14,100,False
2011-11-15,25,False
2011-11-16,50,False
2011-11-17,50,False
2011-11-18,0,False
2011-11-19,0,False
2011-11-20,30,False
2011-11-21,0,False
2011-11-22,0,False
2011-11-23,0,False
2011-11-24,0,False
2011-11-25,55,False
2011-11-26,0,False
2011-11-27,0,False
2011-11-28,0,False
2011-11-29,24,False
2011-11-30,49,False
2011-12-01,0,False
2011-12-02,0,False
2011-12-03,0,False
2011-12-04,0,False
2011-12-05,49,False
2011-12-06,0,False
2011-12-07,0,False
2011-12-08,51,False
2011-12-09,53,False
2011-12-10,0,False
2011-12-11,30,False
2011-12-12,73,False
2011-12-13,0,False
2011-12-14,0,False
2011-12-15,0,False
2011-12-16,26,False
2011-12-17,0,False
2011-12-18,0,False
2011-12-19,50,False
2011-12-20,0,False
2011-12-21,52,False
2011-12-22,27,False
2011-12-23,0,False
2011-12-24,0,False
2011-12-25,0,False
2011-12-26,0,False
2011-12-27,80,False
2011-12-28,27,False
2011-12-29,0,False
2011-12-30,28,False
2011-12-31,33,False
2012-01-01,0,False
2012-01-02,0,False
2012-01-03,24,False
2012-01-04,49,False
2012-01-05,25,False
2012-01-06,0,False
2012-01-07,0,False
2012-01-08,56,False
2012-01-09,24,False
2012-01-10,0,False
2012-01-11,24,False
2012-01-12,0,False
2012-01-13,74,False
2012-01-14,28,False
2012-01-15,28,False
2012-01-16,23,False
2012-01-17,71,False
2012-01-18,0,False
2012-01-19,0,False
2012-01-20,0,False
2012-01-21,28,False
2012-01-22,0,False
2012-01-23,0,False
2012-01-24,70,False
2012-01-25,0,False
2012-01-26,48,False
2012-01-27,49,False
2012-01-28,0,False
2012-01-29,0,False
2012-01-30,23,False
2012-01-31,46,False
2012-02-01,23,False
2012-02-02,23,False
2012-02-03,0,False
2012-02-04,28,False
2012-02-05,0,False
2012-02-06,23,False
2012-02-07,0,False
2012-02-08,0,False
2012-02-09,69,False
2012-02-10,48,False
2012-02-11,0,False
2012-02-12,27,False
2012-02-13,0,False
2012-02-14,46,False
2012-02-15,0,False
2012-02-16,0,False
2012-02-17,24,False
2012-02-18,28,False
2012-02-19,0,False
2012-02-20,24,False
2012-02-21,71,False
2012-02-22,23,False
2012-02-23,46,False
2012-02-24,24,False
2012-02-25,0,False
2012-02-26,0,False
2012-02-27,23,False
2012-02-28,45,False
2012-02-29,0,False
2012-03-01,0,False
2012-03-02,25,False
2012-03-03,0,False
2012-03-04,0,False
2012-03-05,24,False
2012-03-06,45,False
2012-03-07,0,False
2012-03-08,0,False
2012-03-09,0,False
2012-03-10,28,False
