date,CTRP,isPartial
2010-08-24,63,False
2010-08-25,33,False
2010-08-26,16,False
2010-08-27,17,False
2010-08-28,21,False
2010-08-29,0,False
2010-08-30,31,False
2010-08-31,31,False
2010-09-01,16,False
2010-09-02,47,False
2010-09-03,33,False
2010-09-04,62,False
2010-09-05,0,False
2010-09-06,0,False
2010-09-07,0,False
2010-09-08,0,False
2010-09-09,0,False
2010-09-10,33,False
2010-09-11,0,False
2010-09-12,0,False
2010-09-13,0,False
2010-09-14,15,False
2010-09-15,16,False
2010-09-16,16,False
2010-09-17,0,False
2010-09-18,0,False
2010-09-19,0,False
2010-09-20,15,False
2010-09-21,15,False
2010-09-22,15,False
2010-09-23,15,False
2010-09-24,16,False
2010-09-25,19,False
2010-09-26,0,False
2010-09-27,44,False
2010-09-28,30,False
2010-09-29,15,False
2010-09-30,30,False
2010-10-01,16,False
2010-10-02,0,False
2010-10-03,0,False
2010-10-04,15,False
2010-10-05,15,False
2010-10-06,0,False
2010-10-07,16,False
2010-10-08,32,False
2010-10-09,0,False
2010-10-10,19,False
2010-10-11,15,False
2010-10-12,15,False
2010-10-13,45,False
2010-10-14,0,False
2010-10-15,0,False
2010-10-16,0,False
2010-10-17,18,False
2010-10-18,0,False
2010-10-19,0,False
2010-10-20,15,False
2010-10-21,15,False
2010-10-22,0,False
2010-10-23,19,False
2010-10-24,0,False
2010-10-25,0,False
2010-10-26,14,False
2010-10-27,29,False
2010-10-28,30,False
2010-10-29,16,False
2010-10-30,37,False
2010-10-31,0,False
2010-11-01,30,False
2010-11-02,0,False
2010-11-03,28,False
2010-11-04,100,False
2010-11-05,46,False
2010-11-06,18,False
2010-11-07,0,False
2010-11-08,0,False
2010-11-09,28,False
2010-11-10,14,False
2010-11-11,0,False
2010-11-12,0,False
2010-11-13,0,False
2010-11-14,0,False
2010-11-15,14,False
2010-11-16,0,False
2010-11-17,43,False
2010-11-18,0,False
2010-11-19,15,False
2010-11-20,0,False
2010-11-21,0,False
2010-11-22,14,False
2010-11-23,0,False
2010-11-24,14,False
2010-11-25,0,False
2010-11-26,0,False
2010-11-27,0,False
2010-11-28,0,False
2010-11-29,14,False
2010-11-30,14,False
2010-12-01,57,False
2010-12-02,14,False
2010-12-03,15,False
2010-12-04,0,False
2010-12-05,0,False
2010-12-06,14,False
2010-12-07,0,False
2010-12-08,29,False
2010-12-09,0,False
2010-12-10,15,False
2010-12-11,0,False
2010-12-12,18,False
2010-12-13,14,False
2010-12-14,14,False
2010-12-15,29,False
2010-12-16,45,False
2010-12-17,31,False
2010-12-18,19,False
2010-12-19,18,False
2010-12-20,15,False
2010-12-21,15,False
2010-12-22,15,False
2010-12-23,0,False
2010-12-24,0,False
2010-12-25,0,False
2010-12-26,0,False
2010-12-27,0,False
2010-12-28,0,False
2010-12-29,0,False
2010-12-30,16,False
2010-12-31,58,False
2011-01-01,21,False
2011-01-02,0,False
2011-01-03,0,False
2011-01-04,42,False
2011-01-05,14,False
2011-01-06,0,False
2011-01-07,44,False
2011-01-08,0,False
2011-01-09,0,False
2011-01-10,14,False
2011-01-11,0,False
2011-01-12,41,False
2011-01-13,0,False
2011-01-14,14,False
2011-01-15,0,False
2011-01-16,0,False
2011-01-17,0,False
2011-01-18,13,False
2011-01-19,13,False
2011-01-20,13,False
2011-01-21,28,False
2011-01-22,16,False
2011-01-23,0,False
2011-01-24,0,False
2011-01-25,13,False
2011-01-26,0,False
2011-01-27,0,False
2011-01-28,28,False
2011-01-29,0,False
2011-01-30,16,False
2011-01-31,25,False
2011-02-01,38,False
2011-02-02,0,False
2011-02-03,13,False
2011-02-04,0,False
2011-02-05,0,False
2011-02-06,16,False
2011-02-07,0,False
2011-02-08,13,False
2011-02-09,39,False
2011-02-10,0,False
2011-02-11,14,False
2011-02-12,16,False
2011-02-13,16,False
2011-02-14,66,False
2011-02-15,38,False
2011-02-16,39,False
2011-02-17,13,False
2011-02-18,0,False
2011-02-19,16,False
2011-02-20,0,False
2011-02-21,13,False
2011-02-22,26,False
2011-02-23,13,False
2011-02-24,13,False
2011-02-25,0,False
2011-02-26,0,False
2011-02-27,0,False
2011-02-28,0,False
2011-03-01,0,False
2011-03-02,39,False
2011-03-03,13,False
2011-03-04,14,False
2011-03-05,0,False
2011-03-06,0,False
2011-03-07,13,False
2011-03-08,13,False
2011-03-09,26,False
2011-03-10,0,False
2011-03-11,13,False
2011-03-12,0,False
2011-03-13,0,False
2011-03-14,0,False
2011-03-15,13,False
2011-03-16,0,False
2011-03-17,0,False
2011-03-18,27,False
2011-03-19,0,False
2011-03-20,0,False
2011-03-21,0,False
2011-03-22,0,False
2011-03-23,13,False
2011-03-24,26,False
2011-03-25,0,False
2011-03-26,48,False
2011-03-27,16,False
2011-03-28,13,False
2011-03-29,39,False
2011-03-30,13,False
2011-03-31,13,False
2011-04-01,27,False
2011-04-02,0,False
2011-04-03,32,False
2011-04-04,0,False
2011-04-05,26,False
2011-04-06,13,False
2011-04-07,0,False
2011-04-08,0,False
2011-04-09,0,False
2011-04-10,0,False
2011-04-11,0,False
2011-04-12,25,False
2011-04-13,0,False
2011-04-14,13,False
2011-04-15,14,False
2011-04-16,0,False
2011-04-17,50,False
2011-04-18,13,False
2011-04-19,13,False
2011-04-20,27,False
2011-04-21,29,False
2011-04-22,0,False
2011-04-23,0,False
2011-04-24,0,False
2011-04-25,29,False
2011-04-26,13,False
2011-04-27,25,False
2011-04-28,0,False
2011-04-29,14,False
2011-04-30,17,False
