date,CSX
2016-07-30,20
2016-07-31,23
2016-08-01,29
2016-08-02,27
2016-08-03,27
2016-08-04,28
2016-08-05,30
2016-08-06,20
2016-08-07,19
2016-08-08,28
2016-08-09,25
2016-08-10,27
2016-08-11,31
2016-08-12,32
2016-08-13,21
2016-08-14,19
2016-08-15,31
2016-08-16,24
2016-08-17,30
2016-08-18,32
2016-08-19,24
2016-08-20,17
2016-08-21,19
2016-08-22,30
2016-08-23,31
2016-08-24,30
2016-08-25,30
2016-08-26,25
2016-08-27,22
2016-08-28,19
2016-08-29,25
2016-08-30,24
2016-08-31,27
2016-09-01,31
2016-09-02,23
2016-09-03,24
2016-09-04,18
2016-09-05,19
2016-09-06,29
2016-09-07,29
2016-09-08,28
2016-09-09,26
2016-09-10,24
2016-09-11,21
2016-09-12,26
2016-09-13,28
2016-09-14,28
2016-09-15,31
2016-09-16,28
2016-09-17,21
2016-09-18,18
2016-09-19,27
2016-09-20,33
2016-09-21,26
2016-09-22,22
2016-09-23,28
2016-09-24,21
2016-09-25,19
2016-09-26,26
2016-09-27,24
2016-09-28,31
2016-09-29,28
2016-09-30,31
2016-10-01,24
2016-10-02,18
2016-10-03,25
2016-10-04,28
2016-10-05,27
2016-10-06,28
2016-10-07,30
2016-10-08,19
2016-10-09,17
2016-10-10,29
2016-10-11,32
2016-10-12,36
2016-10-13,35
2016-10-14,28
2016-10-15,21
2016-10-16,20
2016-10-17,31
2016-10-18,34
2016-10-19,28
2016-10-20,28
2016-10-21,26
2016-10-22,20
2016-10-23,23
2016-10-24,28
2016-10-25,28
2016-10-26,28
2016-10-27,32
2016-10-28,28
2016-10-29,25
2016-10-30,22
2016-10-31,29
2016-11-01,26
2016-11-02,30
2016-11-03,26
2016-11-04,25
2016-11-05,21
2016-11-06,18
2016-11-07,30
2016-11-08,27
2016-11-09,29
2016-11-10,34
2016-11-11,31
2016-11-12,21
2016-11-13,22
2016-11-14,26
2016-11-15,29
2016-11-16,40
2016-11-17,31
2016-11-18,31
2016-11-19,22
2016-11-20,21
2016-11-21,30
2016-11-22,28
2016-11-23,24
2016-11-24,19
2016-11-25,25
2016-11-26,24
2016-11-27,15
2016-11-28,29
2016-11-29,24
2016-11-30,28
2016-12-01,31
2016-12-02,24
2016-12-03,20
2016-12-04,24
2016-12-05,30
2016-12-06,27
2016-12-07,32
2016-12-08,32
2016-12-09,32
2016-12-10,21
2016-12-11,22
2016-12-12,29
2016-12-13,36
2016-12-14,34
2016-12-15,26
2016-12-16,31
2016-12-17,26
2016-12-18,17
2016-12-19,29
2016-12-20,28
2016-12-21,30
2016-12-22,30
2016-12-23,24
2016-12-24,18
2016-12-25,18
2016-12-26,22
2016-12-27,25
2016-12-28,27
2016-12-29,27
2016-12-30,25
2016-12-31,17
2017-01-01,17
2017-01-02,23
2017-01-03,27
2017-01-04,33
2017-01-05,33
2017-01-06,32
2017-01-07,20
2017-01-08,21
2017-01-09,29
2017-01-10,32
2017-01-11,30
2017-01-12,27
2017-01-13,29
2017-01-14,24
2017-01-15,19
2017-01-16,30
2017-01-17,29
2017-01-18,35
2017-01-19,100
2017-01-20,78
2017-01-21,34
2017-01-22,34
2017-01-23,44
2017-01-24,51
2017-01-25,51
2017-01-26,47
2017-01-27,46
2017-01-28,29
2017-01-29,27
2017-01-30,51
2017-01-31,46
2017-02-01,45
2017-02-02,49
2017-02-03,44
2017-02-04,31
2017-02-05,29
2017-02-06,41
2017-02-07,50
2017-02-08,45
2017-02-09,43
2017-02-10,55
2017-02-11,31
2017-02-12,30
2017-02-13,43
2017-02-14,39
2017-02-15,58
2017-02-16,47
2017-02-17,42
2017-02-18,32
2017-02-19,27
2017-02-20,36
2017-02-21,62
2017-02-22,61
2017-02-23,50
2017-02-24,42
2017-02-25,28
2017-02-26,26
2017-02-27,43
2017-02-28,43
2017-03-01,39
2017-03-02,46
2017-03-03,40
2017-03-04,30
2017-03-05,26
2017-03-06,58
2017-03-07,84
2017-03-08,70
2017-03-09,57
2017-03-10,46
2017-03-11,30
2017-03-12,26
2017-03-13,38
2017-03-14,39
2017-03-15,35
2017-03-16,38
2017-03-17,36
2017-03-18,28
2017-03-19,28
2017-03-20,36
2017-03-21,42
2017-03-22,41
2017-03-23,39
2017-03-24,36
2017-03-25,30
2017-03-26,24
2017-03-27,37
2017-03-28,38
2017-03-29,41
2017-03-30,35
2017-03-31,35
2017-04-01,30
2017-04-02,21
2017-04-03,34
2017-04-04,39
2017-04-05,34
2017-04-06,35
2017-04-07,32
2017-04-08,22
2017-04-09,22
2017-04-10,32
2017-04-11,41
2017-04-12,38
2017-04-13,38
2017-04-14,32
