date,CSX,isPartial
2014-03-16,27,False
2014-03-17,54,False
2014-03-18,40,False
2014-03-19,45,False
2014-03-20,46,False
2014-03-21,44,False
2014-03-22,38,False
2014-03-23,42,False
2014-03-24,55,False
2014-03-25,47,False
2014-03-26,55,False
2014-03-27,39,False
2014-03-28,43,False
2014-03-29,41,False
2014-03-30,42,False
2014-03-31,44,False
2014-04-01,47,False
2014-04-02,55,False
2014-04-03,51,False
2014-04-04,45,False
2014-04-05,33,False
2014-04-06,37,False
2014-04-07,48,False
2014-04-08,52,False
2014-04-09,44,False
2014-04-10,49,False
2014-04-11,52,False
2014-04-12,27,False
2014-04-13,40,False
2014-04-14,43,False
2014-04-15,64,False
2014-04-16,56,False
2014-04-17,56,False
2014-04-18,50,False
2014-04-19,44,False
2014-04-20,36,False
2014-04-21,55,False
2014-04-22,51,False
2014-04-23,52,False
2014-04-24,53,False
2014-04-25,49,False
2014-04-26,37,False
2014-04-27,35,False
2014-04-28,40,False
2014-04-29,61,False
2014-04-30,78,False
2014-05-01,100,False
2014-05-02,64,False
2014-05-03,41,False
2014-05-04,40,False
2014-05-05,44,False
2014-05-06,57,False
2014-05-07,54,False
2014-05-08,45,False
2014-05-09,44,False
2014-05-10,41,False
2014-05-11,27,False
2014-05-12,53,False
2014-05-13,63,False
2014-05-14,51,False
2014-05-15,42,False
2014-05-16,35,False
2014-05-17,42,False
2014-05-18,37,False
2014-05-19,42,False
2014-05-20,48,False
2014-05-21,54,False
2014-05-22,48,False
2014-05-23,41,False
2014-05-24,35,False
2014-05-25,35,False
2014-05-26,20,False
2014-05-27,63,False
2014-05-28,43,False
2014-05-29,59,False
2014-05-30,40,False
2014-05-31,36,False
2014-06-01,32,False
2014-06-02,50,False
2014-06-03,45,False
2014-06-04,58,False
2014-06-05,46,False
2014-06-06,44,False
2014-06-07,40,False
2014-06-08,36,False
2014-06-09,50,False
2014-06-10,58,False
2014-06-11,48,False
2014-06-12,55,False
2014-06-13,48,False
2014-06-14,34,False
2014-06-15,39,False
2014-06-16,58,False
2014-06-17,49,False
2014-06-18,53,False
2014-06-19,51,False
2014-06-20,40,False
2014-06-21,42,False
2014-06-22,39,False
2014-06-23,53,False
2014-06-24,48,False
2014-06-25,58,False
2014-06-26,53,False
2014-06-27,62,False
2014-06-28,31,False
2014-06-29,32,False
2014-06-30,54,False
2014-07-01,56,False
2014-07-02,40,False
2014-07-03,51,False
2014-07-04,36,False
2014-07-05,34,False
2014-07-06,38,False
2014-07-07,48,False
2014-07-08,54,False
2014-07-09,52,False
2014-07-10,39,False
2014-07-11,51,False
2014-07-12,35,False
2014-07-13,24,False
2014-07-14,58,False
2014-07-15,57,False
2014-07-16,52,False
2014-07-17,53,False
2014-07-18,55,False
2014-07-19,38,False
2014-07-20,27,False
2014-07-21,41,False
2014-07-22,46,False
2014-07-23,52,False
2014-07-24,49,False
2014-07-25,43,False
2014-07-26,42,False
2014-07-27,23,False
2014-07-28,57,False
2014-07-29,61,False
2014-07-30,46,False
2014-07-31,44,False
2014-08-01,52,False
2014-08-02,43,False
2014-08-03,40,False
2014-08-04,49,False
2014-08-05,68,False
2014-08-06,64,False
2014-08-07,69,False
2014-08-08,45,False
2014-08-09,48,False
2014-08-10,38,False
2014-08-11,42,False
2014-08-12,51,False
2014-08-13,60,False
2014-08-14,50,False
2014-08-15,51,False
2014-08-16,42,False
2014-08-17,51,False
2014-08-18,52,False
2014-08-19,67,False
2014-08-20,65,False
2014-08-21,54,False
2014-08-22,53,False
2014-08-23,33,False
2014-08-24,36,False
2014-08-25,61,False
2014-08-26,53,False
2014-08-27,64,False
2014-08-28,47,False
2014-08-29,54,False
2014-08-30,43,False
2014-08-31,34,False
2014-09-01,35,False
2014-09-02,56,False
2014-09-03,52,False
2014-09-04,59,False
2014-09-05,51,False
2014-09-06,31,False
2014-09-07,45,False
2014-09-08,41,False
2014-09-09,51,False
2014-09-10,46,False
2014-09-11,52,False
2014-09-12,52,False
2014-09-13,42,False
2014-09-14,46,False
2014-09-15,60,False
2014-09-16,66,False
2014-09-17,51,False
2014-09-18,56,False
