date,CSX,isPartial
2011-01-01,47,False
2011-01-02,66,False
2011-01-03,61,False
2011-01-04,60,False
2011-01-05,62,False
2011-01-06,65,False
2011-01-07,58,False
2011-01-08,51,False
2011-01-09,43,False
2011-01-10,67,False
2011-01-11,58,False
2011-01-12,61,False
2011-01-13,88,False
2011-01-14,63,False
2011-01-15,63,False
2011-01-16,49,False
2011-01-17,60,False
2011-01-18,63,False
2011-01-19,78,False
2011-01-20,66,False
2011-01-21,76,False
2011-01-22,57,False
2011-01-23,62,False
2011-01-24,72,False
2011-01-25,72,False
2011-01-26,66,False
2011-01-27,77,False
2011-01-28,67,False
2011-01-29,50,False
2011-01-30,47,False
2011-01-31,83,False
2011-02-01,69,False
2011-02-02,84,False
2011-02-03,66,False
2011-02-04,67,False
2011-02-05,44,False
2011-02-06,48,False
2011-02-07,61,False
2011-02-08,76,False
2011-02-09,82,False
2011-02-10,77,False
2011-02-11,80,False
2011-02-12,56,False
2011-02-13,52,False
2011-02-14,59,False
2011-02-15,87,False
2011-02-16,73,False
2011-02-17,74,False
2011-02-18,62,False
2011-02-19,60,False
2011-02-20,63,False
2011-02-21,57,False
2011-02-22,75,False
2011-02-23,80,False
2011-02-24,75,False
2011-02-25,84,False
2011-02-26,61,False
2011-02-27,71,False
2011-02-28,75,False
2011-03-01,67,False
2011-03-02,77,False
2011-03-03,82,False
2011-03-04,76,False
2011-03-05,60,False
2011-03-06,58,False
2011-03-07,72,False
2011-03-08,64,False
2011-03-09,60,False
2011-03-10,68,False
2011-03-11,52,False
2011-03-12,54,False
2011-03-13,48,False
2011-03-14,91,False
2011-03-15,53,False
2011-03-16,60,False
2011-03-17,68,False
2011-03-18,67,False
2011-03-19,44,False
2011-03-20,48,False
2011-03-21,72,False
2011-03-22,74,False
2011-03-23,83,False
2011-03-24,63,False
2011-03-25,60,False
2011-03-26,60,False
2011-03-27,49,False
2011-03-28,92,False
2011-03-29,75,False
2011-03-30,77,False
2011-03-31,70,False
2011-04-01,58,False
2011-04-02,44,False
2011-04-03,47,False
2011-04-04,58,False
2011-04-05,78,False
2011-04-06,69,False
2011-04-07,73,False
2011-04-08,74,False
2011-04-09,61,False
2011-04-10,44,False
2011-04-11,57,False
2011-04-12,68,False
2011-04-13,74,False
2011-04-14,67,False
2011-04-15,80,False
2011-04-16,48,False
2011-04-17,61,False
2011-04-18,69,False
2011-04-19,81,False
2011-04-20,81,False
2011-04-21,66,False
2011-04-22,66,False
2011-04-23,57,False
