date,CSX,isPartial
2011-09-18,54,False
2011-09-19,59,False
2011-09-20,68,False
2011-09-21,84,False
2011-09-22,67,False
2011-09-23,76,False
2011-09-24,52,False
2011-09-25,52,False
2011-09-26,75,False
2011-09-27,73,False
2011-09-28,66,False
2011-09-29,61,False
2011-09-30,60,False
2011-10-01,58,False
2011-10-02,34,False
2011-10-03,69,False
2011-10-04,64,False
2011-10-05,67,False
2011-10-06,67,False
2011-10-07,57,False
2011-10-08,55,False
2011-10-09,49,False
2011-10-10,72,False
2011-10-11,63,False
2011-10-12,76,False
2011-10-13,53,False
2011-10-14,50,False
2011-10-15,51,False
2011-10-16,52,False
2011-10-17,67,False
2011-10-18,79,False
2011-10-19,63,False
2011-10-20,59,False
2011-10-21,74,False
2011-10-22,37,False
2011-10-23,35,False
2011-10-24,68,False
2011-10-25,81,False
2011-10-26,68,False
2011-10-27,73,False
2011-10-28,60,False
2011-10-29,58,False
2011-10-30,37,False
2011-10-31,54,False
2011-11-01,66,False
2011-11-02,64,False
2011-11-03,78,False
2011-11-04,43,False
2011-11-05,41,False
2011-11-06,43,False
2011-11-07,85,False
2011-11-08,53,False
2011-11-09,50,False
2011-11-10,63,False
2011-11-11,64,False
2011-11-12,45,False
2011-11-13,49,False
2011-11-14,63,False
2011-11-15,66,False
2011-11-16,57,False
2011-11-17,56,False
2011-11-18,66,False
2011-11-19,38,False
2011-11-20,46,False
2011-11-21,62,False
2011-11-22,61,False
2011-11-23,50,False
2011-11-24,38,False
2011-11-25,47,False
2011-11-26,54,False
2011-11-27,51,False
2011-11-28,57,False
2011-11-29,73,False
2011-11-30,71,False
2011-12-01,62,False
2011-12-02,54,False
2011-12-03,44,False
2011-12-04,34,False
2011-12-05,62,False
2011-12-06,55,False
2011-12-07,72,False
2011-12-08,48,False
2011-12-09,50,False
2011-12-10,38,False
2011-12-11,45,False
2011-12-12,54,False
2011-12-13,52,False
2011-12-14,63,False
2011-12-15,66,False
2011-12-16,56,False
2011-12-17,54,False
2011-12-18,45,False
2011-12-19,61,False
2011-12-20,56,False
2011-12-21,56,False
2011-12-22,57,False
2011-12-23,59,False
2011-12-24,41,False
2011-12-25,40,False
2011-12-26,40,False
2011-12-27,70,False
2011-12-28,72,False
2011-12-29,68,False
2011-12-30,45,False
2011-12-31,60,False
2012-01-01,42,False
2012-01-02,51,False
2012-01-03,53,False
2012-01-04,56,False
2012-01-05,83,False
2012-01-06,61,False
2012-01-07,89,False
2012-01-08,53,False
2012-01-09,54,False
2012-01-10,61,False
2012-01-11,80,False
2012-01-12,59,False
2012-01-13,63,False
2012-01-14,59,False
2012-01-15,55,False
2012-01-16,65,False
2012-01-17,67,False
2012-01-18,68,False
2012-01-19,67,False
2012-01-20,67,False
2012-01-21,49,False
2012-01-22,55,False
2012-01-23,100,False
2012-01-24,90,False
2012-01-25,63,False
2012-01-26,75,False
2012-01-27,62,False
2012-01-28,46,False
2012-01-29,47,False
2012-01-30,63,False
2012-01-31,53,False
2012-02-01,83,False
2012-02-02,69,False
2012-02-03,61,False
2012-02-04,59,False
2012-02-05,56,False
2012-02-06,65,False
2012-02-07,75,False
2012-02-08,68,False
2012-02-09,67,False
2012-02-10,69,False
2012-02-11,54,False
2012-02-12,25,False
2012-02-13,47,False
2012-02-14,67,False
2012-02-15,80,False
2012-02-16,52,False
2012-02-17,56,False
2012-02-18,51,False
2012-02-19,70,False
2012-02-20,68,False
2012-02-21,71,False
2012-02-22,80,False
2012-02-23,75,False
2012-02-24,77,False
2012-02-25,43,False
2012-02-26,48,False
2012-02-27,60,False
2012-02-28,56,False
2012-02-29,74,False
2012-03-01,65,False
2012-03-02,52,False
2012-03-03,47,False
2012-03-04,40,False
2012-03-05,49,False
2012-03-06,76,False
2012-03-07,59,False
2012-03-08,63,False
2012-03-09,59,False
2012-03-10,35,False
2012-03-11,44,False
2012-03-12,66,False
2012-03-13,78,False
2012-03-14,73,False
2012-03-15,74,False
2012-03-16,62,False
2012-03-17,57,False
2012-03-18,36,False
2012-03-19,70,False
2012-03-20,88,False
2012-03-21,49,False
2012-03-22,67,False
2012-03-23,64,False
2012-03-24,41,False
2012-03-25,50,False
2012-03-26,57,False
2012-03-27,66,False
2012-03-28,54,False
2012-03-29,64,False
2012-03-30,75,False
2012-03-31,57,False
2012-04-01,41,False
2012-04-02,51,False
2012-04-03,61,False
2012-04-04,65,False
2012-04-05,71,False
2012-04-06,52,False
2012-04-07,61,False
2012-04-08,53,False
2012-04-09,67,False
2012-04-10,47,False
2012-04-11,66,False
2012-04-12,64,False
2012-04-13,62,False
2012-04-14,52,False
2012-04-15,38,False
2012-04-16,72,False
