date,BMRN
2010-08-24,0
2010-08-25,0
2010-08-26,0
2010-08-27,0
2010-08-28,0
2010-08-29,0
2010-08-30,0
2010-08-31,0
2010-09-01,0
2010-09-02,0
2010-09-03,53
2010-09-04,0
2010-09-05,0
2010-09-06,0
2010-09-07,49
2010-09-08,0
2010-09-09,0
2010-09-10,53
2010-09-11,0
2010-09-12,0
2010-09-13,0
2010-09-14,0
2010-09-15,0
2010-09-16,0
2010-09-17,52
2010-09-18,0
2010-09-19,0
2010-09-20,0
2010-09-21,48
2010-09-22,0
2010-09-23,0
2010-09-24,51
2010-09-25,0
2010-09-26,0
2010-09-27,0
2010-09-28,46
2010-09-29,48
2010-09-30,48
2010-10-01,0
2010-10-02,0
2010-10-03,0
2010-10-04,0
2010-10-05,0
2010-10-06,48
2010-10-07,0
2010-10-08,0
2010-10-09,0
2010-10-10,0
2010-10-11,48
2010-10-12,73
2010-10-13,96
2010-10-14,0
2010-10-15,100
2010-10-16,60
2010-10-17,0
2010-10-18,0
2010-10-19,46
2010-10-20,78
2010-10-21,47
2010-10-22,50
2010-10-23,59
2010-10-24,0
2010-10-25,45
2010-10-26,91
2010-10-27,46
2010-10-28,47
2010-10-29,50
2010-10-30,0
2010-10-31,0
2010-11-01,0
2010-11-02,46
2010-11-03,45
2010-11-04,0
2010-11-05,50
2010-11-06,0
2010-11-07,0
2010-11-08,0
2010-11-09,45
2010-11-10,0
2010-11-11,0
2010-11-12,0
2010-11-13,0
2010-11-14,0
2010-11-15,0
2010-11-16,0
2010-11-17,46
2010-11-18,46
2010-11-19,97
2010-11-20,0
2010-11-21,0
2010-11-22,0
2010-11-23,0
2010-11-24,0
2010-11-25,0
2010-11-26,0
2010-11-27,0
2010-11-28,56
2010-11-29,0
2010-11-30,0
2010-12-01,0
2010-12-02,0
2010-12-03,0
2010-12-04,0
2010-12-05,0
2010-12-06,45
2010-12-07,0
2010-12-08,0
2010-12-09,46
2010-12-10,0
2010-12-11,57
2010-12-12,0
2010-12-13,45
2010-12-14,46
2010-12-15,0
2010-12-16,47
2010-12-17,0
2010-12-18,0
2010-12-19,58
2010-12-20,70
2010-12-21,48
2010-12-22,0
2010-12-23,0
2010-12-24,0
2010-12-25,0
2010-12-26,0
2010-12-27,0
2010-12-28,50
2010-12-29,0
2010-12-30,52
2010-12-31,61
2011-01-01,0
2011-01-02,0
2011-01-03,47
2011-01-04,45
2011-01-05,0
2011-01-06,0
2011-01-07,46
2011-01-08,0
2011-01-09,0
2011-01-10,43
2011-01-11,43
2011-01-12,0
2011-01-13,0
2011-01-14,0
2011-01-15,54
2011-01-16,0
2011-01-17,0
2011-01-18,42
2011-01-19,43
2011-01-20,43
2011-01-21,0
2011-01-22,53
2011-01-23,0
2011-01-24,0
2011-01-25,0
2011-01-26,43
2011-01-27,0
2011-01-28,45
2011-01-29,52
2011-01-30,0
2011-01-31,0
2011-02-01,40
2011-02-02,0
2011-02-03,41
2011-02-04,0
2011-02-05,0
2011-02-06,0
2011-02-07,81
2011-02-08,0
2011-02-09,0
2011-02-10,43
2011-02-11,0
2011-02-12,53
2011-02-13,0
2011-02-14,0
2011-02-15,0
2011-02-16,0
2011-02-17,43
2011-02-18,44
2011-02-19,0
2011-02-20,0
2011-02-21,0
2011-02-22,0
2011-02-23,83
2011-02-24,42
2011-02-25,44
2011-02-26,0
2011-02-27,0
2011-02-28,0
2011-03-01,41
2011-03-02,0
2011-03-03,85
2011-03-04,0
2011-03-05,0
2011-03-06,0
2011-03-07,0
2011-03-08,0
2011-03-09,42
2011-03-10,41
2011-03-11,0
2011-03-12,0
2011-03-13,0
2011-03-14,43
2011-03-15,0
2011-03-16,41
2011-03-17,0
2011-03-18,0
2011-03-19,0
2011-03-20,0
2011-03-21,0
2011-03-22,41
2011-03-23,0
2011-03-24,42
2011-03-25,0
2011-03-26,0
2011-03-27,0
2011-03-28,41
2011-03-29,41
2011-03-30,0
2011-03-31,41
2011-04-01,44
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,41
2011-04-06,82
2011-04-07,0
2011-04-08,44
2011-04-09,53
2011-04-10,0
2011-04-11,41
2011-04-12,0
2011-04-13,0
2011-04-14,42
2011-04-15,0
2011-04-16,0
2011-04-17,0
2011-04-18,42
2011-04-19,42
2011-04-20,0
2011-04-21,0
2011-04-22,0
2011-04-23,0
2011-04-24,0
2011-04-25,0
2011-04-26,41
2011-04-27,0
2011-04-28,42
2011-04-29,88
2011-04-30,53
2011-05-01,0
2011-05-02,41
2011-05-03,0
2011-05-04,0
2011-05-05,0
2011-05-06,0
2011-05-07,0
2011-05-08,0
2011-05-09,41
2011-05-10,0
2011-05-11,41
