date,BMRN,isPartial
2015-12-26,9,False
2015-12-27,9,False
2015-12-28,16,False
2015-12-29,8,False
2015-12-30,16,False
2015-12-31,0,False
2016-01-01,0,False
2016-01-02,0,False
2016-01-03,0,False
2016-01-04,0,False
2016-01-05,31,False
2016-01-06,16,False
2016-01-07,0,False
2016-01-08,8,False
2016-01-09,0,False
2016-01-10,0,False
2016-01-11,45,False
2016-01-12,0,False
2016-01-13,31,False
2016-01-14,75,False
2016-01-15,31,False
2016-01-16,0,False
2016-01-17,0,False
2016-01-18,0,False
2016-01-19,8,False
2016-01-20,8,False
2016-01-21,8,False
2016-01-22,0,False
2016-01-23,0,False
2016-01-24,9,False
2016-01-25,8,False
2016-01-26,15,False
2016-01-27,23,False
2016-01-28,30,False
2016-01-29,16,False
2016-01-30,9,False
2016-01-31,0,False
2016-02-01,8,False
2016-02-02,30,False
2016-02-03,23,False
2016-02-04,0,False
2016-02-05,0,False
2016-02-06,0,False
2016-02-07,0,False
2016-02-08,38,False
2016-02-09,23,False
2016-02-10,15,False
2016-02-11,15,False
2016-02-12,0,False
2016-02-13,0,False
2016-02-14,0,False
2016-02-15,7,False
2016-02-16,22,False
2016-02-17,15,False
2016-02-18,15,False
2016-02-19,0,False
2016-02-20,0,False
2016-02-21,0,False
2016-02-22,22,False
2016-02-23,15,False
2016-02-24,7,False
2016-02-25,15,False
2016-02-26,23,False
2016-02-27,0,False
2016-02-28,0,False
2016-02-29,14,False
2016-03-01,7,False
2016-03-02,22,False
2016-03-03,37,False
2016-03-04,8,False
2016-03-05,0,False
2016-03-06,0,False
2016-03-07,22,False
2016-03-08,7,False
2016-03-09,15,False
2016-03-10,30,False
2016-03-11,8,False
2016-03-12,0,False
2016-03-13,0,False
2016-03-14,7,False
2016-03-15,15,False
2016-03-16,7,False
2016-03-17,23,False
2016-03-18,24,False
2016-03-19,0,False
2016-03-20,17,False
2016-03-21,54,False
2016-03-22,15,False
2016-03-23,23,False
2016-03-24,24,False
2016-03-25,8,False
2016-03-26,0,False
2016-03-27,0,False
2016-03-28,16,False
2016-03-29,0,False
2016-03-30,7,False
2016-03-31,23,False
2016-04-01,32,False
2016-04-02,0,False
2016-04-03,9,False
2016-04-04,22,False
2016-04-05,30,False
2016-04-06,15,False
2016-04-07,8,False
2016-04-08,8,False
2016-04-09,17,False
2016-04-10,0,False
2016-04-11,8,False
2016-04-12,0,False
2016-04-13,15,False
2016-04-14,8,False
2016-04-15,8,False
2016-04-16,0,False
2016-04-17,9,False
2016-04-18,15,False
2016-04-19,38,False
2016-04-20,38,False
2016-04-21,23,False
2016-04-22,39,False
2016-04-23,9,False
2016-04-24,8,False
2016-04-25,29,False
2016-04-26,22,False
2016-04-27,15,False
2016-04-28,38,False
2016-04-29,39,False
2016-04-30,0,False
2016-05-01,0,False
2016-05-02,38,False
2016-05-03,23,False
2016-05-04,23,False
2016-05-05,23,False
2016-05-06,32,False
2016-05-07,9,False
2016-05-08,0,False
2016-05-09,30,False
2016-05-10,22,False
2016-05-11,7,False
2016-05-12,23,False
2016-05-13,23,False
2016-05-14,9,False
2016-05-15,0,False
2016-05-16,22,False
2016-05-17,7,False
2016-05-18,15,False
2016-05-19,0,False
2016-05-20,32,False
2016-05-21,9,False
2016-05-22,0,False
2016-05-23,0,False
2016-05-24,7,False
2016-05-25,38,False
2016-05-26,0,False
2016-05-27,24,False
2016-05-28,0,False
2016-05-29,0,False
2016-05-30,0,False
2016-05-31,8,False
2016-06-01,30,False
2016-06-02,47,False
2016-06-03,8,False
2016-06-04,9,False
2016-06-05,9,False
2016-06-06,30,False
2016-06-07,23,False
2016-06-08,15,False
2016-06-09,8,False
2016-06-10,0,False
2016-06-11,0,False
2016-06-12,0,False
2016-06-13,8,False
2016-06-14,7,False
2016-06-15,8,False
2016-06-16,15,False
2016-06-17,32,False
2016-06-18,18,False
2016-06-19,9,False
2016-06-20,31,False
2016-06-21,0,False
2016-06-22,0,False
2016-06-23,39,False
2016-06-24,8,False
2016-06-25,9,False
2016-06-26,0,False
2016-06-27,8,False
2016-06-28,31,False
2016-06-29,31,False
2016-06-30,0,False
2016-07-01,8,False
2016-07-02,9,False
2016-07-03,9,False
2016-07-04,0,False
2016-07-05,8,False
2016-07-06,16,False
2016-07-07,100,False
2016-07-08,59,False
2016-07-09,9,False
2016-07-10,9,False
2016-07-11,24,False
2016-07-12,16,False
2016-07-13,24,False
2016-07-14,54,False
2016-07-15,50,False
2016-07-16,9,False
2016-07-17,9,False
2016-07-18,16,False
2016-07-19,16,False
2016-07-20,49,False
2016-07-21,8,False
2016-07-22,0,False
2016-07-23,0,False
2016-07-24,0,False
2016-07-25,8,False
2016-07-26,32,False
2016-07-27,57,False
2016-07-28,40,False
2016-07-29,51,False
2016-07-30,9,False
2016-07-31,9,False
2016-08-01,56,False
2016-08-02,24,False
2016-08-03,48,False
2016-08-04,49,False
2016-08-05,52,False
2016-08-06,0,False
2016-08-07,0,False
2016-08-08,33,False
2016-08-09,33,False
2016-08-10,33,False
2016-08-11,9,False
2016-08-12,0,False
2016-08-13,20,False
2016-08-14,0,False
2016-08-15,0,False
2016-08-16,26,False
2016-08-17,0,False
2016-08-18,26,False
2016-08-19,27,False
2016-08-20,0,False
2016-08-21,0,False
2016-08-22,42,False
2016-08-23,42,False
2016-08-24,33,False
2016-08-25,24,False
2016-08-26,8,False
2016-08-27,0,False
2016-08-28,0,False
2016-08-29,8,False
2016-08-30,24,False
2016-08-31,31,False
2016-09-01,32,False
2016-09-02,8,False
2016-09-03,0,False
2016-09-04,0,False
2016-09-05,8,False
2016-09-06,46,False
2016-09-07,24,False
2016-09-08,16,False
2016-09-09,0,False
2016-09-10,0,False
2016-09-11,9,False
