date,BMRN,isPartial
2015-08-18,6,False
2015-08-19,17,False
2015-08-20,17,False
2015-08-21,12,False
2015-08-22,20,False
2015-08-23,0,False
2015-08-24,5,False
2015-08-25,27,False
2015-08-26,6,False
2015-08-27,11,False
2015-08-28,12,False
2015-08-29,7,False
2015-08-30,7,False
2015-08-31,5,False
2015-09-01,27,False
2015-09-02,28,False
2015-09-03,11,False
2015-09-04,6,False
2015-09-05,0,False
2015-09-06,0,False
2015-09-07,0,False
2015-09-08,11,False
2015-09-09,0,False
2015-09-10,5,False
2015-09-11,11,False
2015-09-12,0,False
2015-09-13,6,False
2015-09-14,11,False
2015-09-15,11,False
2015-09-16,5,False
2015-09-17,5,False
2015-09-18,11,False
2015-09-19,6,False
2015-09-20,6,False
2015-09-21,21,False
2015-09-22,11,False
2015-09-23,5,False
2015-09-24,6,False
2015-09-25,35,False
2015-09-26,0,False
2015-09-27,0,False
2015-09-28,21,False
2015-09-29,5,False
2015-09-30,21,False
2015-10-01,5,False
2015-10-02,17,False
2015-10-03,0,False
2015-10-04,6,False
2015-10-05,5,False
2015-10-06,11,False
2015-10-07,27,False
2015-10-08,32,False
2015-10-09,6,False
2015-10-10,0,False
2015-10-11,0,False
2015-10-12,17,False
2015-10-13,5,False
2015-10-14,11,False
2015-10-15,16,False
2015-10-16,11,False
2015-10-17,13,False
2015-10-18,0,False
2015-10-19,11,False
2015-10-20,0,False
2015-10-21,11,False
2015-10-22,11,False
2015-10-23,17,False
2015-10-24,12,False
2015-10-25,0,False
2015-10-26,10,False
2015-10-27,5,False
2015-10-28,16,False
2015-10-29,21,False
2015-10-30,34,False
2015-10-31,6,False
2015-11-01,6,False
2015-11-02,16,False
2015-11-03,26,False
2015-11-04,5,False
2015-11-05,11,False
2015-11-06,5,False
2015-11-07,6,False
2015-11-08,6,False
2015-11-09,5,False
2015-11-10,0,False
2015-11-11,16,False
2015-11-12,11,False
2015-11-13,11,False
2015-11-14,6,False
2015-11-15,6,False
2015-11-16,21,False
2015-11-17,16,False
2015-11-18,16,False
2015-11-19,11,False
2015-11-20,66,False
2015-11-21,18,False
2015-11-22,0,False
2015-11-23,10,False
2015-11-24,100,False
2015-11-25,89,False
2015-11-26,5,False
2015-11-27,17,False
2015-11-28,6,False
2015-11-29,12,False
2015-11-30,25,False
2015-12-01,10,False
2015-12-02,16,False
2015-12-03,5,False
2015-12-04,0,False
2015-12-05,6,False
2015-12-06,0,False
2015-12-07,11,False
2015-12-08,11,False
2015-12-09,5,False
2015-12-10,21,False
2015-12-11,5,False
2015-12-12,0,False
2015-12-13,0,False
2015-12-14,0,False
2015-12-15,5,False
2015-12-16,5,False
2015-12-17,6,False
2015-12-18,12,False
2015-12-19,7,False
2015-12-20,0,False
2015-12-21,6,False
2015-12-22,0,False
2015-12-23,18,False
2015-12-24,27,False
2015-12-25,0,False
2015-12-26,0,False
2015-12-27,0,False
2015-12-28,17,False
2015-12-29,11,False
2015-12-30,6,False
2015-12-31,0,False
2016-01-01,0,False
2016-01-02,0,False
2016-01-03,6,False
2016-01-04,12,False
2016-01-05,11,False
2016-01-06,11,False
2016-01-07,11,False
2016-01-08,12,False
2016-01-09,0,False
2016-01-10,0,False
2016-01-11,39,False
2016-01-12,6,False
2016-01-13,22,False
2016-01-14,44,False
2016-01-15,17,False
2016-01-16,0,False
2016-01-17,0,False
2016-01-18,0,False
2016-01-19,6,False
2016-01-20,11,False
2016-01-21,28,False
2016-01-22,12,False
2016-01-23,0,False
2016-01-24,13,False
2016-01-25,0,False
2016-01-26,6,False
2016-01-27,6,False
2016-01-28,6,False
2016-01-29,6,False
2016-01-30,6,False
2016-01-31,0,False
2016-02-01,16,False
2016-02-02,22,False
2016-02-03,11,False
2016-02-04,0,False
2016-02-05,0,False
2016-02-06,7,False
2016-02-07,0,False
2016-02-08,17,False
2016-02-09,17,False
2016-02-10,6,False
2016-02-11,11,False
2016-02-12,0,False
2016-02-13,0,False
2016-02-14,0,False
2016-02-15,5,False
2016-02-16,22,False
2016-02-17,0,False
2016-02-18,11,False
2016-02-19,6,False
2016-02-20,0,False
2016-02-21,0,False
2016-02-22,16,False
2016-02-23,5,False
2016-02-24,16,False
2016-02-25,22,False
2016-02-26,23,False
2016-02-27,6,False
2016-02-28,6,False
2016-02-29,11,False
2016-03-01,5,False
2016-03-02,11,False
2016-03-03,16,False
2016-03-04,0,False
2016-03-05,6,False
2016-03-06,0,False
2016-03-07,16,False
2016-03-08,11,False
2016-03-09,11,False
2016-03-10,22,False
2016-03-11,23,False
2016-03-12,0,False
2016-03-13,0,False
2016-03-14,11,False
2016-03-15,11,False
2016-03-16,17,False
2016-03-17,22,False
2016-03-18,17,False
2016-03-19,0,False
2016-03-20,6,False
2016-03-21,50,False
2016-03-22,6,False
2016-03-23,11,False
2016-03-24,24,False
2016-03-25,6,False
2016-03-26,0,False
2016-03-27,0,False
2016-03-28,0,False
2016-03-29,16,False
2016-03-30,22,False
2016-03-31,11,False
2016-04-01,6,False
2016-04-02,0,False
2016-04-03,6,False
2016-04-04,17,False
2016-04-05,22,False
2016-04-06,22,False
2016-04-07,28,False
2016-04-08,6,False
2016-04-09,6,False
2016-04-10,0,False
2016-04-11,11,False
2016-04-12,11,False
2016-04-13,33,False
2016-04-14,11,False
2016-04-15,0,False
2016-04-16,0,False
2016-04-17,0,False
2016-04-18,27,False
2016-04-19,38,False
2016-04-20,44,False
2016-04-21,23,False
2016-04-22,35,False
2016-04-23,0,False
2016-04-24,6,False
2016-04-25,16,False
2016-04-26,11,False
2016-04-27,6,False
2016-04-28,45,False
2016-04-29,12,False
2016-04-30,7,False
2016-05-01,6,False
2016-05-02,17,False
2016-05-03,11,False
2016-05-04,6,False
