date,MXIM
2016-08-02,37
2016-08-03,19
2016-08-04,34
2016-08-05,20
2016-08-06,20
2016-08-07,20
2016-08-08,19
2016-08-09,17
2016-08-10,21
2016-08-11,13
2016-08-12,20
2016-08-13,15
2016-08-14,0
2016-08-15,26
2016-08-16,21
2016-08-17,31
2016-08-18,17
2016-08-19,32
2016-08-20,29
2016-08-21,14
2016-08-22,25
2016-08-23,38
2016-08-24,25
2016-08-25,33
2016-08-26,13
2016-08-27,22
2016-08-28,21
2016-08-29,24
2016-08-30,28
2016-08-31,30
2016-09-01,31
2016-09-02,13
2016-09-03,14
2016-09-04,0
2016-09-05,0
2016-09-06,24
2016-09-07,12
2016-09-08,36
2016-09-09,12
2016-09-10,0
2016-09-11,14
2016-09-12,41
2016-09-13,12
2016-09-14,24
2016-09-15,18
2016-09-16,19
2016-09-17,28
2016-09-18,14
2016-09-19,12
2016-09-20,12
2016-09-21,24
2016-09-22,12
2016-09-23,13
2016-09-24,14
2016-09-25,14
2016-09-26,12
2016-09-27,30
2016-09-28,12
2016-09-29,18
2016-09-30,37
2016-10-01,14
2016-10-02,13
2016-10-03,31
2016-10-04,12
2016-10-05,29
2016-10-06,12
2016-10-07,28
2016-10-08,28
2016-10-09,14
2016-10-10,24
2016-10-11,24
2016-10-12,41
2016-10-13,23
2016-10-14,28
2016-10-15,14
2016-10-16,0
2016-10-17,23
2016-10-18,23
2016-10-19,35
2016-10-20,27
2016-10-21,18
2016-10-22,0
2016-10-23,0
2016-10-24,46
2016-10-25,23
2016-10-26,23
2016-10-27,12
2016-10-28,12
2016-10-29,0
2016-10-30,13
2016-10-31,18
2016-11-01,12
2016-11-02,23
2016-11-03,27
2016-11-04,12
2016-11-05,13
2016-11-06,13
2016-11-07,28
2016-11-08,11
2016-11-09,21
2016-11-10,23
2016-11-11,28
2016-11-12,0
2016-11-13,13
2016-11-14,34
2016-11-15,19
2016-11-16,29
2016-11-17,43
2016-11-18,28
2016-11-19,13
2016-11-20,13
2016-11-21,19
2016-11-22,15
2016-11-23,12
2016-11-24,20
2016-11-25,24
2016-11-26,13
2016-11-27,13
2016-11-28,33
2016-11-29,34
2016-11-30,11
2016-12-01,31
2016-12-02,20
2016-12-03,26
2016-12-04,13
2016-12-05,22
2016-12-06,26
2016-12-07,17
2016-12-08,23
2016-12-09,20
2016-12-10,15
2016-12-11,20
2016-12-12,23
2016-12-13,17
2016-12-14,27
2016-12-15,23
2016-12-16,12
2016-12-17,27
2016-12-18,27
2016-12-19,12
2016-12-20,12
2016-12-21,12
2016-12-22,12
2016-12-23,17
2016-12-24,15
2016-12-25,15
2016-12-26,13
2016-12-27,12
2016-12-28,12
2016-12-29,0
2016-12-30,32
2016-12-31,14
2017-01-01,15
2017-01-02,12
2017-01-03,15
2017-01-04,17
2017-01-05,12
2017-01-06,16
2017-01-07,25
2017-01-08,13
2017-01-09,26
2017-01-10,28
2017-01-11,19
2017-01-12,15
2017-01-13,19
2017-01-14,26
2017-01-15,17
2017-01-16,15
2017-01-17,17
2017-01-18,26
2017-01-19,11
2017-01-20,11
2017-01-21,17
2017-01-22,13
2017-01-23,26
2017-01-24,11
2017-01-25,37
2017-01-26,38
2017-01-27,100
2017-01-28,30
2017-01-29,13
2017-01-30,26
2017-01-31,30
2017-02-01,69
2017-02-02,51
2017-02-03,53
2017-02-04,19
2017-02-05,19
2017-02-06,18
2017-02-07,18
2017-02-08,36
2017-02-09,39
2017-02-10,23
2017-02-11,13
2017-02-12,12
2017-02-13,18
2017-02-14,30
2017-02-15,17
2017-02-16,19
2017-02-17,23
2017-02-18,13
2017-02-19,21
2017-02-20,15
2017-02-21,27
2017-02-22,25
2017-02-23,18
2017-02-24,17
2017-02-25,13
2017-02-26,0
2017-02-27,19
2017-02-28,28
2017-03-01,33
2017-03-02,34
2017-03-03,19
2017-03-04,0
2017-03-05,25
2017-03-06,14
2017-03-07,21
2017-03-08,22
2017-03-09,16
2017-03-10,26
2017-03-11,13
2017-03-12,19
2017-03-13,27
2017-03-14,32
2017-03-15,33
2017-03-16,26
2017-03-17,35
2017-03-18,25
2017-03-19,19
2017-03-20,22
2017-03-21,29
2017-03-22,22
2017-03-23,22
2017-03-24,12
2017-03-25,13
2017-03-26,38
2017-03-27,16
2017-03-28,11
2017-03-29,22
2017-03-30,19
2017-03-31,23
2017-04-01,39
2017-04-02,13
2017-04-03,26
2017-04-04,22
2017-04-05,29
2017-04-06,45
2017-04-07,39
2017-04-08,13
2017-04-09,13
2017-04-10,17
2017-04-11,23
2017-04-12,19
2017-04-13,35
2017-04-14,26
2017-04-15,13
2017-04-16,40
2017-04-17,24
2017-04-18,33
