date,MXIM
2015-04-10,20
2015-04-11,17
2015-04-12,17
2015-04-13,28
2015-04-14,35
2015-04-15,35
2015-04-16,19
2015-04-17,22
2015-04-18,17
2015-04-19,16
2015-04-20,42
2015-04-21,24
2015-04-22,28
2015-04-23,52
2015-04-24,54
2015-04-25,25
2015-04-26,17
2015-04-27,42
2015-04-28,37
2015-04-29,21
2015-04-30,29
2015-05-01,32
2015-05-02,25
2015-05-03,33
2015-05-04,21
2015-05-05,28
2015-05-06,28
2015-05-07,29
2015-05-08,30
2015-05-09,17
2015-05-10,17
2015-05-11,19
2015-05-12,37
2015-05-13,33
2015-05-14,43
2015-05-15,75
2015-05-16,17
2015-05-17,33
2015-05-18,61
2015-05-19,51
2015-05-20,18
2015-05-21,43
2015-05-22,30
2015-05-23,34
2015-05-24,22
2015-05-25,51
2015-05-26,46
2015-05-27,56
2015-05-28,42
2015-05-29,44
2015-05-30,39
2015-05-31,22
2015-06-01,14
2015-06-02,28
2015-06-03,52
2015-06-04,29
2015-06-05,30
2015-06-06,17
2015-06-07,17
2015-06-08,34
2015-06-09,37
2015-06-10,14
2015-06-11,28
2015-06-12,35
2015-06-13,17
2015-06-14,17
2015-06-15,21
2015-06-16,14
2015-06-17,21
2015-06-18,14
2015-06-19,45
2015-06-20,0
2015-06-21,17
2015-06-22,21
2015-06-23,21
2015-06-24,47
2015-06-25,14
2015-06-26,20
2015-06-27,17
2015-06-28,23
2015-06-29,42
2015-06-30,14
2015-07-01,38
2015-07-02,36
2015-07-03,15
2015-07-04,35
2015-07-05,17
2015-07-06,14
2015-07-07,28
2015-07-08,28
2015-07-09,14
2015-07-10,30
2015-07-11,17
2015-07-12,28
2015-07-13,35
2015-07-14,28
2015-07-15,38
2015-07-16,36
2015-07-17,40
2015-07-18,18
2015-07-19,18
2015-07-20,52
2015-07-21,28
2015-07-22,47
2015-07-23,48
2015-07-24,65
2015-07-25,67
2015-07-26,17
2015-07-27,14
2015-07-28,14
2015-07-29,33
2015-07-30,14
2015-07-31,55
2015-08-01,26
2015-08-02,17
2015-08-03,28
2015-08-04,14
2015-08-05,24
2015-08-06,43
2015-08-07,15
2015-08-08,17
2015-08-09,17
2015-08-10,42
2015-08-11,35
2015-08-12,21
2015-08-13,0
2015-08-14,44
2015-08-15,17
2015-08-16,33
2015-08-17,14
2015-08-18,32
2015-08-19,28
2015-08-20,19
2015-08-21,24
2015-08-22,17
2015-08-23,24
2015-08-24,32
2015-08-25,47
2015-08-26,32
2015-08-27,14
2015-08-28,36
2015-08-29,28
2015-08-30,0
2015-08-31,14
2015-09-01,13
2015-09-02,27
2015-09-03,28
2015-09-04,14
2015-09-05,0
2015-09-06,25
2015-09-07,14
2015-09-08,27
2015-09-09,18
2015-09-10,41
2015-09-11,56
2015-09-12,16
2015-09-13,0
2015-09-14,20
2015-09-15,27
2015-09-16,27
2015-09-17,34
2015-09-18,42
2015-09-19,16
2015-09-20,16
2015-09-21,27
2015-09-22,35
2015-09-23,22
2015-09-24,27
2015-09-25,29
2015-09-26,24
2015-09-27,31
2015-09-28,20
2015-09-29,39
2015-09-30,0
2015-10-01,13
2015-10-02,14
2015-10-03,0
2015-10-04,31
2015-10-05,13
2015-10-06,20
2015-10-07,40
2015-10-08,18
2015-10-09,28
2015-10-10,16
2015-10-11,0
2015-10-12,54
2015-10-13,22
2015-10-14,66
2015-10-15,57
2015-10-16,50
2015-10-17,31
2015-10-18,23
2015-10-19,52
2015-10-20,43
2015-10-21,39
2015-10-22,93
2015-10-23,42
2015-10-24,16
2015-10-25,15
2015-10-26,30
2015-10-27,30
2015-10-28,100
2015-10-29,88
2015-10-30,65
2015-10-31,26
2015-11-01,16
2015-11-02,44
2015-11-03,57
2015-11-04,57
2015-11-05,35
2015-11-06,46
2015-11-07,15
2015-11-08,15
2015-11-09,39
2015-11-10,35
2015-11-11,27
2015-11-12,40
2015-11-13,14
2015-11-14,15
2015-11-15,15
2015-11-16,39
2015-11-17,30
2015-11-18,48
2015-11-19,40
2015-11-20,34
2015-11-21,40
2015-11-22,23
2015-11-23,52
2015-11-24,26
2015-11-25,26
2015-11-26,27
2015-11-27,23
2015-11-28,30
2015-11-29,15
2015-11-30,19
2015-12-01,13
2015-12-02,32
2015-12-03,44
2015-12-04,45
2015-12-05,31
2015-12-06,23
2015-12-07,26
2015-12-08,26
2015-12-09,17
2015-12-10,18
2015-12-11,32
2015-12-12,31
2015-12-13,15
2015-12-14,13
2015-12-15,27
2015-12-16,27
2015-12-17,28
2015-12-18,19
2015-12-19,16
2015-12-20,32
2015-12-21,35
2015-12-22,19
2015-12-23,0
2015-12-24,33
2015-12-25,18
2015-12-26,17
