date,MXIM
2011-05-11,34
2011-05-12,47
2011-05-13,48
2011-05-14,57
2011-05-15,0
2011-05-16,59
2011-05-17,30
2011-05-18,34
2011-05-19,35
2011-05-20,36
2011-05-21,29
2011-05-22,72
2011-05-23,23
2011-05-24,38
2011-05-25,34
2011-05-26,46
2011-05-27,32
2011-05-28,59
2011-05-29,0
2011-05-30,24
2011-05-31,45
2011-06-01,58
2011-06-02,32
2011-06-03,49
2011-06-04,30
2011-06-05,29
2011-06-06,38
2011-06-07,52
2011-06-08,45
2011-06-09,34
2011-06-10,24
2011-06-11,29
2011-06-12,0
2011-06-13,31
2011-06-14,100
2011-06-15,34
2011-06-16,45
2011-06-17,56
2011-06-18,29
2011-06-19,29
2011-06-20,44
2011-06-21,22
2011-06-22,23
2011-06-23,24
2011-06-24,0
2011-06-25,29
2011-06-26,30
2011-06-27,0
2011-06-28,22
2011-06-29,31
2011-06-30,46
2011-07-01,41
2011-07-02,30
2011-07-03,30
2011-07-04,48
2011-07-05,23
2011-07-06,35
2011-07-07,47
2011-07-08,73
2011-07-09,0
2011-07-10,30
2011-07-11,57
2011-07-12,46
2011-07-13,34
2011-07-14,23
2011-07-15,50
2011-07-16,30
2011-07-17,29
2011-07-18,30
2011-07-19,30
2011-07-20,35
2011-07-21,23
2011-07-22,24
2011-07-23,29
2011-07-24,29
2011-07-25,23
2011-07-26,46
2011-07-27,31
2011-07-28,47
2011-07-29,24
2011-07-30,30
2011-07-31,30
2011-08-01,93
2011-08-02,39
2011-08-03,35
2011-08-04,45
2011-08-05,0
2011-08-06,29
2011-08-07,28
2011-08-08,77
2011-08-09,45
2011-08-10,60
2011-08-11,57
2011-08-12,36
2011-08-13,0
2011-08-14,29
2011-08-15,24
2011-08-16,45
2011-08-17,31
2011-08-18,30
2011-08-19,35
2011-08-20,43
2011-08-21,0
2011-08-22,22
2011-08-23,22
2011-08-24,37
2011-08-25,44
2011-08-26,46
2011-08-27,27
2011-08-28,27
2011-08-29,22
2011-08-30,43
2011-08-31,33
2011-09-01,44
2011-09-02,34
2011-09-03,40
2011-09-04,26
2011-09-05,43
2011-09-06,53
2011-09-07,43
2011-09-08,43
2011-09-09,66
2011-09-10,0
2011-09-11,34
2011-09-12,52
2011-09-13,28
2011-09-14,42
2011-09-15,21
2011-09-16,60
2011-09-17,26
2011-09-18,50
2011-09-19,42
2011-09-20,21
2011-09-21,21
2011-09-22,43
2011-09-23,44
2011-09-24,51
2011-09-25,0
2011-09-26,21
2011-09-27,34
2011-09-28,31
2011-09-29,43
2011-09-30,89
2011-10-01,66
2011-10-02,26
2011-10-03,28
2011-10-04,41
2011-10-05,41
2011-10-06,21
2011-10-07,54
2011-10-08,25
2011-10-09,0
2011-10-10,31
2011-10-11,29
2011-10-12,40
2011-10-13,48
2011-10-14,43
2011-10-15,0
2011-10-16,25
2011-10-17,40
2011-10-18,20
2011-10-19,41
2011-10-20,21
2011-10-21,43
2011-10-22,50
2011-10-23,25
2011-10-24,20
2011-10-25,40
2011-10-26,61
2011-10-27,21
2011-10-28,21
2011-10-29,0
2011-10-30,25
2011-10-31,42
2011-11-01,32
2011-11-02,41
2011-11-03,61
2011-11-04,21
2011-11-05,25
2011-11-06,36
2011-11-07,27
2011-11-08,20
2011-11-09,40
2011-11-10,41
2011-11-11,42
2011-11-12,25
2011-11-13,24
2011-11-14,39
2011-11-15,0
2011-11-16,47
2011-11-17,27
2011-11-18,21
2011-11-19,24
2011-11-20,24
2011-11-21,0
2011-11-22,39
2011-11-23,20
2011-11-24,0
2011-11-25,33
2011-11-26,0
2011-11-27,24
2011-11-28,19
2011-11-29,19
2011-11-30,20
2011-12-01,20
2011-12-02,52
2011-12-03,24
2011-12-04,23
2011-12-05,20
2011-12-06,20
2011-12-07,68
2011-12-08,40
2011-12-09,41
2011-12-10,24
2011-12-11,35
2011-12-12,19
2011-12-13,39
2011-12-14,39
2011-12-15,30
2011-12-16,28
2011-12-17,48
2011-12-18,32
2011-12-19,30
2011-12-20,40
2011-12-21,0
2011-12-22,64
2011-12-23,23
2011-12-24,40
2011-12-25,29
2011-12-26,24
2011-12-27,32
2011-12-28,53
2011-12-29,42
2011-12-30,23
2011-12-31,39
2012-01-01,27
2012-01-02,63
2012-01-03,39
2012-01-04,19
2012-01-05,30
2012-01-06,41
2012-01-07,23
2012-01-08,22
2012-01-09,38
2012-01-10,25
2012-01-11,28
2012-01-12,38
2012-01-13,20
2012-01-14,34
2012-01-15,30
2012-01-16,19
2012-01-17,19
2012-01-18,55
2012-01-19,38
2012-01-20,39
2012-01-21,44
2012-01-22,44
2012-01-23,18
2012-01-24,37
2012-01-25,43
2012-01-26,38
