date,MXIM
2013-02-19,42
2013-02-20,32
2013-02-21,64
2013-02-22,29
2013-02-23,50
2013-02-24,49
2013-02-25,21
2013-02-26,74
2013-02-27,42
2013-02-28,43
2013-03-01,33
2013-03-02,50
2013-03-03,25
2013-03-04,42
2013-03-05,35
2013-03-06,52
2013-03-07,21
2013-03-08,59
2013-03-09,25
2013-03-10,57
2013-03-11,52
2013-03-12,27
2013-03-13,21
2013-03-14,73
2013-03-15,88
2013-03-16,0
2013-03-17,24
2013-03-18,21
2013-03-19,52
2013-03-20,63
2013-03-21,84
2013-03-22,33
2013-03-23,25
2013-03-24,0
2013-03-25,42
2013-03-26,42
2013-03-27,22
2013-03-28,0
2013-03-29,24
2013-03-30,0
2013-03-31,26
2013-04-01,36
2013-04-02,31
2013-04-03,21
2013-04-04,28
2013-04-05,43
2013-04-06,74
2013-04-07,24
2013-04-08,51
2013-04-09,41
2013-04-10,31
2013-04-11,31
2013-04-12,65
2013-04-13,25
2013-04-14,42
2013-04-15,21
2013-04-16,31
2013-04-17,62
2013-04-18,21
2013-04-19,44
2013-04-20,25
2013-04-21,0
2013-04-22,0
2013-04-23,31
2013-04-24,35
2013-04-25,86
2013-04-26,51
2013-04-27,38
2013-04-28,25
2013-04-29,41
2013-04-30,49
2013-05-01,38
2013-05-02,35
2013-05-03,78
2013-05-04,34
2013-05-05,51
2013-05-06,57
2013-05-07,63
2013-05-08,63
2013-05-09,43
2013-05-10,37
2013-05-11,50
2013-05-12,25
2013-05-13,42
2013-05-14,61
2013-05-15,82
2013-05-16,42
2013-05-17,79
2013-05-18,33
2013-05-19,0
2013-05-20,21
2013-05-21,30
2013-05-22,61
2013-05-23,55
2013-05-24,43
2013-05-25,100
2013-05-26,25
2013-05-27,0
2013-05-28,47
2013-05-29,48
2013-05-30,42
2013-05-31,22
2013-06-01,25
2013-06-02,49
2013-06-03,41
2013-06-04,61
2013-06-05,31
2013-06-06,21
2013-06-07,51
2013-06-08,25
2013-06-09,24
2013-06-10,27
2013-06-11,51
2013-06-12,31
2013-06-13,42
2013-06-14,44
2013-06-15,25
2013-06-16,50
2013-06-17,41
2013-06-18,21
2013-06-19,62
2013-06-20,35
2013-06-21,0
2013-06-22,25
2013-06-23,25
2013-06-24,31
2013-06-25,69
2013-06-26,41
2013-06-27,28
2013-06-28,22
2013-06-29,0
2013-06-30,26
2013-07-01,31
2013-07-02,21
2013-07-03,42
2013-07-04,22
2013-07-05,23
2013-07-06,39
2013-07-07,26
2013-07-08,32
2013-07-09,21
2013-07-10,64
2013-07-11,43
2013-07-12,45
2013-07-13,26
2013-07-14,26
2013-07-15,42
2013-07-16,21
2013-07-17,42
2013-07-18,43
2013-07-19,59
2013-07-20,26
2013-07-21,52
2013-07-22,63
2013-07-23,21
2013-07-24,35
2013-07-25,43
2013-07-26,74
2013-07-27,26
2013-07-28,26
2013-07-29,31
2013-07-30,35
2013-07-31,32
2013-08-01,32
2013-08-02,44
2013-08-03,52
2013-08-04,26
2013-08-05,21
2013-08-06,0
2013-08-07,21
2013-08-08,36
2013-08-09,34
2013-08-10,26
2013-08-11,26
2013-08-12,31
2013-08-13,28
2013-08-14,32
2013-08-15,56
2013-08-16,75
2013-08-17,26
2013-08-18,25
2013-08-19,21
2013-08-20,52
2013-08-21,21
2013-08-22,42
2013-08-23,36
2013-08-24,25
2013-08-25,25
2013-08-26,34
2013-08-27,30
2013-08-28,20
2013-08-29,0
2013-08-30,53
2013-08-31,25
2013-09-01,72
2013-09-02,0
2013-09-03,20
2013-09-04,60
2013-09-05,40
2013-09-06,52
2013-09-07,72
2013-09-08,0
2013-09-09,40
2013-09-10,26
2013-09-11,69
2013-09-12,30
2013-09-13,41
2013-09-14,24
2013-09-15,23
2013-09-16,39
2013-09-17,49
2013-09-18,0
2013-09-19,27
2013-09-20,42
2013-09-21,24
2013-09-22,23
2013-09-23,52
2013-09-24,60
2013-09-25,39
2013-09-26,60
2013-09-27,28
2013-09-28,24
2013-09-29,0
2013-09-30,26
2013-10-01,59
2013-10-02,30
2013-10-03,53
2013-10-04,21
2013-10-05,23
2013-10-06,23
2013-10-07,45
2013-10-08,20
2013-10-09,40
2013-10-10,40
2013-10-11,21
2013-10-12,36
2013-10-13,35
2013-10-14,40
2013-10-15,50
2013-10-16,39
2013-10-17,30
2013-10-18,42
2013-10-19,47
2013-10-20,23
2013-10-21,29
2013-10-22,19
2013-10-23,58
2013-10-24,49
2013-10-25,34
2013-10-26,0
2013-10-27,23
2013-10-28,38
2013-10-29,38
2013-10-30,20
2013-10-31,60
2013-11-01,21
2013-11-02,23
2013-11-03,23
2013-11-04,26
2013-11-05,32
2013-11-06,38
