date,NTAP
2011-09-18,44
2011-09-19,7
2011-09-20,14
2011-09-21,19
2011-09-22,27
2011-09-23,10
2011-09-24,9
2011-09-25,0
2011-09-26,12
2011-09-27,14
2011-09-28,10
2011-09-29,15
2011-09-30,23
2011-10-01,9
2011-10-02,9
2011-10-03,17
2011-10-04,12
2011-10-05,29
2011-10-06,7
2011-10-07,15
2011-10-08,9
2011-10-09,9
2011-10-10,17
2011-10-11,17
2011-10-12,16
2011-10-13,18
2011-10-14,15
2011-10-15,13
2011-10-16,0
2011-10-17,18
2011-10-18,21
2011-10-19,25
2011-10-20,26
2011-10-21,19
2011-10-22,13
2011-10-23,9
2011-10-24,16
2011-10-25,14
2011-10-26,12
2011-10-27,24
2011-10-28,18
2011-10-29,9
2011-10-30,13
2011-10-31,20
2011-11-01,30
2011-11-02,24
2011-11-03,32
2011-11-04,12
2011-11-05,9
2011-11-06,9
2011-11-07,23
2011-11-08,16
2011-11-09,14
2011-11-10,19
2011-11-11,34
2011-11-12,26
2011-11-13,13
2011-11-14,30
2011-11-15,12
2011-11-16,81
2011-11-17,63
2011-11-18,29
2011-11-19,20
2011-11-20,14
2011-11-21,25
2011-11-22,37
2011-11-23,21
2011-11-24,19
2011-11-25,18
2011-11-26,9
2011-11-27,17
2011-11-28,10
2011-11-29,27
2011-11-30,32
2011-12-01,40
2011-12-02,34
2011-12-03,20
2011-12-04,8
2011-12-05,27
2011-12-06,18
2011-12-07,21
2011-12-08,24
2011-12-09,24
2011-12-10,0
2011-12-11,0
2011-12-12,29
2011-12-13,14
2011-12-14,30
2011-12-15,26
2011-12-16,19
2011-12-17,0
2011-12-18,8
2011-12-19,21
2011-12-20,23
2011-12-21,19
2011-12-22,17
2011-12-23,24
2011-12-24,9
2011-12-25,15
2011-12-26,29
2011-12-27,22
2011-12-28,26
2011-12-29,7
2011-12-30,16
2011-12-31,18
2012-01-01,9
2012-01-02,15
2012-01-03,16
2012-01-04,32
2012-01-05,32
2012-01-06,29
2012-01-07,12
2012-01-08,8
2012-01-09,22
2012-01-10,20
2012-01-11,26
2012-01-12,18
2012-01-13,27
2012-01-14,16
2012-01-15,16
2012-01-16,17
2012-01-17,17
2012-01-18,19
2012-01-19,30
2012-01-20,32
2012-01-21,23
2012-01-22,8
2012-01-23,26
2012-01-24,17
2012-01-25,20
2012-01-26,18
2012-01-27,25
2012-01-28,16
2012-01-29,16
2012-01-30,11
2012-01-31,19
2012-02-01,32
2012-02-02,19
2012-02-03,36
2012-02-04,19
2012-02-05,15
2012-02-06,23
2012-02-07,13
2012-02-08,28
2012-02-09,26
2012-02-10,18
2012-02-11,12
2012-02-12,11
2012-02-13,23
2012-02-14,28
2012-02-15,70
2012-02-16,89
2012-02-17,38
2012-02-18,12
2012-02-19,13
2012-02-20,15
2012-02-21,24
2012-02-22,34
2012-02-23,22
2012-02-24,31
2012-02-25,8
2012-02-26,19
2012-02-27,19
2012-02-28,21
2012-02-29,17
2012-03-01,27
2012-03-02,24
2012-03-03,12
2012-03-04,8
2012-03-05,24
2012-03-06,15
2012-03-07,8
2012-03-08,17
2012-03-09,22
2012-03-10,8
2012-03-11,11
2012-03-12,21
2012-03-13,19
2012-03-14,22
2012-03-15,17
2012-03-16,13
2012-03-17,0
2012-03-18,8
2012-03-19,21
2012-03-20,17
2012-03-21,21
2012-03-22,13
2012-03-23,17
2012-03-24,16
2012-03-25,19
2012-03-26,25
2012-03-27,15
2012-03-28,16
2012-03-29,15
2012-03-30,10
2012-03-31,15
2012-04-01,15
2012-04-02,15
2012-04-03,32
2012-04-04,24
2012-04-05,20
2012-04-06,10
2012-04-07,24
2012-04-08,21
2012-04-09,11
2012-04-10,22
2012-04-11,29
2012-04-12,24
2012-04-13,25
2012-04-14,8
2012-04-15,0
2012-04-16,23
2012-04-17,29
2012-04-18,17
2012-04-19,10
2012-04-20,22
2012-04-21,27
2012-04-22,8
2012-04-23,17
2012-04-24,35
2012-04-25,13
2012-04-26,21
2012-04-27,10
2012-04-28,13
2012-04-29,8
2012-04-30,24
2012-05-01,25
2012-05-02,23
2012-05-03,17
2012-05-04,13
2012-05-05,13
2012-05-06,8
2012-05-07,19
2012-05-08,23
2012-05-09,21
2012-05-10,30
2012-05-11,13
2012-05-12,10
2012-05-13,8
2012-05-14,29
2012-05-15,25
2012-05-16,15
2012-05-17,22
2012-05-18,13
2012-05-19,16
2012-05-20,8
2012-05-21,29
2012-05-22,14
2012-05-23,97
2012-05-24,100
2012-05-25,54
2012-05-26,29
2012-05-27,20
2012-05-28,13
2012-05-29,53
2012-05-30,29
2012-05-31,31
2012-06-01,42
2012-06-02,12
2012-06-03,8
2012-06-04,23
