date,NTAP
2016-08-02,28
2016-08-03,24
2016-08-04,19
2016-08-05,17
2016-08-06,11
2016-08-07,4
2016-08-08,20
2016-08-09,17
2016-08-10,18
2016-08-11,20
2016-08-12,18
2016-08-13,8
2016-08-14,6
2016-08-15,30
2016-08-16,25
2016-08-17,76
2016-08-18,100
2016-08-19,59
2016-08-20,16
2016-08-21,9
2016-08-22,37
2016-08-23,32
2016-08-24,42
2016-08-25,35
2016-08-26,40
2016-08-27,11
2016-08-28,11
2016-08-29,20
2016-08-30,27
2016-08-31,20
2016-09-01,14
2016-09-02,21
2016-09-03,13
2016-09-04,10
2016-09-05,15
2016-09-06,15
2016-09-07,21
2016-09-08,21
2016-09-09,18
2016-09-10,5
2016-09-11,11
2016-09-12,25
2016-09-13,16
2016-09-14,20
2016-09-15,15
2016-09-16,18
2016-09-17,9
2016-09-18,7
2016-09-19,17
2016-09-20,9
2016-09-21,15
2016-09-22,22
2016-09-23,23
2016-09-24,9
2016-09-25,0
2016-09-26,16
2016-09-27,10
2016-09-28,20
2016-09-29,14
2016-09-30,19
2016-10-01,9
2016-10-02,3
2016-10-03,16
2016-10-04,16
2016-10-05,18
2016-10-06,17
2016-10-07,9
2016-10-08,7
2016-10-09,4
2016-10-10,12
2016-10-11,15
2016-10-12,14
2016-10-13,15
2016-10-14,11
2016-10-15,7
2016-10-16,6
2016-10-17,8
2016-10-18,6
2016-10-19,16
2016-10-20,13
2016-10-21,12
2016-10-22,7
2016-10-23,9
2016-10-24,9
2016-10-25,15
2016-10-26,10
2016-10-27,14
2016-10-28,15
2016-10-29,8
2016-10-30,7
2016-10-31,10
2016-11-01,16
2016-11-02,13
2016-11-03,32
2016-11-04,20
2016-11-05,7
2016-11-06,3
2016-11-07,24
2016-11-08,23
2016-11-09,26
2016-11-10,19
2016-11-11,11
2016-11-12,7
2016-11-13,5
2016-11-14,14
2016-11-15,22
2016-11-16,44
2016-11-17,65
2016-11-18,31
2016-11-19,15
2016-11-20,8
2016-11-21,18
2016-11-22,17
2016-11-23,11
2016-11-24,10
2016-11-25,10
2016-11-26,6
2016-11-27,4
2016-11-28,11
2016-11-29,11
2016-11-30,21
2016-12-01,32
2016-12-02,28
2016-12-03,10
2016-12-04,9
2016-12-05,16
2016-12-06,22
2016-12-07,18
2016-12-08,14
2016-12-09,12
2016-12-10,8
2016-12-11,7
2016-12-12,14
2016-12-13,14
2016-12-14,21
2016-12-15,22
2016-12-16,14
2016-12-17,6
2016-12-18,7
2016-12-19,10
2016-12-20,19
2016-12-21,23
2016-12-22,9
2016-12-23,12
2016-12-24,7
2016-12-25,8
2016-12-26,7
2016-12-27,3
2016-12-28,13
2016-12-29,12
2016-12-30,11
2016-12-31,13
2017-01-01,11
2017-01-02,12
2017-01-03,19
2017-01-04,8
2017-01-05,11
2017-01-06,10
2017-01-07,8
2017-01-08,7
2017-01-09,6
2017-01-10,9
2017-01-11,16
2017-01-12,12
2017-01-13,14
2017-01-14,3
2017-01-15,3
2017-01-16,11
2017-01-17,14
2017-01-18,19
2017-01-19,7
2017-01-20,8
2017-01-21,7
2017-01-22,7
2017-01-23,13
2017-01-24,24
2017-01-25,38
2017-01-26,28
2017-01-27,16
2017-01-28,14
2017-01-29,8
2017-01-30,17
2017-01-31,17
2017-02-01,24
2017-02-02,24
2017-02-03,23
2017-02-04,5
2017-02-05,5
2017-02-06,20
2017-02-07,24
2017-02-08,18
2017-02-09,16
2017-02-10,20
2017-02-11,7
2017-02-12,6
2017-02-13,11
2017-02-14,22
2017-02-15,53
2017-02-16,56
2017-02-17,34
2017-02-18,8
2017-02-19,5
2017-02-20,9
2017-02-21,23
2017-02-22,24
2017-02-23,18
2017-02-24,17
2017-02-25,8
2017-02-26,8
2017-02-27,14
2017-02-28,32
2017-03-01,31
2017-03-02,26
2017-03-03,16
2017-03-04,14
2017-03-05,10
2017-03-06,17
2017-03-07,20
2017-03-08,17
2017-03-09,25
2017-03-10,15
2017-03-11,5
2017-03-12,3
2017-03-13,10
2017-03-14,13
2017-03-15,16
2017-03-16,11
2017-03-17,13
2017-03-18,6
2017-03-19,7
2017-03-20,10
2017-03-21,14
2017-03-22,14
2017-03-23,17
2017-03-24,14
2017-03-25,10
2017-03-26,8
2017-03-27,8
2017-03-28,9
2017-03-29,9
2017-03-30,13
2017-03-31,12
2017-04-01,4
2017-04-02,7
2017-04-03,10
2017-04-04,12
2017-04-05,10
2017-04-06,11
2017-04-07,15
2017-04-08,5
2017-04-09,5
2017-04-10,10
2017-04-11,16
2017-04-12,13
2017-04-13,16
2017-04-14,10
2017-04-15,7
2017-04-16,10
2017-04-17,8
2017-04-18,17
