date,NTAP
2011-01-01,10
2011-01-02,9
2011-01-03,31
2011-01-04,34
2011-01-05,39
2011-01-06,42
2011-01-07,21
2011-01-08,13
2011-01-09,8
2011-01-10,36
2011-01-11,20
2011-01-12,33
2011-01-13,25
2011-01-14,27
2011-01-15,21
2011-01-16,16
2011-01-17,11
2011-01-18,26
2011-01-19,29
2011-01-20,18
2011-01-21,32
2011-01-22,20
2011-01-23,8
2011-01-24,17
2011-01-25,37
2011-01-26,20
2011-01-27,11
2011-01-28,19
2011-01-29,11
2011-01-30,15
2011-01-31,21
2011-02-01,19
2011-02-02,15
2011-02-03,17
2011-02-04,18
2011-02-05,12
2011-02-06,8
2011-02-07,35
2011-02-08,15
2011-02-09,30
2011-02-10,20
2011-02-11,25
2011-02-12,24
2011-02-13,8
2011-02-14,30
2011-02-15,21
2011-02-16,91
2011-02-17,89
2011-02-18,41
2011-02-19,8
2011-02-20,12
2011-02-21,15
2011-02-22,36
2011-02-23,23
2011-02-24,19
2011-02-25,13
2011-02-26,16
2011-02-27,8
2011-02-28,10
2011-03-01,13
2011-03-02,21
2011-03-03,28
2011-03-04,24
2011-03-05,16
2011-03-06,8
2011-03-07,24
2011-03-08,17
2011-03-09,25
2011-03-10,55
2011-03-11,19
2011-03-12,8
2011-03-13,16
2011-03-14,29
2011-03-15,25
2011-03-16,29
2011-03-17,26
2011-03-18,23
2011-03-19,8
2011-03-20,12
2011-03-21,21
2011-03-22,19
2011-03-23,17
2011-03-24,21
2011-03-25,18
2011-03-26,8
2011-03-27,12
2011-03-28,19
2011-03-29,19
2011-03-30,13
2011-03-31,22
2011-04-01,18
2011-04-02,8
2011-04-03,13
2011-04-04,17
2011-04-05,17
2011-04-06,19
2011-04-07,22
2011-04-08,14
2011-04-09,8
2011-04-10,8
2011-04-11,10
2011-04-12,19
2011-04-13,21
2011-04-14,20
2011-04-15,18
2011-04-16,12
2011-04-17,8
2011-04-18,17
2011-04-19,17
2011-04-20,15
2011-04-21,21
2011-04-22,15
2011-04-23,0
2011-04-24,9
2011-04-25,28
2011-04-26,25
2011-04-27,23
2011-04-28,11
2011-04-29,18
2011-04-30,16
2011-05-01,0
2011-05-02,8
2011-05-03,13
2011-05-04,13
2011-05-05,28
2011-05-06,20
2011-05-07,16
2011-05-08,8
2011-05-09,21
2011-05-10,29
2011-05-11,16
2011-05-12,21
2011-05-13,20
2011-05-14,16
2011-05-15,0
2011-05-16,16
2011-05-17,25
2011-05-18,13
2011-05-19,11
2011-05-20,22
2011-05-21,16
2011-05-22,13
2011-05-23,25
2011-05-24,21
2011-05-25,59
2011-05-26,36
2011-05-27,15
2011-05-28,12
2011-05-29,14
2011-05-30,24
2011-05-31,33
2011-06-01,32
2011-06-02,31
2011-06-03,16
2011-06-04,16
2011-06-05,0
2011-06-06,15
2011-06-07,16
2011-06-08,15
2011-06-09,15
2011-06-10,33
2011-06-11,12
2011-06-12,8
2011-06-13,16
2011-06-14,14
2011-06-15,19
2011-06-16,10
2011-06-17,13
2011-06-18,0
2011-06-19,8
2011-06-20,10
2011-06-21,25
2011-06-22,29
2011-06-23,22
2011-06-24,34
2011-06-25,28
2011-06-26,16
2011-06-27,23
2011-06-28,19
2011-06-29,21
2011-06-30,30
2011-07-01,18
2011-07-02,19
2011-07-03,8
2011-07-04,13
2011-07-05,25
2011-07-06,27
2011-07-07,21
2011-07-08,22
2011-07-09,12
2011-07-10,8
2011-07-11,13
2011-07-12,19
2011-07-13,11
2011-07-14,13
2011-07-15,16
2011-07-16,12
2011-07-17,12
2011-07-18,6
2011-07-19,23
2011-07-20,28
2011-07-21,19
2011-07-22,11
2011-07-23,8
2011-07-24,8
2011-07-25,19
2011-07-26,27
2011-07-27,15
2011-07-28,15
2011-07-29,13
2011-07-30,11
2011-07-31,8
2011-08-01,13
2011-08-02,19
2011-08-03,21
2011-08-04,25
2011-08-05,35
2011-08-06,8
2011-08-07,8
2011-08-08,39
2011-08-09,29
2011-08-10,29
2011-08-11,21
2011-08-12,29
2011-08-13,19
2011-08-14,12
2011-08-15,19
2011-08-16,21
2011-08-17,94
2011-08-18,100
2011-08-19,64
2011-08-20,10
2011-08-21,19
2011-08-22,14
2011-08-23,26
2011-08-24,24
2011-08-25,22
2011-08-26,23
2011-08-27,17
2011-08-28,15
2011-08-29,26
2011-08-30,16
2011-08-31,16
2011-09-01,24
2011-09-02,15
2011-09-03,8
2011-09-04,0
2011-09-05,18
2011-09-06,25
2011-09-07,23
2011-09-08,14
2011-09-09,8
2011-09-10,7
2011-09-11,12
2011-09-12,21
2011-09-13,21
2011-09-14,10
2011-09-15,21
2011-09-16,16
2011-09-17,11
2011-09-18,16
