date,COST,isPartial
2016-05-04,96,False
2016-05-05,94,False
2016-05-06,87,False
2016-05-07,84,False
2016-05-08,83,False
2016-05-09,96,False
2016-05-10,94,False
2016-05-11,92,False
2016-05-12,91,False
2016-05-13,87,False
2016-05-14,82,False
2016-05-15,86,False
2016-05-16,93,False
2016-05-17,94,False
2016-05-18,94,False
2016-05-19,89,False
2016-05-20,88,False
2016-05-21,84,False
2016-05-22,87,False
2016-05-23,93,False
2016-05-24,92,False
2016-05-25,91,False
2016-05-26,93,False
2016-05-27,84,False
2016-05-28,81,False
2016-05-29,83,False
2016-05-30,84,False
2016-05-31,92,False
2016-06-01,93,False
2016-06-02,91,False
2016-06-03,89,False
2016-06-04,84,False
2016-06-05,85,False
2016-06-06,92,False
2016-06-07,91,False
2016-06-08,89,False
2016-06-09,89,False
2016-06-10,84,False
2016-06-11,83,False
2016-06-12,83,False
2016-06-13,88,False
2016-06-14,89,False
2016-06-15,90,False
2016-06-16,84,False
2016-06-17,84,False
2016-06-18,83,False
2016-06-19,85,False
2016-06-20,92,False
2016-06-21,92,False
2016-06-22,90,False
2016-06-23,88,False
2016-06-24,87,False
2016-06-25,84,False
2016-06-26,86,False
2016-06-27,91,False
2016-06-28,92,False
2016-06-29,89,False
2016-06-30,87,False
2016-07-01,84,False
2016-07-02,83,False
2016-07-03,83,False
2016-07-04,82,False
2016-07-05,92,False
2016-07-06,93,False
2016-07-07,92,False
2016-07-08,87,False
2016-07-09,84,False
2016-07-10,89,False
2016-07-11,94,False
2016-07-12,91,False
2016-07-13,90,False
2016-07-14,85,False
2016-07-15,86,False
2016-07-16,86,False
2016-07-17,91,False
2016-07-18,95,False
2016-07-19,91,False
2016-07-20,91,False
2016-07-21,92,False
2016-07-22,86,False
2016-07-23,88,False
2016-07-24,91,False
2016-07-25,92,False
2016-07-26,93,False
2016-07-27,91,False
2016-07-28,91,False
2016-07-29,87,False
2016-07-30,85,False
2016-07-31,89,False
2016-08-01,93,False
2016-08-02,93,False
2016-08-03,90,False
2016-08-04,92,False
2016-08-05,84,False
2016-08-06,80,False
2016-08-07,83,False
2016-08-08,87,False
2016-08-09,86,False
2016-08-10,86,False
2016-08-11,85,False
2016-08-12,81,False
2016-08-13,80,False
2016-08-14,80,False
2016-08-15,85,False
2016-08-16,85,False
2016-08-17,84,False
2016-08-18,81,False
2016-08-19,82,False
2016-08-20,78,False
2016-08-21,83,False
2016-08-22,88,False
2016-08-23,90,False
2016-08-24,88,False
2016-08-25,92,False
2016-08-26,88,False
2016-08-27,84,False
2016-08-28,88,False
2016-08-29,89,False
2016-08-30,91,False
2016-08-31,91,False
2016-09-01,90,False
2016-09-02,86,False
2016-09-03,83,False
2016-09-04,84,False
2016-09-05,85,False
2016-09-06,92,False
2016-09-07,95,False
2016-09-08,95,False
2016-09-09,90,False
2016-09-10,87,False
2016-09-11,86,False
2016-09-12,92,False
2016-09-13,91,False
2016-09-14,91,False
2016-09-15,91,False
2016-09-16,88,False
2016-09-17,82,False
2016-09-18,88,False
2016-09-19,93,False
2016-09-20,92,False
2016-09-21,89,False
2016-09-22,89,False
2016-09-23,85,False
2016-09-24,81,False
2016-09-25,85,False
2016-09-26,89,False
2016-09-27,88,False
2016-09-28,91,False
2016-09-29,88,False
2016-09-30,82,False
