date,TRIP
2014-03-16,84
2014-03-17,81
2014-03-18,82
2014-03-19,80
2014-03-20,81
2014-03-21,79
2014-03-22,82
2014-03-23,84
2014-03-24,83
2014-03-25,81
2014-03-26,81
2014-03-27,81
2014-03-28,79
2014-03-29,80
2014-03-30,82
2014-03-31,80
2014-04-01,91
2014-04-02,83
2014-04-03,83
2014-04-04,86
2014-04-05,85
2014-04-06,87
2014-04-07,84
2014-04-08,82
2014-04-09,83
2014-04-10,79
2014-04-11,82
2014-04-12,84
2014-04-13,84
2014-04-14,87
2014-04-15,86
2014-04-16,86
2014-04-17,85
2014-04-18,84
2014-04-19,80
2014-04-20,85
2014-04-21,92
2014-04-22,85
2014-04-23,85
2014-04-24,83
2014-04-25,85
2014-04-26,88
2014-04-27,90
2014-04-28,88
2014-04-29,85
2014-04-30,84
2014-05-01,89
2014-05-02,86
2014-05-03,85
2014-05-04,88
2014-05-05,88
2014-05-06,84
2014-05-07,87
2014-05-08,85
2014-05-09,82
2014-05-10,85
2014-05-11,83
2014-05-12,85
2014-05-13,83
2014-05-14,83
2014-05-15,84
2014-05-16,80
2014-05-17,83
2014-05-18,100
2014-05-19,91
2014-05-20,88
2014-05-21,88
2014-05-22,85
2014-05-23,85
2014-05-24,83
2014-05-25,86
2014-05-26,85
2014-05-27,85
2014-05-28,86
2014-05-29,86
2014-05-30,86
2014-05-31,88
2014-06-01,90
2014-06-02,88
2014-06-03,88
2014-06-04,89
2014-06-05,88
2014-06-06,85
2014-06-07,89
2014-06-08,91
2014-06-09,91
2014-06-10,86
2014-06-11,86
2014-06-12,81
2014-06-13,80
2014-06-14,84
2014-06-15,83
2014-06-16,85
2014-06-17,86
2014-06-18,90
2014-06-19,84
2014-06-20,85
2014-06-21,86
2014-06-22,92
2014-06-23,92
2014-06-24,91
2014-06-25,88
2014-06-26,85
2014-06-27,88
2014-06-28,89
2014-06-29,92
2014-06-30,91
2014-07-01,87
2014-07-02,90
2014-07-03,89
2014-07-04,82
2014-07-05,85
2014-07-06,94
2014-07-07,97
2014-07-08,92
2014-07-09,89
2014-07-10,88
2014-07-11,88
2014-07-12,89
2014-07-13,91
2014-07-14,95
2014-07-15,97
2014-07-16,95
2014-07-17,91
2014-07-18,88
2014-07-19,91
2014-07-20,96
2014-07-21,97
2014-07-22,97
2014-07-23,96
2014-07-24,93
2014-07-25,92
2014-07-26,94
2014-07-27,98
2014-07-28,98
2014-07-29,94
2014-07-30,96
2014-07-31,91
2014-08-01,92
2014-08-02,97
2014-08-03,97
2014-08-04,99
2014-08-05,98
2014-08-06,95
2014-08-07,95
2014-08-08,93
2014-08-09,91
2014-08-10,97
2014-08-11,100
2014-08-12,94
2014-08-13,97
2014-08-14,96
2014-08-15,96
2014-08-16,96
2014-08-17,97
2014-08-18,97
2014-08-19,98
2014-08-20,97
2014-08-21,96
2014-08-22,95
2014-08-23,94
2014-08-24,96
2014-08-25,99
2014-08-26,96
2014-08-27,99
2014-08-28,94
2014-08-29,93
2014-08-30,97
2014-08-31,91
2014-09-01,93
2014-09-02,94
2014-09-03,93
2014-09-04,90
2014-09-05,87
2014-09-06,94
2014-09-07,90
2014-09-08,91
2014-09-09,87
2014-09-10,85
2014-09-11,88
2014-09-12,88
2014-09-13,89
2014-09-14,87
2014-09-15,92
2014-09-16,91
2014-09-17,88
2014-09-18,85
2014-09-19,83
2014-09-20,83
2014-09-21,85
2014-09-22,87
2014-09-23,86
2014-09-24,84
2014-09-25,85
2014-09-26,86
2014-09-27,83
2014-09-28,87
2014-09-29,90
2014-09-30,88
2014-10-01,88
2014-10-02,84
2014-10-03,85
2014-10-04,86
2014-10-05,81
2014-10-06,85
2014-10-07,86
2014-10-08,83
2014-10-09,86
2014-10-10,83
2014-10-11,82
2014-10-12,82
2014-10-13,86
2014-10-14,87
2014-10-15,85
2014-10-16,82
2014-10-17,82
2014-10-18,81
2014-10-19,81
2014-10-20,82
2014-10-21,84
2014-10-22,81
2014-10-23,76
2014-10-24,80
2014-10-25,83
2014-10-26,82
2014-10-27,87
2014-10-28,85
2014-10-29,82
2014-10-30,81
2014-10-31,79
2014-11-01,82
2014-11-02,81
2014-11-03,84
2014-11-04,85
2014-11-05,84
2014-11-06,84
2014-11-07,81
2014-11-08,83
2014-11-09,83
2014-11-10,87
2014-11-11,85
2014-11-12,84
2014-11-13,86
2014-11-14,83
2014-11-15,81
2014-11-16,83
2014-11-17,87
2014-11-18,86
2014-11-19,86
2014-11-20,83
2014-11-21,81
2014-11-22,79
2014-11-23,79
2014-11-24,80
2014-11-25,79
2014-11-26,77
2014-11-27,73
2014-11-28,81
2014-11-29,84
2014-11-30,81
2014-12-01,83
