date,TRIP
2015-08-18,84
2015-08-19,83
2015-08-20,85
2015-08-21,82
2015-08-22,85
2015-08-23,86
2015-08-24,84
2015-08-25,82
2015-08-26,79
2015-08-27,78
2015-08-28,77
2015-08-29,77
2015-08-30,82
2015-08-31,79
2015-09-01,78
2015-09-02,79
2015-09-03,78
2015-09-04,77
2015-09-05,79
2015-09-06,80
2015-09-07,81
2015-09-08,79
2015-09-09,75
2015-09-10,75
2015-09-11,75
2015-09-12,77
2015-09-13,77
2015-09-14,77
2015-09-15,75
2015-09-16,74
2015-09-17,71
2015-09-18,74
2015-09-19,76
2015-09-20,76
2015-09-21,77
2015-09-22,76
2015-09-23,74
2015-09-24,74
2015-09-25,74
2015-09-26,74
2015-09-27,77
2015-09-28,76
2015-09-29,76
2015-09-30,74
2015-10-01,75
2015-10-02,72
2015-10-03,75
2015-10-04,72
2015-10-05,75
2015-10-06,75
2015-10-07,74
2015-10-08,75
2015-10-09,73
2015-10-10,77
2015-10-11,75
2015-10-12,76
2015-10-13,74
2015-10-14,74
2015-10-15,73
2015-10-16,73
2015-10-17,73
2015-10-18,76
2015-10-19,75
2015-10-20,72
2015-10-21,69
2015-10-22,69
2015-10-23,73
2015-10-24,72
2015-10-25,71
2015-10-26,74
2015-10-27,77
2015-10-28,76
2015-10-29,73
2015-10-30,73
2015-10-31,69
2015-11-01,73
2015-11-02,79
2015-11-03,76
2015-11-04,75
2015-11-05,74
2015-11-06,73
2015-11-07,74
2015-11-08,71
2015-11-09,71
2015-11-10,71
2015-11-11,66
2015-11-12,71
2015-11-13,70
2015-11-14,69
2015-11-15,71
2015-11-16,72
2015-11-17,71
2015-11-18,71
2015-11-19,72
2015-11-20,72
2015-11-21,69
2015-11-22,72
2015-11-23,73
2015-11-24,72
2015-11-25,70
2015-11-26,65
2015-11-27,63
2015-11-28,69
2015-11-29,72
2015-11-30,70
2015-12-01,71
2015-12-02,68
2015-12-03,69
2015-12-04,69
2015-12-05,71
2015-12-06,70
2015-12-07,73
2015-12-08,74
2015-12-09,70
2015-12-10,73
2015-12-11,71
2015-12-12,72
2015-12-13,74
2015-12-14,74
2015-12-15,73
2015-12-16,73
2015-12-17,73
2015-12-18,76
2015-12-19,77
2015-12-20,76
2015-12-21,79
2015-12-22,80
2015-12-23,80
2015-12-24,78
2015-12-25,74
2015-12-26,81
2015-12-27,85
2015-12-28,89
2015-12-29,88
2015-12-30,87
2015-12-31,77
2016-01-01,82
2016-01-02,90
2016-01-03,93
2016-01-04,90
2016-01-05,91
2016-01-06,89
2016-01-07,88
2016-01-08,89
2016-01-09,88
2016-01-10,88
2016-01-11,87
2016-01-12,88
2016-01-13,87
2016-01-14,85
2016-01-15,84
2016-01-16,85
2016-01-17,87
2016-01-18,88
2016-01-19,88
2016-01-20,84
2016-01-21,85
2016-01-22,82
2016-01-23,83
2016-01-24,86
2016-01-25,86
2016-01-26,83
2016-01-27,85
2016-01-28,84
2016-01-29,82
2016-01-30,84
2016-01-31,84
2016-02-01,84
2016-02-02,81
2016-02-03,82
2016-02-04,79
2016-02-05,79
2016-02-06,80
2016-02-07,80
2016-02-08,82
2016-02-09,83
2016-02-10,80
2016-02-11,81
2016-02-12,79
2016-02-13,81
2016-02-14,78
2016-02-15,82
2016-02-16,82
2016-02-17,82
2016-02-18,82
2016-02-19,86
2016-02-20,88
2016-02-21,100
2016-02-22,89
2016-02-23,83
2016-02-24,80
2016-02-25,77
2016-02-26,77
2016-02-27,76
2016-02-28,79
2016-02-29,75
2016-03-01,76
2016-03-02,75
2016-03-03,76
2016-03-04,75
2016-03-05,77
2016-03-06,80
2016-03-07,80
2016-03-08,79
2016-03-09,77
2016-03-10,77
2016-03-11,77
2016-03-12,81
2016-03-13,83
2016-03-14,84
2016-03-15,80
2016-03-16,77
2016-03-17,77
2016-03-18,78
2016-03-19,80
2016-03-20,83
2016-03-21,83
2016-03-22,80
2016-03-23,80
2016-03-24,78
2016-03-25,81
2016-03-26,81
2016-03-27,80
2016-03-28,86
2016-03-29,81
2016-03-30,78
2016-03-31,76
2016-04-01,77
2016-04-02,78
2016-04-03,80
2016-04-04,80
2016-04-05,80
2016-04-06,77
2016-04-07,79
2016-04-08,77
2016-04-09,81
2016-04-10,83
2016-04-11,81
2016-04-12,81
2016-04-13,81
2016-04-14,78
2016-04-15,78
2016-04-16,81
2016-04-17,81
2016-04-18,83
2016-04-19,80
2016-04-20,78
2016-04-21,77
2016-04-22,78
2016-04-23,79
2016-04-24,80
2016-04-25,82
2016-04-26,82
2016-04-27,79
2016-04-28,80
2016-04-29,79
2016-04-30,82
2016-05-01,84
2016-05-02,83
2016-05-03,89
2016-05-04,91
