date,TRIP
2013-02-19,91
2013-02-20,94
2013-02-21,89
2013-02-22,86
2013-02-23,85
2013-02-24,88
2013-02-25,88
2013-02-26,86
2013-02-27,84
2013-02-28,83
2013-03-01,81
2013-03-02,82
2013-03-03,83
2013-03-04,84
2013-03-05,83
2013-03-06,84
2013-03-07,85
2013-03-08,86
2013-03-09,87
2013-03-10,88
2013-03-11,88
2013-03-12,85
2013-03-13,81
2013-03-14,83
2013-03-15,82
2013-03-16,84
2013-03-17,84
2013-03-18,85
2013-03-19,85
2013-03-20,83
2013-03-21,83
2013-03-22,83
2013-03-23,84
2013-03-24,87
2013-03-25,86
2013-03-26,84
2013-03-27,81
2013-03-28,83
2013-03-29,82
2013-03-30,80
2013-03-31,82
2013-04-01,86
2013-04-02,81
2013-04-03,82
2013-04-04,81
2013-04-05,79
2013-04-06,79
2013-04-07,82
2013-04-08,85
2013-04-09,89
2013-04-10,88
2013-04-11,84
2013-04-12,85
2013-04-13,83
2013-04-14,85
2013-04-15,85
2013-04-16,83
2013-04-17,91
2013-04-18,90
2013-04-19,86
2013-04-20,87
2013-04-21,92
2013-04-22,89
2013-04-23,86
2013-04-24,85
2013-04-25,86
2013-04-26,86
2013-04-27,85
2013-04-28,90
2013-04-29,90
2013-04-30,88
2013-05-01,92
2013-05-02,85
2013-05-03,86
2013-05-04,89
2013-05-05,91
2013-05-06,89
2013-05-07,85
2013-05-08,85
2013-05-09,87
2013-05-10,89
2013-05-11,86
2013-05-12,89
2013-05-13,89
2013-05-14,88
2013-05-15,85
2013-05-16,88
2013-05-17,85
2013-05-18,89
2013-05-19,92
2013-05-20,94
2013-05-21,88
2013-05-22,88
2013-05-23,90
2013-05-24,89
2013-05-25,89
2013-05-26,89
2013-05-27,90
2013-05-28,95
2013-05-29,95
2013-05-30,92
2013-05-31,91
2013-06-01,96
2013-06-02,100
2013-06-03,94
2013-06-04,91
2013-06-05,93
2013-06-06,89
2013-06-07,89
2013-06-08,95
2013-06-09,98
2013-06-10,93
2013-06-11,92
2013-06-12,91
2013-06-13,90
2013-06-14,93
2013-06-15,93
2013-06-16,94
2013-06-17,95
2013-06-18,96
2013-06-19,90
2013-06-20,91
2013-06-21,92
2013-06-22,94
2013-06-23,96
2013-06-24,92
2013-06-25,91
2013-06-26,89
2013-06-27,89
2013-06-28,89
2013-06-29,92
2013-06-30,94
2013-07-01,94
2013-07-02,94
2013-07-03,91
2013-07-04,89
2013-07-05,88
2013-07-06,90
2013-07-07,94
2013-07-08,94
2013-07-09,91
2013-07-10,89
2013-07-11,89
2013-07-12,88
2013-07-13,91
2013-07-14,90
2013-07-15,91
2013-07-16,93
2013-07-17,89
2013-07-18,87
2013-07-19,88
2013-07-20,92
2013-07-21,93
2013-07-22,94
2013-07-23,91
2013-07-24,90
2013-07-25,87
2013-07-26,87
2013-07-27,89
2013-07-28,92
2013-07-29,94
2013-07-30,93
2013-07-31,92
2013-08-01,87
2013-08-02,90
2013-08-03,91
2013-08-04,96
2013-08-05,98
2013-08-06,94
2013-08-07,92
2013-08-08,93
2013-08-09,89
2013-08-10,90
2013-08-11,93
2013-08-12,93
2013-08-13,91
2013-08-14,89
2013-08-15,86
2013-08-16,89
2013-08-17,88
2013-08-18,88
2013-08-19,89
2013-08-20,88
2013-08-21,86
2013-08-22,87
2013-08-23,85
2013-08-24,86
2013-08-25,87
2013-08-26,87
2013-08-27,86
2013-08-28,85
2013-08-29,82
2013-08-30,82
2013-08-31,83
2013-09-01,80
2013-09-02,82
2013-09-03,84
2013-09-04,83
2013-09-05,80
2013-09-06,80
2013-09-07,84
2013-09-08,79
2013-09-09,77
2013-09-10,80
2013-09-11,77
2013-09-12,79
2013-09-13,76
2013-09-14,77
2013-09-15,82
2013-09-16,79
2013-09-17,78
2013-09-18,76
2013-09-19,75
2013-09-20,76
2013-09-21,76
2013-09-22,76
2013-09-23,77
2013-09-24,77
2013-09-25,79
2013-09-26,77
2013-09-27,76
2013-09-28,75
2013-09-29,79
2013-09-30,81
2013-10-01,77
2013-10-02,74
2013-10-03,77
2013-10-04,78
2013-10-05,76
2013-10-06,75
2013-10-07,80
2013-10-08,80
2013-10-09,78
2013-10-10,76
2013-10-11,76
2013-10-12,74
2013-10-13,77
2013-10-14,76
2013-10-15,76
2013-10-16,75
2013-10-17,76
2013-10-18,74
2013-10-19,75
2013-10-20,78
2013-10-21,79
2013-10-22,75
2013-10-23,75
2013-10-24,73
2013-10-25,74
2013-10-26,73
2013-10-27,75
2013-10-28,77
2013-10-29,75
2013-10-30,74
2013-10-31,73
2013-11-01,73
2013-11-02,71
2013-11-03,75
2013-11-04,76
2013-11-05,73
2013-11-06,75
