date,TRIP
2016-05-04,83
2016-05-05,80
2016-05-06,78
2016-05-07,79
2016-05-08,79
2016-05-09,100
2016-05-10,85
2016-05-11,79
2016-05-12,77
2016-05-13,78
2016-05-14,77
2016-05-15,80
2016-05-16,79
2016-05-17,84
2016-05-18,81
2016-05-19,77
2016-05-20,78
2016-05-21,80
2016-05-22,83
2016-05-23,82
2016-05-24,80
2016-05-25,78
2016-05-26,83
2016-05-27,79
2016-05-28,80
2016-05-29,79
2016-05-30,79
2016-05-31,79
2016-06-01,77
2016-06-02,76
2016-06-03,76
2016-06-04,79
2016-06-05,79
2016-06-06,78
2016-06-07,78
2016-06-08,78
2016-06-09,77
2016-06-10,75
2016-06-11,77
2016-06-12,77
2016-06-13,75
2016-06-14,75
2016-06-15,75
2016-06-16,73
2016-06-17,73
2016-06-18,75
2016-06-19,77
2016-06-20,76
2016-06-21,79
2016-06-22,78
2016-06-23,76
2016-06-24,74
2016-06-25,75
2016-06-26,79
2016-06-27,77
2016-06-28,77
2016-06-29,78
2016-06-30,76
2016-07-01,76
2016-07-02,78
2016-07-03,80
2016-07-04,77
2016-07-05,80
2016-07-06,79
2016-07-07,77
2016-07-08,78
2016-07-09,80
2016-07-10,79
2016-07-11,79
2016-07-12,79
2016-07-13,78
2016-07-14,76
2016-07-15,75
2016-07-16,77
2016-07-17,82
2016-07-18,80
2016-07-19,78
2016-07-20,77
2016-07-21,78
2016-07-22,73
2016-07-23,77
2016-07-24,82
2016-07-25,80
2016-07-26,79
2016-07-27,77
2016-07-28,77
2016-07-29,77
2016-07-30,78
2016-07-31,80
2016-08-01,80
2016-08-02,79
2016-08-03,78
2016-08-04,78
2016-08-05,75
2016-08-06,78
2016-08-07,77
2016-08-08,76
2016-08-09,76
2016-08-10,75
2016-08-11,78
2016-08-12,76
2016-08-13,76
2016-08-14,77
2016-08-15,75
2016-08-16,74
2016-08-17,72
2016-08-18,70
2016-08-19,70
2016-08-20,72
2016-08-21,75
2016-08-22,76
2016-08-23,76
2016-08-24,73
2016-08-25,73
2016-08-26,72
2016-08-27,72
2016-08-28,76
2016-08-29,75
2016-08-30,74
2016-08-31,73
2016-09-01,73
2016-09-02,73
2016-09-03,75
2016-09-04,75
2016-09-05,73
2016-09-06,75
2016-09-07,73
2016-09-08,72
2016-09-09,70
2016-09-10,71
2016-09-11,73
2016-09-12,73
2016-09-13,72
2016-09-14,73
2016-09-15,72
2016-09-16,71
2016-09-17,72
2016-09-18,72
2016-09-19,74
2016-09-20,72
2016-09-21,71
2016-09-22,68
2016-09-23,70
2016-09-24,71
2016-09-25,74
2016-09-26,72
2016-09-27,71
2016-09-28,70
2016-09-29,70
2016-09-30,70
2016-10-01,70
2016-10-02,69
2016-10-03,72
2016-10-04,73
2016-10-05,72
2016-10-06,75
2016-10-07,76
2016-10-08,83
2016-10-09,80
2016-10-10,76
2016-10-11,73
2016-10-12,74
2016-10-13,73
2016-10-14,73
2016-10-15,74
2016-10-16,75
2016-10-17,75
2016-10-18,71
2016-10-19,69
2016-10-20,68
2016-10-21,68
2016-10-22,69
2016-10-23,68
2016-10-24,72
2016-10-25,71
2016-10-26,69
2016-10-27,69
2016-10-28,67
2016-10-29,64
2016-10-30,64
2016-10-31,68
2016-11-01,72
2016-11-02,73
2016-11-03,70
2016-11-04,70
2016-11-05,68
2016-11-06,67
2016-11-07,70
2016-11-08,66
2016-11-09,57
2016-11-10,64
2016-11-11,65
2016-11-12,64
2016-11-13,66
2016-11-14,68
2016-11-15,71
2016-11-16,69
2016-11-17,70
2016-11-18,69
2016-11-19,67
2016-11-20,67
2016-11-21,69
2016-11-22,70
2016-11-23,70
2016-11-24,66
2016-11-25,62
2016-11-26,65
2016-11-27,67
2016-11-28,69
2016-11-29,70
2016-11-30,68
2016-12-01,68
2016-12-02,68
2016-12-03,67
2016-12-04,68
2016-12-05,71
2016-12-06,71
2016-12-07,71
2016-12-08,73
2016-12-09,68
2016-12-10,62
2016-12-11,66
2016-12-12,68
2016-12-13,68
2016-12-14,67
2016-12-15,69
2016-12-16,70
2016-12-17,69
2016-12-18,66
2016-12-19,68
2016-12-20,67
2016-12-21,68
2016-12-22,73
2016-12-23,67
2016-12-24,63
2016-12-25,64
2016-12-26,72
2016-12-27,77
2016-12-28,78
2016-12-29,74
2016-12-30,74
2016-12-31,65
2017-01-01,72
2017-01-02,80
2017-01-03,79
2017-01-04,81
2017-01-05,78
2017-01-06,76
2017-01-07,79
2017-01-08,86
2017-01-09,85
2017-01-10,79
2017-01-11,80
2017-01-12,76
2017-01-13,74
2017-01-14,73
2017-01-15,75
2017-01-16,76
2017-01-17,77
2017-01-18,77
2017-01-19,73
